gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,MiddleSchool,G-02,A,History,F,Mum,77,0,91,98,Yes,Good,Under-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,French,S,Mum,4,46,84,49,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,S,Mum,32,80,97,72,Yes,Good,Under-7,M
F,Iraq,Jordan,lowerlevel,G-08,C,Biology,F,Father,48,0,6,52,No,Bad,Above-7,M
M,KW,USA,HighSchool,G-07,A,French,S,Father,47,94,86,19,Yes,Good,Under-7,M
F,Palestine,Jordan,MiddleSchool,G-02,A,Science,S,Mum,54,74,16,89,Yes,Bad,Under-7,H
M,Jordan,Jordan,lowerlevel,G-06,A,French,S,Mum,1,30,90,82,No,Good,Under-7,M
F,KW,USA,lowerlevel,G-07,B,French,F,Mum,34,0,81,52,Yes,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,English,S,Father,85,55,95,91,Yes,Bad,Under-7,H
F,KW,Jordan,lowerlevel,G-07,C,Arabic,S,Mum,58,66,63,80,No,Bad,Above-7,M
F,Jordan,Iraq,MiddleSchool,G-02,B,French,F,Father,77,0,39,83,Yes,Bad,Above-7,M
F,KW,Jordan,lowerlevel,G-02,A,Spanish,F,Mum,68,73,94,45,No,Bad,Above-7,H
M,KW,KuwaIT,lowerlevel,G-11,B,Arabic,F,Mum,26,75,41,34,Yes,Bad,Under-7,H
F,USA,Syria,lowerlevel,G-04,A,Chemistry,F,Father,14,40,95,56,No,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-07,A,Biology,F,Mum,28,78,95,67,No,Good,Under-7,M
F,Jordan,Jordan,HighSchool,G-07,B,Arabic,S,Mum,54,0,94,98,Yes,Good,Under-7,M
M,USA,KuwaIT,MiddleSchool,G-08,A,French,F,Father,20,1,87,58,No,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-07,A,Arabic,F,Father,16,37,56,84,Yes,Good,Under-7,M
F,Iraq,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,85,1,26,50,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-08,B,Science,S,Father,38,1,97,78,Yes,Bad,Above-7,M
F,Palestine,Jordan,MiddleSchool,G-04,B,French,F,Father,17,41,36,84,Yes,Good,Under-7,M
F,Jordan,Jordan,HighSchool,G-11,B,History,S,Mum,66,1,83,79,No,Bad,Above-7,M
F,KW,lebanon,lowerlevel,G-02,B,Arabic,S,Father,58,82,87,55,No,Bad,Under-7,H
M,Jordan,Jordan,HighSchool,G-02,B,Arabic,F,Father,4,7,93,29,No,Bad,Under-7,H
M,KW,KuwaIT,lowerlevel,G-08,A,French,S,Mum,77,58,20,9,No,Bad,Above-7,M
M,Jordan,KuwaIT,MiddleSchool,G-11,B,Arabic,S,Father,12,57,8,72,No,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-02,B,IT,S,Father,26,1,70,7,Yes,Good,Under-7,M
M,Jordan,Iraq,MiddleSchool,G-08,B,Math,F,Father,0,85,38,82,Yes,Good,Under-7,M
M,Jordan,Iraq,lowerlevel,G-08,A,IT,F,Father,30,67,82,18,Yes,Bad,Under-7,L
M,KW,Jordan,lowerlevel,G-07,A,Science,F,Father,32,56,65,70,Yes,Good,Under-7,H
F,Palestine,KuwaIT,MiddleSchool,G-08,A,English,S,Father,2,1,75,9,Yes,Good,Under-7,H
M,Jordan,Egypt,lowerlevel,G-07,A,English,S,Mum,49,92,86,65,Yes,Good,Under-7,L
F,Jordan,KuwaIT,lowerlevel,G-06,B,Arabic,F,Mum,26,94,87,66,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-08,C,IT,F,Mum,0,46,41,97,Yes,Good,Above-7,L
M,SaudiArabia,Jordan,MiddleSchool,G-04,A,English,S,Mum,37,54,3,75,No,Bad,Above-7,M
M,Syria,Iraq,lowerlevel,G-12,B,English,S,Father,29,26,88,86,Yes,Bad,Under-7,M
F,KW,SaudiArabia,lowerlevel,G-08,A,IT,F,Mum,64,31,47,57,Yes,Bad,Above-7,H
M,KW,Jordan,lowerlevel,G-08,A,Geology,F,Father,26,45,12,78,Yes,Good,Above-7,H
F,Jordan,Jordan,MiddleSchool,G-10,B,Geology,S,Father,23,75,84,11,Yes,Bad,Above-7,L
F,Jordan,Egypt,lowerlevel,G-02,A,English,F,Father,87,30,97,82,Yes,Good,Above-7,M
F,SaudiArabia,KuwaIT,MiddleSchool,G-04,B,English,S,Mum,16,53,79,87,No,Bad,Under-7,H
M,KW,Jordan,lowerlevel,G-02,A,English,S,Father,15,54,93,57,Yes,Bad,Above-7,L
M,lebanon,Jordan,MiddleSchool,G-10,B,French,F,Father,12,49,91,88,Yes,Good,Under-7,H
M,Tunis,SaudiArabia,lowerlevel,G-04,B,Quran,S,Father,70,72,97,54,No,Bad,Above-7,M
F,USA,Jordan,MiddleSchool,G-04,B,Quran,S,Father,39,1,66,47,Yes,Bad,Above-7,L
M,Jordan,KuwaIT,MiddleSchool,G-08,B,Arabic,F,Father,44,1,45,77,Yes,Good,Under-7,M
