gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,lowerlevel,G-02,B,Science,S,Mum,47,0,0,77,Yes,Bad,Under-7,L
F,Jordan,Jordan,lowerlevel,G-08,B,IT,S,Mum,79,38,51,18,Yes,Good,Above-7,H
F,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,S,Mum,58,54,39,2,No,Good,Under-7,H
F,Iraq,KuwaIT,lowerlevel,G-08,C,Biology,S,Father,8,9,0,28,No,Good,Above-7,H
M,KW,USA,HighSchool,G-07,B,French,S,Father,33,0,16,98,Yes,Good,Under-7,L
F,Palestine,KuwaIT,MiddleSchool,G-02,B,French,S,Mum,0,0,15,44,Yes,Good,Under-7,H
M,Jordan,KuwaIT,lowerlevel,G-06,A,French,F,Mum,100,97,44,2,Yes,Good,Under-7,M
F,KW,USA,lowerlevel,G-08,B,French,F,Mum,0,17,66,37,No,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-12,A,English,S,Father,57,85,21,31,No,Good,Under-7,H
F,KW,Jordan,lowerlevel,G-07,C,IT,S,Father,81,77,0,11,Yes,Good,Under-7,M
F,Jordan,KuwaIT,MiddleSchool,G-02,A,French,F,Father,0,78,0,71,No,Bad,Under-7,M
F,Lybia,Jordan,lowerlevel,G-02,A,Spanish,F,Father,0,29,57,33,Yes,Bad,Above-7,H
F,KW,KuwaIT,lowerlevel,G-11,B,Arabic,F,Mum,77,0,0,46,Yes,Good,Under-7,M
F,USA,Syria,lowerlevel,G-02,B,IT,F,Father,46,0,16,74,No,Good,Under-7,M
M,Egypt,Jordan,lowerlevel,G-07,A,Biology,F,Mum,0,40,0,94,Yes,Good,Above-7,M
F,Jordan,Jordan,HighSchool,G-07,B,History,S,Mum,0,29,23,79,Yes,Good,Above-7,L
M,USA,KuwaIT,MiddleSchool,G-08,A,French,F,Father,0,20,0,60,No,Good,Under-7,M
F,Jordan,KuwaIT,lowerlevel,G-07,B,Arabic,F,Father,7,92,18,59,No,Good,Under-7,M
F,Palestine,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,51,0,48,75,No,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-08,A,Quran,S,Father,46,0,68,46,No,Bad,Above-7,M
F,Palestine,Jordan,MiddleSchool,G-08,B,French,F,Father,15,79,19,78,Yes,Good,Under-7,M
F,Jordan,Jordan,HighSchool,G-02,A,History,S,Father,0,99,14,98,Yes,Bad,Under-7,H
F,KW,lebanon,lowerlevel,G-02,C,IT,S,Father,17,0,19,68,Yes,Good,Above-7,M
M,Jordan,Jordan,HighSchool,G-02,B,Arabic,F,Father,4,37,10,64,No,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-08,A,French,S,Mum,12,52,25,72,Yes,Bad,Above-7,H
M,Jordan,KuwaIT,MiddleSchool,G-08,C,Arabic,S,Mum,0,0,31,51,Yes,Bad,Under-7,M
F,Jordan,venzuela,MiddleSchool,G-02,B,IT,S,Father,0,24,14,80,No,Bad,Under-7,H
