"gender","NationalITy","PlaceofBirth","StageID","GradeID","SectionID","Topic","Semester","Relation","raisedhands","VisITedResources","AnnouncementsView","Discussion","ParentAnsweringSurvey","ParentschoolSatisfaction","StudentAbsenceDays","Class"
"F","Jordan","Palestine","lowerlevel","G-02","B","French","S","Father",9,12,11,14,"No","Bad","Under-7","M"
"M","Palestine","Jordan","MiddleSchool","G-06","A","English","F","Mum",72,21,12,27,"No","Good","Above-7","M"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father",40,20,42,50,"No","Bad","Under-7","M"
"M","Morocco","Iran","MiddleSchool","G-08","A","Arabic","S","Mum",10,63,82,38,"Yes","Good","Under-7","M"
"F","Egypt","KuwaIT","MiddleSchool","G-07","A","IT","F","Father",2,20,0,40,"No","Good","Under-7","M"
"F","Jordan","Palestine","MiddleSchool","G-08","A","Chemistry","S","Father",85,80,42,38,"Yes","Good","Under-7","M"
"M","Palestine","Jordan","MiddleSchool","G-07","B","IT","F","Father",89,98,2,30,"No","Bad","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father",5,12,4,50,"Yes","Good","Above-7","L"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Geology","S","Mum",80,82,70,68,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-07","A","Biology","S","Father",80,72,54,36,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",80,83,51,66,"No","Bad","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Father",0,4,5,4,"No","Bad","Above-7","L"
"F","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father",2,20,0,80,"No","Bad","Above-7","L"
"F","Jordan","Jordan","lowerlevel","G-02","A","French","S","Father",9,14,17,23,"No","Bad","Above-7","L"
"M","Egypt","Egypt","lowerlevel","G-04","A","English","S","Father",20,20,14,20,"No","Good","Above-7","L"
"M","Palestine","Jordan","lowerlevel","G-02","A","French","S","Mum",70,98,11,23,"No","Good","Above-7","M"
"F","KW","KuwaIT","lowerlevel","G-02","A","IT","F","Father",24,90,23,13,"Yes","Good","Under-7","M"
"F","Jordan","Jordan","MiddleSchool","G-07","B","Biology","F","Father",80,90,50,33,"Yes","Good","Under-7","M"
"F","KW","KuwaIT","HighSchool","G-09","A","IT","F","Mum",24,35,28,49,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","B","Science","S","Father",32,20,23,33,"No","Bad","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father",1,0,1,11,"No","Bad","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father",10,2,6,50,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-07","B","Biology","S","Mum",21,97,9,23,"No","Good","Under-7","H"
"F","Jordan","Jordan","MiddleSchool","G-06","A","English","S","Mum",92,84,77,37,"No","Good","Under-7","H"
"F","KW","KuwaIT","HighSchool","G-10","A","French","S","Mum",83,80,30,80,"No","Good","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",50,90,22,2,"Yes","Bad","Under-7","H"
"M","Jordan","SaudiArabia","MiddleSchool","G-08","A","Spanish","S","Mum",78,87,20,41,"No","Bad","Under-7","H"
"F","USA","USA","HighSchool","G-12","A","English","F","Mum",65,79,64,89,"Yes","Good","Under-7","H"
"F","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father",10,4,10,22,"No","Bad","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",12,60,38,90,"Yes","Good","Above-7","M"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","S","Mum",85,81,72,38,"Yes","Good","Under-7","H"
"F","Jordan","Jordan","MiddleSchool","G-07","B","Biology","S","Father",85,89,58,66,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-07","B","Science","S","Father",10,12,11,13,"No","Bad","Above-7","L"
"F","Jordan","Jordan","MiddleSchool","G-06","A","English","S","Mum",90,91,74,95,"No","Good","Under-7","H"
"M","Jordan","Jordan","MiddleSchool","G-06","A","English","F","Father",18,17,23,26,"No","Good","Above-7","L"
"M","Egypt","Egypt","MiddleSchool","G-07","B","Science","S","Mum",72,80,95,76,"Yes","Good","Under-7","H"
"M","Jordan","lebanon","MiddleSchool","G-08","A","Chemistry","S","Father",20,20,9,20,"No","Bad","Above-7","L"
