gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,7,95,14,12,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,83,80,15,74,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Arabic,S,Mum,76,86,16,60,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,English,S,Mum,82,81,70,83,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,3,18,5,14,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,20,87,20,7,Yes,Good,Above-7,M
M,Jordan,KuwaIT,lowerlevel,G-02,B,Science,F,Father,9,74,8,52,No,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,78,90,35,19,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,18,17,8,14,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Mum,81,79,75,84,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,13,16,12,25,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,24,15,7,36,No,Bad,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,70,94,74,70,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-07,A,IT,F,Father,14,16,0,36,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Arabic,F,Father,19,94,19,28,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,Arabic,F,Father,17,30,9,50,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,71,83,19,52,No,Bad,Under-7,M
M,KW,Jordan,MiddleSchool,G-07,A,Arabic,S,Mum,80,86,57,72,Yes,Good,Under-7,M
