Dataset,Model,Accuracy Difference,F1 Score Difference,ROC AUC Difference
1,synthpop,0.04,0.05,0.0
1,ds,0.36,0.41,0.35
1,tvae,0.2,0.23,0.17
1,gaussian_copula,0.36,0.44,0.35
1,copula_gan,0.3,0.46,0.38
1,ctgan,0.36,0.47,0.53
2,synthpop,0.0,0.0,0.01
2,ds,-0.01,0.0,0.17
2,tvae,0.01,-0.05,0.01
2,gaussian_copula,-0.01,0.0,0.01
2,copula_gan,-0.01,0.0,0.13
2,ctgan,0.5,0.5,0.19
3,synthpop,-0.08,-0.08,-0.05
3,ds,0.29,0.26,0.06
3,tvae,-0.17,-0.15,-0.17
3,gaussian_copula,-0.08,0.0,0.02
3,copula_gan,-0.08,0.0,0.1
3,ctgan,-0.08,0.0,-0.17
5,synthpop,0.09,0.17,0.04
5,ds,0.12,0.15,0.19
5,tvae,0.09,0.11,0.03
5,gaussian_copula,0.08,0.19,0.1
5,copula_gan,0.1,0.18,0.16
5,ctgan,0.23,0.21,0.25
6,synthpop,0.0,0.01,-0.01
6,ds,0.01,0.03,0.06
6,tvae,0.01,0.03,0.01
6,gaussian_copula,0.03,0.12,0.05
6,copula_gan,0.01,0.02,0.0
6,ctgan,0.03,-0.01,0.0
