Dataset,Model,Accuracy Difference,F1 Score Difference,ROC AUC Difference
1,synthpop,0.07,0.07,0.05
1,ds,0.46,0.47,0.49
1,tvae,0.19,0.24,0.1
1,gaussian_copula,0.37,0.42,0.4
1,copula_gan,0.42,0.44,0.4
1,ctgan,0.5,0.55,0.43
2,synthpop,-0.04,0.01,-0.05
2,ds,0.04,0.05,0.04
2,tvae,-0.03,-0.02,-0.03
2,gaussian_copula,-0.06,0.01,-0.04
2,copula_gan,-0.07,0.01,0.06
2,ctgan,0.43,0.5,0.02
3,synthpop,-0.09,-0.1,-0.03
3,ds,0.33,0.25,0.34
3,tvae,-0.04,-0.04,0.07
3,gaussian_copula,0.0,0.05,0.04
3,copula_gan,0.0,0.05,0.05
3,ctgan,0.0,0.05,-0.03
5,synthpop,0.03,0.11,-0.02
5,ds,0.14,0.14,0.14
5,tvae,0.0,0.04,0.05
5,gaussian_copula,0.04,0.12,0.1
5,copula_gan,0.18,0.15,0.21
5,ctgan,0.24,0.19,0.21
6,synthpop,0.02,0.02,0.03
6,ds,0.02,0.03,0.06
6,tvae,0.04,0.03,0.04
6,gaussian_copula,0.05,0.09,0.12
6,copula_gan,0.02,0.06,0.04
6,ctgan,0.03,0.02,0.02
