Dataset,Model,Pairwise Corr Diff
1,synthpop,0.031035950843108
1,ds,0.1548317543906502
1,tvae,0.129155314217318
1,gaussian_copula,0.0989739480880373
1,copula_gan,0.1490436764824549
1,ctgan,0.14762279312634
2,synthpop,0.0232610284786286
2,ds,0.0482086521152153
2,tvae,0.1716753275178023
2,gaussian_copula,0.0346628163197616
2,copula_gan,0.0460736220671108
2,ctgan,0.0470813088735208
3,synthpop,0.0935574920861165
3,ds,0.252146784066244
3,tvae,0.1141052252263114
3,gaussian_copula,0.1896985586928669
3,copula_gan,0.2368505326396549
3,ctgan,0.2394757299464774
5,synthpop,0.0418337200273204
5,ds,0.1202812683037002
5,tvae,0.0931168072662085
5,gaussian_copula,0.0732723317376896
5,copula_gan,0.0822773682272667
5,ctgan,0.0813517373114855
6,synthpop,0.01285680319119893
6,ds,0.036573484044721695
6,tvae,0.022943338394106505
6,gaussian_copula,0.03797871706921795
6,copula_gan,0.04442655232696089
6,ctgan,0.027616267487147694
