Dataset,Model,WD Diff
1,synthpop,0.0036383343318303
1,ds,0.057473543376482
1,tvae,0.110541943357594
1,gaussian_copula,0.0120573959122016
1,copula_gan,0.018956387257076
1,ctgan,0.028091687471491
2,synthpop,0.0034911111111111
2,ds,0.0727739682539682
2,tvae,0.1323477777777778
2,gaussian_copula,0.0077473015873015
2,copula_gan,0.0240273015873015
2,ctgan,0.0197771428571428
3,synthpop,0.0075180953319489
3,ds,0.0957560367225569
3,tvae,0.0669626588064407
3,gaussian_copula,0.023785418528896
3,copula_gan,0.0310626393134789
3,ctgan,0.0290974242694067
5,synthpop,0.0066956888707917
5,ds,0.1393441143333987
5,tvae,0.2344186493649541
5,gaussian_copula,0.0100311888608471
5,copula_gan,0.0500766615592654
5,ctgan,0.0459887438608132
6,synthpop,0.006353744436953656
6,ds,0.015619854903902839
6,tvae,0.030042934805777865
6,gaussian_copula,0.006366363292040462
6,copula_gan,0.030910573431009575
6,ctgan,0.026413319963063998
