id_assessment,id_student,date_submitted,is_banked,score
37426,620726,98,0,65.0
15024,151917,201,0,40.0
14995,514140,189,0,80.0
15024,604990,190,0,65.0
34906,684183,171,0,80.0
34904,604614,223,0,67.0
34904,692097,7,0,88.0
34880,2567571,215,0,74.0
14998,593743,96,0,77.0
25366,642310,146,0,41.0
25364,696072,62,0,95.0
25355,618968,33,0,56.0
30716,600623,112,0,92.0
15011,630763,117,0,49.0
14987,523672,124,0,46.0
14984,539345,19,0,62.0
25356,498582,53,0,75.0
14998,410842,93,0,85.0
34867,549790,59,0,85.0
34874,1390051,53,0,68.0
14987,541363,124,0,15.0
24296,595553,69,0,84.0
34876,561268,130,0,95.0
34867,472602,202,0,62.0
14997,444821,46,0,75.0
1753,2532302,47,0,72.0
25364,525870,61,0,78.0
34910,690382,240,0,87.0
14985,472348,47,0,38.0
34878,547773,40,0,83.0
25362,628662,20,0,35.0
25365,485282,110,0,78.0
34863,423601,220,0,56.0
34867,68208,203,0,57.0
25362,547786,-1,1,49.0
37435,650388,37,0,65.0
14996,615127,19,0,90.0
34861,479057,42,0,84.0
24287,553280,69,0,100.0
24294,581676,208,0,62.0
24294,634200,204,0,72.0
34904,549219,10,0,82.0
34869,359417,180,0,67.0
34862,237401,89,0,80.0
34871,529569,154,0,76.0
34876,601213,128,0,96.0
15012,117699,147,0,83.0
15020,1937822,5,0,100.0
15016,627647,84,0,100.0
25363,656393,41,0,60.0
14992,429494,-1,1,100.0
34904,637800,58,0,50.0
34884,1559964,228,0,92.0
34875,184473,96,0,51.0
1762,31600,214,0,54.0
34884,594546,207,0,81.0
25368,685964,244,0,91.0
25361,628956,234,0,84.0
25364,656987,61,0,55.0
25351,611593,122,0,94.0
34877,2686536,162,0,89.0
24292,650863,103,0,99.0
14985,517890,46,0,70.0
25342,528271,54,0,89.0
25338,368749,155,0,64.0
25344,560347,117,0,68.0
34879,506309,17,0,87.0
24299,689792,243,0,80.0
30722,656010,165,0,51.0
