gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,MiddleSchool,G-02,A,History,F,Mum,77,96,50,98,Yes,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,IT,S,Mum,13,96,73,5,No,Bad,Under-7,M
F,lebanon,Jordan,lowerlevel,G-08,B,Arabic,F,Mum,41,96,29,15,No,Good,Under-7,H
F,Iraq,KuwaIT,lowerlevel,G-08,B,Biology,F,Father,94,70,50,94,No,Bad,Under-7,M
M,KW,USA,HighSchool,G-07,A,French,S,Father,3,69,5,3,Yes,Good,Under-7,M
F,Palestine,Jordan,MiddleSchool,G-02,A,Science,S,Mum,84,99,18,50,No,Good,Under-7,M
M,Jordan,KuwaIT,MiddleSchool,G-02,A,French,F,Mum,14,69,12,6,No,Good,Under-7,M
F,KW,USA,MiddleSchool,G-07,B,French,F,Mum,63,48,64,53,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-12,A,English,S,Father,69,93,2,57,Yes,Bad,Under-7,H
M,KW,Jordan,lowerlevel,G-07,C,IT,S,Mum,33,94,92,3,Yes,Good,Under-7,M
F,Jordan,Iraq,MiddleSchool,G-02,A,French,F,Father,2,77,35,42,Yes,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,83,5,80,56,No,Bad,Above-7,H
M,KW,KuwaIT,MiddleSchool,G-11,B,Arabic,F,Mum,97,68,82,4,No,Bad,Under-7,H
M,USA,Syria,lowerlevel,G-02,B,IT,F,Father,29,40,4,3,No,Good,Under-7,M
M,Egypt,Jordan,lowerlevel,G-07,A,Biology,F,Mum,47,98,41,65,No,Good,Under-7,M
F,Jordan,Jordan,HighSchool,G-07,A,History,S,Mum,12,0,24,4,Yes,Bad,Under-7,M
F,USA,KuwaIT,MiddleSchool,G-08,A,French,F,Father,0,92,21,36,Yes,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-07,A,Arabic,F,Mum,80,98,51,45,Yes,Good,Under-7,M
F,Iraq,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,1,91,0,35,Yes,Good,Under-7,M
M,Jordan,KuwaIT,lowerlevel,G-08,A,IT,S,Mum,19,98,65,8,Yes,Good,Above-7,M
F,Palestine,KuwaIT,MiddleSchool,G-07,B,French,F,Father,16,94,4,39,Yes,Good,Under-7,M
F,Jordan,Jordan,HighSchool,G-11,A,History,S,Father,3,31,3,39,No,Bad,Above-7,M
F,KW,lebanon,lowerlevel,G-02,B,IT,S,Mum,76,95,2,5,No,Bad,Under-7,H
M,KW,Jordan,HighSchool,G-02,A,Chemistry,F,Father,28,12,50,7,No,Good,Under-7,H
