gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,lowerlevel,G-02,B,Science,S,Mum,99,8,36,54,Yes,Bad,Under-7,H
M,Jordan,Jordan,lowerlevel,G-08,B,French,S,Mum,100,83,35,83,Yes,Good,Above-7,M
F,lebanon,Jordan,MiddleSchool,G-08,B,Arabic,S,Mum,76,72,50,37,No,Good,Above-7,H
F,Iraq,KuwaIT,MiddleSchool,G-08,A,Biology,F,Father,100,61,0,28,No,Good,Above-7,H
M,KW,USA,HighSchool,G-07,A,French,S,Father,96,27,2,38,No,Good,Under-7,H
F,Tunis,Jordan,MiddleSchool,G-02,A,Spanish,S,Mum,21,0,0,27,No,Good,Under-7,H
M,Jordan,KuwaIT,MiddleSchool,G-06,A,French,S,Mum,100,99,33,32,No,Good,Under-7,M
F,KW,USA,MiddleSchool,G-07,B,French,F,Mum,100,0,50,41,Yes,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-12,A,English,S,Father,100,91,70,71,No,Good,Above-7,H
F,KW,Jordan,lowerlevel,G-07,C,IT,S,Mum,94,5,17,34,Yes,Good,Under-7,M
F,Jordan,KuwaIT,MiddleSchool,G-02,B,French,F,Father,95,14,49,55,No,Good,Under-7,L
F,Jordan,Jordan,MiddleSchool,G-02,B,Spanish,F,Mum,69,51,54,72,Yes,Bad,Above-7,H
M,KW,KuwaIT,HighSchool,G-11,B,French,S,Mum,88,67,43,98,Yes,Good,Under-7,M
F,USA,Syria,lowerlevel,G-08,B,IT,F,Father,100,0,46,77,No,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-07,C,Biology,F,Mum,71,62,0,58,Yes,Good,Above-7,M
F,Jordan,Jordan,HighSchool,G-07,B,Arabic,S,Mum,31,35,54,83,Yes,Bad,Above-7,L
M,USA,KuwaIT,MiddleSchool,G-08,A,French,F,Mum,75,0,93,98,Yes,Bad,Under-7,M
F,KW,KuwaIT,lowerlevel,G-07,A,Arabic,F,Father,30,54,27,42,No,Good,Under-7,M
M,Iraq,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,91,75,40,42,No,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-08,B,Quran,S,Mum,100,13,0,53,No,Bad,Above-7,M
