"gender","NationalITy","PlaceofBirth","StageID","GradeID","SectionID","Topic","Semester","Relation","raisedhands","VisITedResources","AnnouncementsView","Discussion","ParentAnsweringSurvey","ParentschoolSatisfaction","StudentAbsenceDays","Class"
"M","Jordan","USA","HighSchool","G-11","B","IT","F","Mum",100,91,60,66,"Yes","Bad","Under-7","H"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Geology","S","Mum",89,91,79,23,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-07","B","IT","F","Father",41,90,19,10,"No","Good","Under-7","L"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",12,10,20,50,"No","Bad","Above-7","L"
"F","KW","KuwaIT","HighSchool","G-10","A","IT","F","Father",87,90,7,19,"Yes","Good","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",0,0,4,50,"Yes","Good","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-04","A","English","S","Father",15,21,2,20,"No","Bad","Above-7","L"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father",5,0,1,50,"No","Bad","Above-7","L"
"M","Jordan","Jordan","MiddleSchool","G-07","B","Science","S","Mum",72,80,58,69,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","Math","F","Father",39,20,11,40,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father",5,7,0,41,"No","Good","Above-7","L"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Geology","F","Father",12,65,51,38,"Yes","Good","Under-7","M"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",10,2,4,50,"Yes","Good","Under-7","M"
"F","Jordan","Palestine","MiddleSchool","G-08","A","Geology","F","Mum",95,93,52,38,"No","Bad","Under-7","H"
"F","Jordan","Jordan","lowerlevel","G-04","B","Science","S","Mum",72,88,52,21,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","lowerlevel","G-02","B","French","S","Mum",30,80,83,43,"Yes","Good","Under-7","H"
