gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,70,89,75,78,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Mum,81,85,22,16,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Science,S,Mum,69,75,74,25,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Science,S,Mum,81,79,70,84,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,71,82,68,28,Yes,Good,Under-7,M
M,Jordan,KuwaIT,lowerlevel,G-02,A,Arabic,S,Father,79,84,16,33,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,75,80,11,42,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,77,83,74,98,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,19,9,18,39,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,84,84,78,24,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-02,A,Arabic,S,Father,49,89,47,36,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,S,Father,93,88,40,57,Yes,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,69,94,31,79,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,12,84,8,23,No,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,Arabic,F,Father,88,98,30,30,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,80,91,14,34,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,67,81,17,65,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,15,83,21,32,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,7,72,16,56,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,5,89,12,16,No,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,83,81,61,42,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,13,16,11,40,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,English,S,Father,94,93,52,79,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Quran,S,Father,86,85,46,72,Yes,Good,Under-7,M
