gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,master's degree,standard,completed,94,37,96
female,group D,associate's degree,standard,completed,81,77,77
female,group B,high school,standard,completed,52,49,64
male,group D,some college,standard,completed,71,72,89
female,group C,some high school,standard,completed,88,31,92
female,group D,bachelor's degree,standard,completed,67,60,92
male,group C,associate's degree,standard,completed,100,72,75
female,group E,some college,free/reduced,none,95,49,82
male,group B,some high school,standard,none,100,57,51
female,group A,some high school,standard,none,75,83,49
female,group C,high school,free/reduced,none,100,71,82
female,group D,high school,standard,completed,100,32,95
male,group D,some high school,standard,completed,100,47,88
female,group D,high school,standard,completed,92,70,86
male,group B,high school,free/reduced,completed,85,41,98
female,group C,some high school,standard,completed,94,46,82
male,group B,associate's degree,standard,none,100,44,51
female,group A,some high school,standard,completed,96,58,59
female,group D,associate's degree,free/reduced,none,100,58,36
male,group B,high school,standard,none,91,75,87
female,group C,high school,standard,none,83,48,98
female,group E,high school,standard,completed,96,41,100
female,group C,some high school,standard,none,79,36,99
female,group B,associate's degree,standard,completed,100,42,33
male,group B,associate's degree,free/reduced,none,96,88,100
male,group A,high school,free/reduced,none,68,69,59
female,group E,some high school,free/reduced,none,84,46,78
male,group D,associate's degree,standard,none,100,90,100
female,group D,some high school,standard,none,93,54,55
male,group B,some college,free/reduced,completed,78,100,82
female,group E,some college,free/reduced,none,89,81,30
female,group C,some college,standard,completed,68,78,99
female,group D,high school,standard,completed,78,28,65
male,group A,some college,standard,none,95,50,75
male,group B,some high school,standard,completed,92,26,64
female,group D,bachelor's degree,free/reduced,completed,90,68,43
female,group B,high school,standard,none,63,49,39
male,group E,associate's degree,standard,completed,79,91,84
female,group E,bachelor's degree,standard,completed,74,42,80
male,group B,bachelor's degree,standard,none,92,70,68
female,group E,associate's degree,free/reduced,none,79,52,46
male,group C,associate's degree,standard,none,90,33,88
male,group D,associate's degree,free/reduced,none,97,33,94
female,group A,some college,standard,none,100,51,96
female,group E,bachelor's degree,standard,completed,73,30,50
female,group C,some high school,free/reduced,none,80,56,89
female,group D,some high school,standard,none,74,36,69
male,group D,master's degree,free/reduced,none,78,42,90
male,group C,master's degree,standard,completed,99,87,81
female,group D,bachelor's degree,standard,none,85,53,71
female,group C,some high school,standard,none,85,69,63
female,group A,master's degree,standard,none,85,58,95
female,group D,some college,free/reduced,completed,86,58,98
male,group D,associate's degree,free/reduced,none,97,28,78
female,group D,some college,free/reduced,none,68,42,70
male,group C,associate's degree,standard,none,99,28,81
female,group B,some college,standard,completed,91,83,96
female,group E,high school,standard,completed,78,35,68
male,group C,associate's degree,standard,none,64,79,58
female,group E,some college,free/reduced,completed,82,57,94
female,group C,high school,free/reduced,none,67,35,69
male,group D,high school,free/reduced,completed,54,73,63
female,group B,some high school,standard,none,93,46,88
female,group E,associate's degree,standard,completed,67,55,96
male,group B,bachelor's degree,free/reduced,none,70,57,88
male,group C,bachelor's degree,free/reduced,none,77,48,60
female,group C,some college,standard,none,41,48,86
male,group C,bachelor's degree,standard,completed,99,48,85
female,group C,high school,standard,none,85,63,88
female,group D,some high school,standard,none,96,27,61
male,group A,some high school,standard,completed,71,100,99
male,group C,associate's degree,standard,completed,90,50,83
