gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,master's degree,standard,completed,98,90,94
female,group D,associate's degree,standard,completed,92,73,76
female,group B,high school,standard,none,77,71,69
male,group D,some college,free/reduced,completed,83,86,79
female,group C,some high school,standard,none,100,85,92
female,group D,bachelor's degree,free/reduced,none,100,95,100
male,group C,associate's degree,standard,completed,100,69,100
female,group E,high school,free/reduced,none,100,98,98
male,group B,some high school,free/reduced,none,92,84,94
female,group A,some high school,standard,none,75,100,79
female,group C,high school,free/reduced,none,74,99,92
female,group D,high school,standard,completed,100,65,100
male,group D,some high school,standard,completed,73,95,94
female,group D,high school,standard,completed,100,80,95
female,group B,high school,free/reduced,completed,86,96,100
female,group C,some high school,standard,completed,61,97,100
male,group B,associate's degree,standard,none,61,45,99
female,group A,some high school,standard,completed,94,80,100
female,group D,associate's degree,free/reduced,none,66,100,100
female,group B,high school,standard,none,89,72,39
female,group C,high school,standard,none,85,98,100
female,group E,high school,standard,completed,67,95,100
female,group C,some high school,standard,none,100,80,63
male,group A,associate's degree,standard,completed,91,87,64
male,group B,high school,free/reduced,none,88,61,100
male,group A,high school,free/reduced,completed,53,90,100
female,group D,some high school,free/reduced,none,77,100,60
female,group D,associate's degree,standard,none,15,69,100
female,group D,some college,standard,none,100,77,68
male,group B,some college,free/reduced,completed,100,40,100
female,group C,bachelor's degree,free/reduced,none,100,62,83
female,group C,bachelor's degree,standard,completed,61,100,90
female,group D,high school,standard,completed,89,68,100
male,group A,some high school,standard,none,60,100,73
male,group B,some high school,standard,completed,73,90,100
female,group D,bachelor's degree,free/reduced,completed,77,64,100
female,group C,high school,standard,none,78,100,87
male,group E,associate's degree,standard,completed,100,90,92
female,group E,some college,standard,none,83,67,59
male,group B,bachelor's degree,standard,none,100,91,87
female,group B,some high school,free/reduced,completed,79,100,29
male,group C,associate's degree,standard,none,44,85,100
male,group D,some college,free/reduced,none,83,100,92
male,group A,some college,standard,none,91,94,100
female,group E,bachelor's degree,standard,completed,100,91,87
female,group C,some high school,free/reduced,none,74,83,99
female,group D,some high school,standard,none,75,81,96
male,group D,master's degree,free/reduced,none,98,90,66
female,group C,master's degree,standard,completed,87,79,88
female,group D,bachelor's degree,standard,none,72,90,71
female,group C,some high school,standard,none,81,98,100
female,group A,master's degree,standard,none,52,74,69
female,group C,bachelor's degree,standard,completed,100,31,100
male,group D,associate's degree,free/reduced,none,95,100,100
female,group D,high school,standard,none,70,95,99
male,group C,associate's degree,standard,none,84,97,83
female,group B,some college,standard,none,64,85,98
female,group E,high school,free/reduced,none,77,100,72
male,group C,associate's degree,standard,completed,74,98,94
female,group B,some college,free/reduced,completed,95,69,63
female,group C,high school,free/reduced,completed,90,100,90
female,group D,some high school,free/reduced,completed,69,73,73
female,group B,some high school,standard,none,75,72,99
female,group B,associate's degree,standard,completed,100,58,47
male,group B,bachelor's degree,free/reduced,completed,70,74,58
female,group C,bachelor's degree,free/reduced,none,90,98,100
female,group C,some college,standard,none,85,95,100
male,group C,bachelor's degree,standard,none,90,72,100
female,group C,high school,standard,none,93,61,96
male,group A,some high school,standard,none,100,42,58
male,group D,some high school,standard,none,68,84,97
female,group A,associate's degree,standard,none,89,80,100
female,group B,associate's degree,free/reduced,none,94,79,70
female,group D,some high school,standard,none,84,80,100
female,group C,some high school,standard,none,100,90,73
female,group C,some high school,standard,none,100,79,48
female,group E,associate's degree,standard,completed,100,79,100
female,group C,some high school,standard,none,92,98,89
female,group D,master's degree,standard,completed,97,85,99
female,group E,some college,standard,completed,90,86,81
male,group E,associate's degree,free/reduced,none,98,60,91
female,group D,bachelor's degree,standard,none,100,55,94
female,group C,some college,standard,none,66,90,100
