gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,some college,standard,completed,83,82,80
male,group E,associate's degree,standard,none,55,59,57
male,group C,bachelor's degree,standard,none,69,86,82
female,group C,associate's degree,standard,none,94,100,100
male,group E,some college,free/reduced,completed,87,81,83
female,group B,associate's degree,free/reduced,completed,67,72,74
male,group E,high school,standard,none,57,66,62
female,group C,associate's degree,standard,completed,40,52,62
female,group C,bachelor's degree,free/reduced,none,40,54,53
female,group B,bachelor's degree,standard,none,54,55,48
male,group D,some high school,standard,completed,93,89,92
female,group A,associate's degree,free/reduced,none,78,83,74
female,group D,high school,free/reduced,completed,48,73,75
male,group D,master's degree,standard,completed,53,71,65
male,group D,some college,standard,completed,73,86,92
female,group D,some college,standard,completed,60,71,81
male,group D,master's degree,standard,none,80,79,73
male,group B,some college,standard,none,69,58,57
male,group E,associate's degree,free/reduced,completed,82,68,69
female,group D,associate's degree,standard,none,74,94,91
female,group E,master's degree,standard,completed,84,90,87
male,group C,some high school,standard,none,64,76,78
female,group B,associate's degree,standard,none,64,59,57
male,group B,some college,standard,none,60,53,58
male,group E,bachelor's degree,free/reduced,none,37,53,51
female,group A,high school,standard,completed,100,100,100
female,group D,high school,free/reduced,none,45,64,54
female,group C,bachelor's degree,standard,none,79,78,76
female,group D,high school,standard,none,71,74,76
female,group D,some high school,standard,none,71,80,84
female,group C,master's degree,standard,none,59,59,69
male,group D,some college,standard,none,72,68,60
male,group E,associate's degree,free/reduced,none,66,66,59
male,group B,associate's degree,standard,none,86,86,89
male,group E,some college,standard,completed,77,78,76
female,group B,some college,free/reduced,none,49,58,62
male,group E,some college,standard,none,89,82,81
female,group E,high school,standard,none,54,68,66
male,group D,some college,standard,none,78,74,74
male,group E,some high school,free/reduced,none,63,76,70
male,group D,some high school,free/reduced,none,71,57,55
male,group D,master's degree,standard,none,39,38,40
male,group C,associate's degree,standard,none,58,56,50
male,group D,some high school,standard,completed,58,58,66
male,group D,high school,free/reduced,none,43,56,53
male,group E,some college,standard,none,64,54,50
male,group C,high school,free/reduced,none,65,62,61
female,group B,some high school,free/reduced,completed,44,47,47
female,group E,high school,standard,none,73,77,74
female,group B,bachelor's degree,standard,completed,67,73,71
male,group D,associate's degree,standard,none,74,63,61
female,group D,bachelor's degree,standard,none,67,73,75
female,group E,some high school,free/reduced,none,62,74,66
male,group E,associate's degree,free/reduced,none,92,90,90
male,group B,bachelor's degree,standard,completed,100,100,99
female,group E,high school,free/reduced,none,43,53,52
female,group C,high school,standard,none,93,100,95
male,group D,bachelor's degree,free/reduced,none,62,86,82
female,group A,master's degree,free/reduced,completed,100,100,100
male,group D,associate's degree,standard,completed,90,89,84
female,group A,high school,standard,none,51,52,56
male,group B,high school,standard,none,51,52,55
male,group B,high school,standard,none,89,81,81
male,group D,high school,free/reduced,none,38,45,38
female,group E,high school,standard,completed,92,94,91
female,group D,some college,free/reduced,none,62,67,67
female,group B,high school,standard,none,57,58,61
female,group B,some college,standard,none,69,77,76
female,group C,associate's degree,standard,completed,97,96,95
male,group C,some college,standard,none,70,70,71
male,group D,associate's degree,standard,none,100,94,95
female,group B,associate's degree,standard,completed,50,57,63
female,group C,high school,standard,none,58,54,60
female,group D,some high school,standard,none,55,65,66
male,group C,some high school,standard,none,91,80,72
male,group C,some college,standard,none,44,48,45
male,group D,high school,standard,completed,71,77,80
male,group B,high school,free/reduced,none,50,56,43
female,group B,some college,standard,none,46,56,59
female,group D,associate's degree,standard,none,81,90,86
female,group D,some college,standard,none,71,78,72
female,group D,some college,standard,none,74,65,67
male,group C,bachelor's degree,free/reduced,none,41,44,45
male,group C,some college,standard,completed,75,67,68
female,group A,some college,standard,none,67,80,77
male,group D,some college,standard,none,64,55,56
male,group E,bachelor's degree,standard,none,60,80,69
male,group C,associate's degree,standard,none,83,85,82
female,group E,some high school,standard,completed,70,83,87
male,group C,some high school,free/reduced,completed,63,59,61
male,group D,bachelor's degree,free/reduced,none,67,75,66
male,group E,some high school,free/reduced,completed,59,63,65
male,group C,some college,free/reduced,completed,63,64,66
male,group A,some college,standard,none,50,51,57
female,group B,some college,standard,none,86,86,80
female,group B,some college,free/reduced,none,33,39,43
female,group E,associate's degree,free/reduced,completed,52,57,50
female,group C,bachelor's degree,standard,completed,74,72,82
female,group C,associate's degree,free/reduced,none,67,78,80
female,group A,high school,standard,none,77,88,84
male,group C,associate's degree,free/reduced,none,59,70,62
male,group B,high school,free/reduced,none,59,53,54
male,group A,bachelor's degree,standard,completed,93,91,90
female,group D,bachelor's degree,standard,none,94,96,94
male,group C,high school,free/reduced,none,73,70,61
female,group E,associate's degree,free/reduced,completed,71,73,81
female,group C,some college,standard,none,30,45,55
female,group C,some college,standard,completed,63,58,60
female,group B,some high school,free/reduced,completed,50,59,64
male,group C,some high school,free/reduced,none,75,63,61
male,group B,some college,standard,completed,85,75,77
female,group D,bachelor's degree,standard,completed,65,72,83
male,group B,bachelor's degree,standard,none,45,35,37
female,group A,some college,standard,none,61,76,70
male,group C,bachelor's degree,free/reduced,completed,57,62,70
male,group C,high school,standard,completed,96,94,93
male,group C,associate's degree,free/reduced,none,63,60,58
female,group E,some college,standard,none,50,66,67
female,group D,associate's degree,free/reduced,none,55,68,71
female,group D,associate's degree,standard,none,44,54,56
female,group D,some college,standard,none,65,69,62
female,group E,some college,standard,none,60,61,63
male,group C,some high school,standard,completed,72,75,70
male,group C,associate's degree,standard,none,72,70,68
female,group D,some college,standard,none,64,59,63
male,group E,high school,free/reduced,none,51,64,63
male,group E,some high school,free/reduced,completed,87,89,87
female,group E,master's degree,standard,none,85,88,89
female,group C,some college,free/reduced,none,55,77,76
female,group D,high school,standard,none,65,65,65
male,group E,some high school,free/reduced,none,83,83,79
female,group B,bachelor's degree,standard,none,75,82,80
female,group B,associate's degree,standard,completed,60,57,63
female,group A,some college,free/reduced,none,66,76,82
male,group C,some college,standard,completed,52,62,64
female,group B,some high school,standard,completed,72,84,78
