gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,associate's degree,standard,completed,78,89,84
female,group D,some college,free/reduced,none,74,60,81
male,group C,high school,free/reduced,none,46,44,48
female,group C,some college,standard,none,84,77,76
male,group C,high school,standard,none,51,54,38
female,group C,associate's degree,standard,completed,73,87,87
male,group C,associate's degree,standard,none,61,62,64
female,group D,some college,standard,none,81,82,72
male,group C,high school,standard,none,62,53,53
male,group C,high school,standard,none,69,61,60
male,group C,high school,standard,none,56,61,52
male,group C,associate's degree,standard,none,80,75,70
male,group C,high school,free/reduced,none,47,56,41
male,group C,high school,standard,none,52,50,53
male,group C,some college,standard,none,72,76,65
female,group C,associate's degree,standard,none,72,85,74
female,group D,bachelor's degree,standard,none,74,90,93
female,group D,associate's degree,standard,none,80,82,94
male,group C,associate's degree,standard,none,54,61,56
male,group C,associate's degree,standard,none,63,81,79
male,group C,high school,standard,none,65,62,74
female,group C,associate's degree,standard,none,86,83,82
male,group C,associate's degree,standard,none,74,69,68
male,group C,high school,standard,none,63,63,65
female,group D,associate's degree,standard,none,69,86,88
female,group C,associate's degree,standard,none,80,70,73
male,group C,associate's degree,standard,none,71,83,66
male,group C,high school,standard,none,63,58,73
male,group C,high school,standard,none,60,62,52
female,group E,associate's degree,standard,completed,55,70,71
female,group C,associate's degree,standard,none,69,66,74
male,group E,associate's degree,standard,none,73,95,69
male,group C,high school,standard,none,50,63,54
female,group C,some college,standard,none,51,73,80
male,group C,associate's degree,standard,none,56,67,76
female,group C,some college,standard,none,73,80,85
male,group C,high school,standard,none,64,53,56
male,group C,high school,standard,none,61,78,63
female,group D,associate's degree,standard,none,68,91,79
male,group C,some college,standard,none,60,83,81
female,group C,some college,standard,none,58,79,75
female,group C,some college,standard,none,43,65,79
female,group C,associate's degree,standard,none,62,82,44
male,group C,high school,standard,none,76,59,59
male,group C,high school,free/reduced,none,55,61,50
female,group C,some college,standard,none,85,88,96
female,group D,associate's degree,standard,none,72,79,76
male,group E,associate's degree,standard,none,70,80,80
female,group C,some college,free/reduced,none,71,72,47
male,group C,some college,standard,none,74,90,89
male,group C,high school,standard,none,58,74,50
female,group D,some college,free/reduced,none,70,76,75
female,group C,associate's degree,standard,none,58,75,58
male,group C,high school,standard,none,63,64,56
female,group D,associate's degree,standard,none,85,83,73
female,group E,associate's degree,standard,completed,86,92,83
female,group D,some high school,standard,none,74,72,83
male,group C,some college,standard,none,55,60,59
female,group D,some college,standard,completed,87,87,76
male,group C,some college,standard,none,85,78,66
female,group D,associate's degree,standard,completed,94,85,88
female,group D,some college,standard,none,89,65,76
female,group C,associate's degree,free/reduced,none,69,63,68
male,group D,some college,standard,none,54,61,67
male,group D,some college,standard,none,77,76,80
male,group C,high school,free/reduced,none,44,46,41
male,group C,high school,standard,none,67,67,72
