Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,24.0,5.0,3.0,1.0,5.0,1.0,4.0,5.0,4.0,0.0,0.0,59.47952171,40.0,3.84,2.931683096,8.0,1.0,36.50022693,1.0
0.0,20.0,5.0,5.0,4.0,4.0,1.0,1.0,5.0,2.0,0.0,0.0,260.3132079,20.0,10.26,3.192383085,6.0,8.0,76.9975737,0.0
1.0,19.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,69.600572014,57.0,8.41,0.723464678,3.0,1.0,99.96680673,0.0
0.0,19.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,3.259523336,9.0,6.83,3.113100558,11.0,1.0,92.18737874,0.0
0.0,20.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,0.0,1.0,60.079997002,17.0,36.3,0.273009515,2.0,1.0,47.07049282,0.0
0.0,19.0,1.0,1.0,2.0,5.0,4.0,3.0,5.0,5.0,0.0,1.0,117.400240938,64.0,7.6,3.128019043,7.0,1.0,27.20023161,0.0
0.0,22.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,0.0,0.0,57.282564476,27.0,19.82,2.256998892,6.0,1.0,99.9999922,0.0
0.0,19.0,2.0,4.0,2.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,143.340244477,62.0,5.26,5.503630008,4.0,1.0,31.81045929,0.0
0.0,19.0,4.0,2.0,4.0,5.0,1.0,1.0,5.0,5.0,0.0,1.0,24.004060366,15.0,7.34,5.503630008,3.0,1.0,27.2008702,1.0
0.0,19.0,1.0,4.0,3.0,4.0,2.0,4.0,0.0,5.0,0.0,1.0,17.774709399,1.0,23.49,2.490845144,10.0,8.0,82.08606721,0.0
1.0,19.0,1.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,0.0,1.0,3.259523341,36.0,47.39,3.322873042,13.0,1.0,99.86730135,0.0
0.0,20.0,4.0,4.0,3.0,1.0,5.0,4.0,3.0,3.0,0.0,0.0,3.259698674,32.0,8.65,5.503630008,9.0,9.0,99.99998261,1.0
0.0,19.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,0.0,1.0,3.260121132,70.0,7.59,2.320689324,12.0,1.0,97.73265031,0.0
0.0,19.0,4.0,1.0,3.0,3.0,3.0,0.0,5.0,4.0,0.0,1.0,82.686972702,35.0,0.03,3.68891021,2.0,1.0,98.21178509,0.0
0.0,19.0,4.0,5.0,1.0,0.0,0.0,4.0,3.0,5.0,0.0,1.0,69.880198956,26.0,7.79,3.170036089,6.0,3.0,97.249323,0.0
0.0,19.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,0.0,1.0,3.259523491,32.0,11.57,2.846751526,10.0,12.0,14.02950238,0.0
0.0,21.0,2.0,4.0,3.0,0.0,4.0,2.0,5.0,4.0,0.0,0.0,79.804865707,29.0,16.99,5.316371215,9.0,1.0,99.99995669,0.0
0.0,20.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,0.0,0.0,41.84178499,29.0,14.07,5.503630008,10.0,1.0,90.702538,0.0
0.0,20.0,5.0,2.0,1.0,4.0,4.0,5.0,5.0,4.0,0.0,0.0,47.811965406,12.0,2.22,1.360870979,7.0,11.0,39.65862243,0.0
0.0,19.0,5.0,1.0,4.0,5.0,3.0,2.0,5.0,5.0,0.0,1.0,30.984126787,12.0,3.32,2.192735677,5.0,7.0,12.66541448,0.0
0.0,19.0,4.0,3.0,3.0,4.0,3.0,0.0,5.0,4.0,1.0,0.0,83.867595828,31.0,1.74,2.297834516,6.0,1.0,32.57628792,0.0
0.0,19.0,5.0,2.0,5.0,5.0,2.0,1.0,4.0,4.0,0.0,0.0,80.248551141,75.0,3.04,2.565618742,9.0,9.0,99.9999986,0.0
1.0,19.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,55.800496602,32.0,6.64,1.860814943,4.0,9.0,99.99999548,0.0
0.0,19.0,2.0,5.0,3.0,5.0,3.0,5.0,5.0,2.0,0.0,1.0,3.259984208,23.0,0.03,3.160294835,8.0,1.0,98.78206109,0.0
0.0,20.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,0.0,1.0,0.0,6.124812112,41.0,12.48,3.362370673,13.0,4.0,22.62714789,1.0
0.0,19.0,2.0,3.0,4.0,5.0,1.0,3.0,4.0,5.0,0.0,1.0,3.259525241,69.0,7.4,3.480749429,13.0,4.0,99.94733487,1.0
0.0,21.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,5.0,0.0,1.0,3.259904385,38.0,2.43,4.347520359,13.0,7.0,56.13277288,0.0
0.0,19.0,2.0,3.0,4.0,4.0,4.0,1.0,5.0,5.0,0.0,1.0,5.449725761,24.0,2.05,3.052150651,11.0,1.0,89.61231326,0.0
0.0,21.0,4.0,5.0,1.0,5.0,4.0,3.0,4.0,4.0,0.0,1.0,5.314984497,35.0,28.96,1.41641061,11.0,4.0,92.91854146,0.0
0.0,21.0,2.0,5.0,3.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,9.398613642,17.0,7.78,0.866633197,5.0,6.0,39.96648743,0.0
0.0,19.0,2.0,1.0,3.0,1.0,3.0,5.0,3.0,5.0,0.0,0.0,10.228774848,33.0,7.92,1.588893856,12.0,8.0,58.74256104,0.0
0.0,20.0,5.0,2.0,1.0,4.0,1.0,1.0,5.0,5.0,0.0,1.0,113.155828887,72.0,3.53,2.545534441,6.0,1.0,91.54516412,0.0
1.0,19.0,5.0,1.0,2.0,4.0,3.0,3.0,1.0,5.0,0.0,0.0,57.01113619,49.0,10.75,3.495412587,4.0,1.0,0.43132935,0.0
0.0,20.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,0.0,1.0,22.49432086,18.0,6.85,5.503630008,3.0,1.0,61.91714805,0.0
0.0,20.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,3.259523341,52.0,5.3,2.347380075,9.0,1.0,90.37239361,0.0
0.0,19.0,3.0,4.0,3.0,1.0,3.0,2.0,5.0,4.0,0.0,0.0,3.339626543,23.0,5.93,1.074512044,1.0,1.0,72.53151324,0.0
1.0,19.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,0.0,1.0,5.730926488,20.0,7.64,1.024190027,3.0,5.0,91.55368485,0.0
0.0,19.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,3.259523337,29.0,6.26,2.271936801,11.0,1.0,99.98169872,0.0
0.0,19.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,3.28370418,43.0,32.12,2.014519477,10.0,2.0,100.0,0.0
