Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,26.0,5.0,3.0,4.0,5.0,1.0,3.0,5.0,4.0,0.0,0.0,0.0,33.0,23.28,4.701456683,8.0,0.0,90.3215244,0.0
0.0,22.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,0.0,0.0,67.98048093,22.0,26.32,0.002513228,6.0,3.0,64.84543116,0.0
0.0,23.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,49.373669178,45.0,2.75,0.729833696,8.0,5.0,100.0,1.0
0.0,24.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,0.0,1.0,0.03,2.282919208,7.0,2.0,100.0,0.0
0.0,19.0,1.0,1.0,4.0,5.0,3.0,1.0,5.0,5.0,0.0,1.0,28.594764502,78.0,30.95,1.042912957,11.0,0.0,100.0,0.0
0.0,22.0,1.0,1.0,2.0,5.0,4.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,4.58,5.503630008,4.0,0.0,100.0,0.0
0.0,21.0,5.0,1.0,1.0,4.0,3.0,1.0,5.0,4.0,0.0,1.0,2.075393114,61.0,7.9,0.24295247,6.0,0.0,87.00831993,0.0
0.0,19.0,2.0,4.0,2.0,0.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,0.03,0.002513228,10.0,7.0,57.14239453,0.0
0.0,23.0,4.0,2.0,4.0,5.0,1.0,4.0,5.0,5.0,0.0,1.0,11.91803053,20.0,2.08,0.785214629,13.0,3.0,96.65363637,1.0
0.0,19.0,1.0,3.0,3.0,4.0,2.0,5.0,0.0,5.0,1.0,1.0,0.0,13.0,34.47,0.002513228,11.0,1.0,95.63772098,0.0
1.0,21.0,1.0,5.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,28.681166329,6.0,10.0,1.735029303,12.0,0.0,100.0,0.0
0.0,22.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,10.54,2.086472952,5.0,8.0,83.92430302,1.0
0.0,20.0,1.0,3.0,1.0,3.0,1.0,4.0,5.0,3.0,0.0,1.0,4.324816721,37.0,33.98,0.735130208,9.0,5.0,77.78880402,0.0
0.0,22.0,4.0,1.0,4.0,3.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,1.03,0.476825716,3.0,1.0,100.0,0.0
0.0,21.0,4.0,5.0,1.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,50.0,0.03,2.238080727,8.0,0.0,88.38044633,0.0
