"Gender","Age","POLAR4 Quintile","POLAR3 Quintile","Adult HE 2001 Quintile","Adult HE 2011 Quintile","TUNDRA MSOA Quintile","TUNDRA LSOA Quintile","Gaps GCSE Quintile ","Gaps GCSE Ethnicity Quintile","Uni Connect target ward","attending from home?","distance to university (km)","Count of Module Area Logins","Total Hours in Module Area","% of Average Hours in Module Area","# of presence","# of Absence","Percent Attended","label (fail=1, pass=0)"
0,22,2,3,2,3,2,2,0,1,0,0,0,82,29.67,0.672582235,8,4,66.67,0
0,20,5,5,5,5,5,5,5,4,0,1,43.19664358,42,15.59,1.306040564,8,4,66.66666667,0
0,22,5,5,4,5,5,5,5,5,0,0,0,335,35.94,3.456525573,12,0,100,0
1,21,5,5,4,5,4,4,5,5,0,0,153.1291962,48,18.57,1.306040564,12,0,100,0
0,21,2,1,1,2,1,1,3,4,0,1,17.32749755,3,0.03,0.776587302,0,8,41.66666667,0
0,32,1,1,2,2,3,3,0,1,1,1,15.71160919,23,7.01,0.552910053,4,8,50,0
0,21,3,4,2,4,4,4,3,4,0,1,10.96595163,25,14.12,1.182892416,9,3,83.33333333,0
0,22,5,5,4,4,3,3,5,5,0,0,0,50,13.07,1.015080762,12,0,100,0
0,25,1,1,1,1,1,1,1,0,1,1,56.55174503,48,6.6,0.01340388,4,6,33.33333333,1
0,20,3,3,2,4,3,3,3,4,0,0,0,76,35.94,3.456525573,12,0,100,0
0,23,4,3,3,4,3,3,4,5,0,1,14.20329549,35,13.26,1.253923295,8,4,66.67,0
0,19,4,3,3,4,0,0,1,0,1,1,60.79114499,35,9.27,0.256658726,10,2,83.33333333,1
0,20,2,2,1,2,1,1,1,3,0,1,79.88045752,24,6.28,0.254100565,4,6,50,1
0,20,4,4,3,4,2,2,3,4,0,1,15.71160919,44,16.38,1.253923295,10,2,75,0
0,23,5,4,3,4,3,3,5,5,0,0,0,50,18.57,1.578306878,12,0,100,0
0,22,1,2,1,2,1,1,1,2,1,0,0,66,28.1,0.710540468,8,4,66.66666667,0
0,32,3,4,3,3,3,3,0,2,1,1,79.88045752,37,4.47,0.56882716,10,1,91.66666667,0
0,19,5,4,3,0,3,3,4,5,0,1,56.93876554,74,34.37,1.86984127,8,1,100,0
0,20,1,1,2,0,1,1,0,2,0,0,0,48,13.07,1.094929453,4,8,50,0
0,22,4,3,3,4,4,4,5,5,0,0,0,76,70.38,2.207851573,12,0,100,0
0,23,1,2,1,1,1,1,3,4,0,0,0,29,9.29,0.536630177,0,6,33.33,0
0,25,2,3,3,3,2,2,2,0,0,0,0,30,25.93,0.881509366,6,6,33.33,0
0,25,2,1,1,1,1,1,1,0,0,1,43.36628919,72,19.96,2.093518519,4,6,50,0
0,20,1,2,1,3,1,1,3,3,0,1,79.88045752,48,10.82,0.862037037,10,2,75,0
0,22,4,3,3,5,3,3,4,5,0,1,25.20825881,42,18.15,1.306040564,10,0,100,0
0,23,1,1,1,1,1,1,3,3,0,0,0,48,15.29,0.585247286,4,12,0,0
0,22,5,4,4,5,5,5,4,5,0,1,69.0102332,48,9.27,0.721296296,12,0,100,1
0,19,2,1,2,1,3,3,0,3,0,0,0,76,24.99,0.672582235,4,3,66.67,0
0,24,2,2,1,1,1,1,3,5,0,0,9.528501411,81,24.99,0.710540468,6,8,50,0
0,22,2,2,1,2,1,1,3,4,0,1,26.17878687,55,37.34,5.503630008,10,0,91.66666667,0
0,21,4,4,3,5,4,4,4,5,0,1,17.32749755,45,6.14,0.721296296,9,3,83.33333333,1
0,22,2,2,1,2,1,1,1,2,1,1,18.69570791,31,6.14,0.71116895,8,1,91.66666667,0
0,22,2,1,1,2,1,1,1,0,0,1,18.69570791,14,0.03,0.254100565,5,8,50,1
0,19,5,5,4,4,4,4,5,5,0,0,33.89493679,74,19.96,1.497358953,12,0,100,0
0,20,4,4,4,4,4,4,4,5,0,1,10.11326162,23,0.16,0.552910053,4,8,0,0
0,22,5,5,4,5,4,4,5,5,0,0,0,76,29.67,1.078202026,12,0,100,0
0,21,3,3,2,3,4,4,3,3,0,1,60.79114499,46,10.29,0.862037037,8,1,91.66666667,0
0,22,5,5,4,5,5,5,4,4,0,0,17.32749755,34,22.43,1.86984127,10,3,75,0
0,24,2,3,2,3,3,3,4,5,0,1,23.58863612,83,70.38,3.128130511,10,0,88.89,0
0,22,4,3,3,4,4,4,4,5,0,1,12.74442906,38,18.84,1.672134039,9,2,83.33333333,0
0,21,5,5,4,4,4,4,4,5,0,1,260.3132079,30,13.07,1.306040564,6,7,0,0
0,20,1,2,1,3,1,1,1,0,0,1,15.71160919,38,16.38,1.094929453,6,3,66.67,0
0,20,5,4,3,4,3,3,5,5,0,1,13.82471854,32,16.38,1.182892416,10,2,83.33333333,0
0,22,3,3,2,3,2,2,2,1,0,0,0,30,13.07,1.578306878,0,6,33.33,0
0,22,4,4,3,4,4,4,4,5,0,0,0,76,24.99,0.703638971,12,0,100,0
0,22,2,2,2,3,3,3,0,0,1,0,9.528501411,61,8.1,0.776587302,13,0,100,0
0,20,4,3,4,4,4,4,4,5,0,1,25.20825881,83,24.99,1.711507937,12,0,100,0
0,21,3,2,1,2,3,3,3,4,0,1,25.20825881,42,6.14,0.776587302,6,6,0,0
0,21,4,3,4,5,4,4,4,5,0,1,26.17878687,72,13.51,0.90643739,12,0,100,0
1,44,5,5,4,4,4,4,4,5,0,1,0,50,14.32,0.585247286,12,0,100,0
0,25,4,3,3,4,3,3,4,5,0,1,23.58863612,74,22.32,1.497358953,10,2,75,0
0,22,4,3,3,4,3,3,4,5,0,1,26.17878687,73,18.46,1.094929453,10,0,88.89,0
0,20,5,4,3,0,3,3,3,3,0,1,56.93876554,35,4.47,0.56882716,8,1,83.33333333,1
0,22,4,5,4,4,3,3,5,5,0,0,0,51,6.79,0.254100565,12,0,100,1
0,20,5,5,4,4,4,4,4,5,0,1,83.67401388,37,13.07,0.754445872,10,2,83.33333333,0
0,22,4,4,3,4,4,4,4,5,0,1,26.17878687,76,24.99,2.172266314,12,0,100,0
0,22,4,2,1,2,4,4,3,3,0,1,79.88045752,55,6.79,0.342075404,10,2,83.33333333,0
0,25,4,4,3,4,3,3,5,5,0,0,0,29,13.07,1.182892416,0,6,33.33333333,0
0,22,5,4,3,4,4,4,4,5,0,1,15.15672055,70,6.79,0.514373898,12,0,100,1
1,21,5,3,3,5,4,4,4,5,0,1,20.03198531,45,10.82,1.365520282,10,3,83.33333333,0
0,25,4,4,3,4,3,3,5,5,0,1,3.259523336,59,18.36,1.147707231,8,1,91.66666667,0
0,20,2,3,2,2,3,3,4,5,0,0,49.76421155,41,9.29,0.374470899,10,2,83.33333333,1
0,22,2,2,2,3,1,1,2,0,1,0,0,75,6.79,0.254100565,12,0,100,1
0,20,5,5,4,4,4,4,5,5,0,1,13.82471854,23,0.03,0.552910053,8,4,66.66666667,0
0,20,3,4,2,2,3,3,3,3,0,1,60.79114499,46,20.67,1.497358953,9,0,100,0
0,20,2,2,1,1,1,1,1,2,1,1,56.55174503,74,13.51,1.365520282,8,4,66.66666667,0
0,20,1,1,1,1,1,1,3,4,0,1,101.4196272,30,6.6,0.256658726,3,6,0,1
0,22,5,4,3,4,4,4,4,5,0,1,69.0102332,48,13.07,1.280908289,10,0,83.33333333,0
0,20,5,4,3,4,3,3,5,5,0,1,33.89493679,73,20.43,1.497358953,10,0,91.66666667,0
0,22,4,4,4,4,4,4,5,5,0,1,3.259523336,29,22.65,0.710540468,6,8,33.33333333,1
0,20,5,3,3,4,2,2,1,1,0,1,25.78203164,72,6.79,0.552910053,9,2,75,1
0,20,3,3,2,2,3,3,3,3,0,0,0,76,29.67,0.710540468,13,0,100,0
0,21,3,2,2,3,4,4,4,5,0,0,0,66,19.56,0.585247286,12,0,100,0
0,21,4,4,3,4,4,4,3,5,0,1,12.74442906,32,13.7,1.076499118,9,2,75,0
1,20,5,5,5,4,4,4,4,5,0,1,25.78203164,76,175.44,2.207851573,12,0,100,0
0,21,3,2,1,2,2,2,3,4,0,1,12.74442906,46,18.84,1.182892416,10,3,83.33333333,0
0,23,2,3,2,4,2,2,2,3,0,0,0,75,8.1,0.256658726,12,0,100,1
0,22,5,5,4,4,4,4,3,4,0,1,69.0102332,24,16.3,1.306040564,8,4,66.66666667,0
0,32,4,3,4,4,3,3,4,5,0,1,17.32749755,3,12.51,1.520502646,4,8,33.33,0
0,20,2,1,1,1,1,1,3,5,0,1,15.71160919,70,21.44,0.958680649,8,4,66.66666667,0
0,20,5,5,4,4,3,3,5,4,0,0,56.93876554,55,25.18,2.093518519,12,0,100,0
1,20,5,4,4,4,4,4,4,5,0,1,13.82471854,42,16.87,1.672134039,10,0,100,0
0,20,2,2,1,2,1,1,2,0,1,1,43.36628919,34,4.47,0.514373898,10,2,75,0
0,22,4,4,4,5,4,4,3,4,0,1,10.96595163,70,19.56,1.672134039,12,0,100,0
0,22,5,5,4,4,5,5,5,5,0,1,12.74442906,42,16.87,1.131790123,8,1,91.66666667,0
0,22,1,1,1,1,1,1,3,5,0,1,10.96595163,42,13.7,1.094929453,8,4,66.66666667,0
0,20,5,3,3,4,3,3,4,5,0,1,25.78203164,76,35.94,2.207851573,12,0,100,0
0,22,1,2,1,3,1,1,3,4,0,1,23.58863612,38,10.82,1.520502646,10,0,91.66666667,0
1,44,5,4,3,4,3,3,5,5,0,0,12.74442906,38,9.29,0.552910053,11,1,88.89,0
0,22,1,1,1,2,1,1,3,4,0,1,23.58863612,55,37.34,3.456525573,9,2,83.33333333,0
0,22,5,4,3,4,4,4,4,5,0,1,17.32749755,45,10.29,0.862037037,9,0,88.89,0
1,20,5,5,5,4,4,4,4,5,0,1,33.89493679,72,19.96,1.711507937,12,0,100,0
1,20,5,5,5,4,4,4,4,5,0,1,20.03198531,3,0.16,0.514373898,8,1,100,0
0,22,3,4,2,3,3,3,3,5,0,0,49.76421155,30,13.07,1.306040564,4,6,50,0
0,20,5,4,4,4,3,3,5,5,0,0,260.3132079,55,25.18,1.86984127,12,0,100,0
0,22,1,1,1,1,1,1,3,3,0,1,15.71160919,44,14.12,1.131790123,4,6,0,0
0,21,3,4,3,2,3,3,0,2,1,1,60.79114499,48,4.47,0.002513228,9,2,75,1
1,20,5,5,4,4,3,3,5,5,0,0,33.89493679,73,20.43,1.731613757,12,0,100,0
0,20,3,2,1,2,3,3,3,4,0,1,14.20329549,70,8.1,0.56882716,12,0,100,0
0,19,3,2,1,3,3,3,3,4,0,1,15.84412643,3,12.51,1.094929453,0,12,50,0
0,22,4,4,3,4,4,4,4,5,0,1,26.17878687,72,19.96,1.711507937,9,0,88.89,0
0,24,3,4,3,3,3,3,4,5,0,0,0,50,15.29,1.131790123,12,0,100,0
0,20,2,1,1,1,1,1,1,2,1,1,15.71160919,25,5.68,0.536630177,4,7,50,0
0,22,4,4,3,5,4,4,4,5,0,1,15.71160919,46,13.26,0.57596128,9,0,88.89,0
0,20,4,4,3,4,3,3,5,5,0,0,0,82,175.44,2.207851573,12,0,100,0
0,22,1,1,1,1,1,1,2,0,1,0,0,48,22.43,1.078202026,8,4,66.67,0
