id_assessment,id_student,date_submitted,is_banked,score
25351,492187,5,1,80.0
34885,2378608,112,0,96.0
15022,519972,157,0,80.0
1752,394162,107,0,41.0
34884,526730,1,1,88.0
37406,567840,179,0,80.0
25334,568708,-8,1,55.0
34889,589844,-11,1,88.0
25351,516183,1,1,72.0
34897,538046,57,0,87.0
34880,543320,-6,1,80.0
25338,15112,-10,1,76.0
25357,2649095,19,0,47.0
34876,217272,-2,1,72.0
34888,80476,-7,1,57.0
14986,445639,84,0,69.0
34884,36043,210,0,26.0
14990,411228,114,0,71.0
34885,565203,-8,1,74.0
34887,576966,0,1,90.0
15011,569307,153,0,80.0
37408,599264,101,0,100.0
34883,509273,215,0,88.0
34889,564265,47,0,99.0
34886,241448,201,0,64.0
34890,225828,0,1,80.0
37432,557648,165,0,80.0
25339,497254,-7,1,64.0
25359,597488,103,0,91.0
37418,507913,86,0,100.0
14988,331486,-5,1,66.0
25340,23869,-11,1,87.0
34902,677067,159,0,84.0
37412,186033,54,0,66.0
25352,595115,133,0,57.0
15003,499145,9,1,48.0
30712,388380,125,0,69.0
24291,629148,119,0,84.0
24280,76468,13,0,64.0
15003,470112,51,0,64.0
34888,543712,-11,1,92.0
30686,264599,131,0,70.0
34888,564720,227,0,96.0
25353,503685,5,1,78.0
37423,593885,159,0,44.0
24300,609936,102,0,100.0
34895,592508,223,0,86.0
34885,1514391,132,0,44.0
34868,523361,-2,1,87.0
15015,415946,23,0,3.0
15013,259794,17,0,85.0
25363,249572,-11,1,89.0
34894,675310,22,0,83.0
24305,604361,35,0,90.0
34880,609034,72,0,80.0
15012,538059,-7,1,70.0
14981,555626,145,0,100.0
24284,1985654,208,0,38.0
34882,681194,197,0,74.0
15008,324493,92,0,84.0
1752,2375566,11,0,100.0
25370,478286,-8,1,90.0
34880,531070,180,0,93.0
25351,538517,-3,1,83.0
15002,1623481,-11,1,88.0
34922,671844,196,0,90.0
37437,552021,172,0,40.0
34890,571048,127,0,88.0
34892,565299,-11,1,88.0
34887,586541,212,0,64.0
34893,513149,216,0,90.0
30706,570246,139,0,41.0
25341,1963114,-11,1,51.0
25353,6516,-11,1,35.0
15002,484148,-8,1,85.0
25349,536438,87,0,30.0
34909,676156,207,0,89.0
15013,587969,0,1,100.0
37388,595966,19,0,100.0
15005,392472,-11,1,72.0
37439,556976,164,0,80.0
25354,504655,-11,1,69.0
34883,537547,21,0,79.0
24292,606117,5,1,77.0
15013,1518780,97,0,90.0
34888,66702,5,1,70.0
25362,436142,2,1,94.0
30735,636156,242,0,94.0
34881,532555,171,0,44.0
15001,492386,1,1,66.0
24277,2685221,21,0,78.0
37443,1923172,226,0,65.0
34887,150636,1,1,76.0
34906,602500,194,0,62.0
15019,525458,98,0,90.0
34894,85900,230,0,86.0
25356,589550,18,0,44.0
34882,565061,59,0,89.0
34885,438439,97,0,66.0
34878,520583,-11,1,75.0
37411,1747479,158,0,100.0
34894,2466252,196,0,93.0
15007,295165,86,0,88.0
30737,2485070,76,0,93.0
25364,236772,10,1,59.0
25370,269943,-6,1,62.0
34890,418060,213,0,49.0
34894,684663,8,0,88.0
15009,301298,80,0,92.0
37443,591315,23,0,100.0
37439,624237,166,0,100.0
14994,94254,-5,1,100.0
24288,572377,21,0,45.0
25344,521186,-5,1,62.0
25361,275343,-7,1,63.0
25343,493305,-11,1,61.0
34874,525721,53,0,74.0
34895,380991,-2,1,91.0
37401,366020,61,0,74.0
34880,273009,-11,1,80.0
25345,529197,15,1,94.0
25343,558133,19,0,69.0
37428,579351,167,0,80.0
15018,2550624,29,0,100.0
25343,1656884,-11,1,65.0
15010,615729,95,0,75.0
34884,593844,194,0,80.0
37443,616672,151,0,100.0
37400,608468,29,0,48.0
34881,629794,205,0,67.0
1752,210357,-6,1,68.0
34881,556378,211,0,53.0
25353,2386646,6,1,63.0
14995,120964,8,0,100.0
24307,594819,216,0,77.0
34881,568073,127,0,70.0
34893,618539,129,0,43.0
30714,565171,50,0,72.0
34875,434686,-1,1,94.0
34891,562740,200,0,85.0
1752,79661,112,0,70.0
34876,2677145,216,0,77.0
15017,514990,-11,1,67.0
25354,450607,10,1,65.0
14986,372922,202,0,67.0
34893,691368,141,0,88.0
34888,384933,101,0,87.0
30718,570077,135,0,67.0
15000,578771,43,0,81.0
30723,510322,160,0,83.0
24306,558897,130,0,92.0
1753,554693,-11,1,59.0
24292,610550,217,0,59.0
25353,551356,10,1,79.0
15013,556039,-9,1,100.0
14998,79675,-4,1,100.0
34890,178113,6,1,80.0
25358,525566,-5,1,57.0
25356,540522,4,1,83.0
34896,1514544,118,0,85.0
25347,571122,55,0,68.0
34890,564931,55,0,89.0
34894,684461,232,0,92.0
34896,560071,219,0,34.0
34898,673490,206,0,86.0
24305,667912,227,0,21.0
25357,172896,-11,1,67.0
34880,587751,117,0,58.0
24309,677985,129,0,82.0
34884,102430,55,0,62.0
30701,622852,20,0,91.0
25345,377264,50,0,86.0
34883,573694,59,0,74.0
1902,2600895,133,0,64.0
14984,562170,97,0,56.0
25351,449293,1,1,85.0
34888,332860,-11,1,91.0
34897,621529,196,0,90.0
25366,498137,-8,1,66.0
14995,614074,-11,1,100.0
30728,611416,172,0,100.0
37414,367554,4,1,100.0
25339,506578,-2,1,91.0
25362,518994,-6,1,89.0
37440,583105,169,0,63.0
34900,684632,132,0,88.0
24288,609674,242,0,87.0
15005,499168,114,0,80.0
34886,643749,196,0,90.0
34887,2122588,3,1,84.0
25352,558627,6,1,48.0
34882,423093,52,0,86.0
25343,2036391,-11,1,65.0
25362,502246,51,0,86.0
25355,545556,4,1,86.0
34876,574046,90,0,90.0
34892,563291,188,0,83.0
25350,559728,126,0,66.0
34878,2500917,-4,1,72.0
34888,578228,223,0,88.0
34887,1847653,106,0,29.0
25357,585071,42,0,89.0
34906,611956,121,0,62.0
34892,324950,-5,1,88.0
30722,514824,3,1,69.0
25351,487142,-1,1,78.0
15006,492115,96,0,67.0
15004,577006,95,0,100.0
37443,589294,235,0,100.0
14994,594408,15,0,100.0
37439,570064,27,0,41.0
30727,530698,149,1,67.0
1752,396822,149,0,78.0
34888,2296093,-7,1,61.0
25360,6516,-3,1,69.0
34903,555127,164,0,81.0
25356,543818,94,0,68.0
15003,601784,161,0,100.0
24285,583703,18,0,66.0
24285,65093,225,0,36.0
34889,596039,206,0,72.0
34889,453781,202,0,95.0
34879,264162,70,0,80.0
34880,374705,1,1,88.0
25354,525007,17,0,35.0
34896,501907,2,1,65.0
34904,689999,173,0,87.0
30675,524599,134,0,71.0
25367,286969,-10,1,70.0
25355,506128,-1,1,73.0
15024,569593,161,0,84.0
25348,473711,-1,1,83.0
24311,577691,195,0,48.0
34888,577535,64,0,80.0
1874,2472866,118,0,86.0
34894,565404,209,0,85.0
34896,568077,207,0,99.0
24310,628109,19,0,94.0
34898,612362,213,0,92.0
25355,612035,49,0,87.0
37434,1936470,84,0,80.0
34883,549834,-2,1,83.0
15009,514108,0,1,100.0
25342,586950,17,0,40.0
15028,696565,167,0,86.0
14997,452220,-4,1,100.0
34885,620752,214,0,77.0
25360,453827,53,0,82.0
30719,477805,119,0,87.0
25354,463309,-6,1,41.0
25348,484808,-4,1,37.0
34892,551582,187,0,79.0
25349,574907,9,1,78.0
34887,568077,156,0,85.0
34889,551981,209,0,56.0
14985,480142,3,1,53.0
34879,408319,129,0,90.0
1752,1841544,-8,1,71.0
34891,2279582,72,0,89.0
34880,350847,-1,1,61.0
14995,581837,27,0,100.0
34903,687092,210,0,85.0
34885,525885,-6,1,78.0
15025,74083,103,0,87.0
24293,1770171,22,0,2.0
25359,544643,-4,1,58.0
34896,653637,199,0,85.0
25363,282074,-2,1,35.0
25366,574498,121,0,81.0
34909,689890,201,0,92.0
34880,519335,220,0,58.0
30711,617490,21,0,73.0
24303,604156,23,0,42.0
15010,416080,71,0,85.0
34883,260341,1,1,77.0
37412,637900,165,0,60.0
15002,488525,-11,1,61.0
24301,627780,208,0,37.0
34893,2698588,78,0,92.0
15010,478805,104,0,67.0
34900,506803,0,1,67.0
24281,262787,26,0,100.0
37443,2096350,166,0,64.0
34888,595342,89,0,82.0
1752,573852,1,1,65.0
25363,481901,-9,1,69.0
14999,475890,0,1,67.0
24280,592146,15,0,91.0
34887,588538,213,0,29.0
25345,476342,-7,1,58.0
15008,464901,-11,1,87.0
24274,591983,229,0,29.0
37405,682276,237,0,80.0
34877,542828,53,0,72.0
15003,570569,9,1,70.0
34895,560205,56,0,66.0
34891,683804,53,0,70.0
15010,604793,204,0,76.0
15006,588653,160,0,66.0
30723,685346,125,0,91.0
25345,460417,-2,1,84.0
37437,2114419,138,0,80.0
25352,537943,-9,1,90.0
34884,37731,0,1,28.0
1796,2578851,-2,1,62.0
14998,251032,85,0,100.0
34910,675940,77,0,89.0
14986,275728,83,0,69.0
34881,2510249,-5,1,63.0
34896,1820049,209,0,92.0
25339,36203,-11,1,49.0
37417,457051,164,0,100.0
24279,561265,27,0,26.0
25360,387208,128,0,55.0
25354,33726,-4,1,62.0
37443,681932,229,0,59.0
34890,581718,59,0,83.0
34874,403680,68,0,66.0
34889,512508,20,0,93.0
34897,698027,232,0,82.0
24293,672682,21,0,92.0
30705,225690,80,0,82.0
25350,226741,6,1,84.0
