"id_assessment","id_student","date_submitted","is_banked","score"
34892,509292,31,0,97
25352,314956,165,0,41
15000,612684,166,0,65
34877,601390,173,0,26
14984,545725,15,0,40
34909,696043,231,0,87
14984,521430,19,0,73
34896,2306016,201,0,93
25353,1963677,206,0,89
25335,2666577,52,0,57
34901,691873,94,0,72
25354,564356,237,0,96
14991,506650,60,0,100
37438,620826,93,0,100
14986,483064,88,0,83
14996,589471,20,0,63
15006,570623,168,0,80
34901,646460,107,0,88
34903,643502,199,0,94
15013,567048,194,0,76
14995,50993,189,0,80
14986,509768,105,0,65
25359,629822,154,0,73
37429,345881,123,0,80
25349,600963,53,0,42
25358,615075,115,0,81
15015,365111,49,0,100
25366,1917311,149,0,81
24287,528023,69,0,31
15010,635228,86,0,80
14999,1910175,128,0,83
30721,655865,130,0,83
34862,1689730,85,0,84
25350,593303,88,0,66
25356,564081,53,0,89
34891,155158,189,0,100
15007,516364,210,0,80
15000,612891,166,0,78
37417,605072,170,0,60
24297,636422,147,0,95
37440,685575,160,0,100
34883,582494,172,0,23
34884,518937,235,0,66
37431,631277,188,0,100
15024,683275,199,0,60
14989,555263,183,0,76
34884,2137171,237,0,88
34904,680080,233,0,79
15004,544627,-1,1,80
24284,629710,151,0,86
25350,566979,70,0,96
1754,364177,117,0,67
25363,593903,38,0,65
14997,494214,45,0,77
34910,593796,209,0,98
25367,676553,194,0,58
34888,611813,86,0,26
25364,623641,59,0,85
15016,1866742,84,0,80
34868,546329,220,0,78
34896,74521,201,0,93
15007,605916,210,0,60
34875,571859,95,0,98
25356,428769,38,0,89
24283,622652,102,0,85
15024,679971,200,0,49
34886,342303,23,0,88
34903,629818,199,0,88
14993,401349,126,0,80
34889,613677,129,0,51
1759,175447,51,0,73
24295,2009279,21,0,78
15012,635771,152,0,83
34901,1658963,92,0,94
15015,630030,49,0,100
37418,582460,115,0,100
15008,486994,12,0,83
15000,614064,165,0,73
15023,676151,144,0,60
34905,684671,242,0,84
15007,602395,210,0,100
25365,650957,115,0,46
34868,1073767,194,0,86
30719,674747,32,0,85
34889,597495,129,0,63
30722,648436,166,0,85
24286,631473,20,0,80
34902,683467,135,0,91
25339,532491,201,0,44
24291,615241,31,0,70
15023,688954,155,0,57
37440,690579,172,0,80
37418,2462584,186,0,100
30714,632883,33,0,94
15005,611228,133,0,100
14993,546843,126,0,80
34864,533485,165,0,27
25354,407374,237,0,80
25361,614176,236,0,69
34886,594136,24,0,86
15000,495625,180,0,50
34868,1337055,132,0,84
24287,619303,69,0,97
15021,340592,47,0,72
37423,582486,230,0,100
24293,473491,165,0,45
24284,264159,151,0,62
34876,596982,131,0,81
34875,590707,101,0,73
34904,676007,97,0,95
