school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,17,U,GT3,T,1,4,other,other,home,father,1,2,0,no,yes,yes,yes,yes,yes,no,yes,1,4,4,1,1,5,6,8,15,6
GP,F,18,U,GT3,T,2,2,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,4,2,4,2,1,1,1,12,11,13
GP,M,17,U,GT3,T,2,3,at_home,other,other,mother,2,2,3,no,no,no,yes,yes,no,yes,yes,4,4,3,1,3,5,2,18,19,0
GP,M,17,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,2,3,1,2,3,28,12,8,0
GP,M,18,R,GT3,T,4,2,health,other,other,father,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,2,2,4,2,1,5,6,9,16,14
GP,M,16,U,LE3,T,3,2,teacher,at_home,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,2,1,5,3,19,14,7
GP,F,19,U,GT3,T,3,4,at_home,other,reputation,mother,1,2,1,yes,no,yes,no,yes,yes,no,no,5,4,2,1,1,5,24,11,19,13
GP,F,16,R,GT3,T,2,2,teacher,other,home,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,1,2,2,1,5,75,16,13,7
GP,M,17,U,GT3,T,3,1,health,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,5,3,1,4,4,2,6,3,16
GP,F,16,R,GT3,T,2,4,health,other,reputation,father,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,29,12,14,10
MS,M,19,U,GT3,A,3,4,teacher,other,course,mother,1,3,1,yes,no,no,yes,yes,no,yes,no,3,5,5,2,2,2,25,10,17,1
MS,M,17,U,GT3,T,3,3,teacher,other,home,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,3,2,3,6,17,0
GP,M,18,U,GT3,T,3,1,other,other,home,mother,1,1,0,no,no,no,yes,no,yes,yes,no,2,3,2,2,3,5,28,11,13,7
GP,F,18,U,GT3,T,3,4,teacher,services,other,other,2,3,0,yes,yes,no,no,yes,yes,yes,no,3,4,3,2,1,5,8,10,15,12
GP,F,21,U,GT3,T,3,3,teacher,other,home,father,1,2,0,yes,yes,no,no,yes,yes,yes,no,1,4,3,2,1,3,3,16,13,15
GP,M,17,U,GT3,T,4,1,teacher,at_home,course,father,2,2,0,yes,no,yes,no,no,yes,no,no,4,5,2,1,1,4,9,7,10,5
GP,M,18,U,GT3,T,3,1,other,other,home,mother,1,1,0,yes,yes,yes,no,no,yes,yes,yes,4,3,4,1,1,4,10,12,15,9
MS,M,17,U,GT3,T,4,4,health,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,2,3,5,0,11,16,12
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,4,3,2,3,1,4,17,15,9
GP,F,18,R,GT3,T,2,4,other,other,course,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,4,4,3,3,3,4,7,19,18,9
GP,M,17,U,LE3,T,2,4,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,2,1,3,1,4,12,14,18
GP,F,16,U,GT3,T,1,2,at_home,other,course,mother,1,3,0,no,no,yes,yes,yes,yes,no,no,5,4,2,1,1,4,19,10,12,14
MS,F,16,U,GT3,T,4,2,health,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,2,1,5,1,13,19,9
GP,M,18,U,GT3,T,2,4,other,other,other,mother,1,2,1,yes,no,yes,no,yes,yes,yes,no,3,4,3,4,4,5,13,12,16,8
GP,M,15,U,GT3,T,3,2,at_home,other,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,4,4,3,2,1,3,22,16,9,17
GP,M,17,U,GT3,T,2,2,health,other,home,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,4,5,1,1,5,7,15,11,4
GP,F,18,U,GT3,T,1,2,services,services,course,mother,1,1,1,no,no,no,yes,yes,yes,yes,yes,5,4,2,5,3,5,2,12,11,10
GP,M,18,R,LE3,T,1,2,other,other,course,mother,1,2,1,no,no,no,yes,yes,yes,yes,no,4,4,2,5,1,5,47,15,19,9
GP,M,18,U,GT3,T,3,3,health,services,home,other,1,4,1,no,yes,no,no,yes,yes,yes,no,4,2,2,2,3,5,4,16,19,7
GP,M,16,U,GT3,T,4,2,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,5,3,28,17,13,9
GP,M,17,U,GT3,T,4,4,health,other,course,father,1,1,0,yes,yes,no,no,no,yes,yes,no,4,4,1,1,2,5,2,13,16,0
GP,F,15,U,GT3,T,1,2,other,other,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,1,5,22,14,7,0
MS,M,18,R,GT3,T,3,4,services,other,course,mother,3,2,0,no,no,yes,no,yes,yes,no,no,5,4,2,2,1,1,4,15,9,6
GP,F,17,R,LE3,T,2,2,teacher,other,course,mother,1,2,1,yes,yes,yes,yes,yes,no,yes,no,2,4,2,1,1,2,37,10,18,6
GP,M,18,R,GT3,A,2,3,services,teacher,course,mother,1,2,1,yes,yes,no,yes,yes,yes,yes,no,3,5,3,3,5,3,7,13,12,7
GP,F,19,U,GT3,T,3,1,other,other,course,other,2,2,1,no,no,no,yes,yes,yes,yes,no,4,2,3,2,5,1,8,6,7,9
MS,M,15,U,LE3,T,4,1,health,health,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,5,4,2,1,5,6,5,16,4
GP,F,18,U,LE3,A,2,2,other,health,home,mother,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,5,3,7,13,6,13
GP,F,19,R,GT3,T,4,4,other,other,home,father,1,1,1,yes,no,yes,yes,yes,yes,yes,no,4,2,5,2,1,3,1,15,11,7
GP,F,17,U,GT3,T,3,2,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,2,18,14,12,14
MS,M,15,U,GT3,A,4,2,other,other,course,mother,1,4,0,no,yes,no,no,yes,yes,yes,yes,3,5,2,2,1,5,8,9,18,4
GP,M,18,R,GT3,T,2,1,at_home,other,reputation,father,2,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,4,3,14,11,14,7
GP,F,18,R,LE3,T,3,3,services,other,other,father,1,3,0,yes,yes,yes,yes,no,yes,no,no,4,2,3,1,1,5,3,8,19,4
GP,M,15,U,LE3,T,3,1,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,2,2,5,22,19,5,15
MS,F,16,R,LE3,T,4,1,at_home,health,other,other,1,2,0,no,no,yes,no,yes,yes,yes,yes,3,4,3,1,1,3,17,14,16,5
GP,F,16,U,GT3,T,3,1,teacher,other,reputation,mother,1,3,1,no,yes,no,no,no,yes,no,no,5,2,3,1,1,3,19,7,5,9
GP,M,18,U,LE3,T,4,4,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,2,1,3,5,5,10,8,7
GP,M,18,R,GT3,T,4,4,other,other,home,father,1,3,2,no,yes,no,yes,yes,yes,yes,yes,4,3,2,5,5,1,1,14,14,11
GP,M,18,U,GT3,T,4,1,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,no,yes,no,3,4,4,1,3,4,3,17,15,8
GP,M,17,R,GT3,T,3,2,other,other,course,mother,1,1,1,no,yes,yes,yes,yes,yes,no,yes,3,4,3,2,1,5,27,9,11,6
MS,F,18,U,GT3,T,3,1,teacher,services,home,mother,1,1,2,no,no,no,no,yes,yes,yes,yes,4,4,3,1,2,4,6,10,6,0
GP,M,17,U,LE3,T,1,1,other,other,home,mother,1,2,0,no,yes,no,yes,no,yes,no,yes,4,3,4,2,1,1,28,13,19,5
GP,F,18,R,LE3,T,2,1,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,2,4,1,2,3,66,10,11,4
GP,M,18,U,GT3,T,2,4,services,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,5,4,3,1,1,5,5,19,9,8
GP,F,17,U,LE3,T,4,1,services,other,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,1,3,5,3,5,9,13,14,0
GP,M,18,R,GT3,T,4,2,health,other,home,mother,1,2,2,no,no,no,yes,yes,no,yes,no,4,3,2,2,2,4,20,8,13,0
GP,F,18,U,GT3,T,3,1,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,5,3,1,1,5,7,5,19,4
GP,M,17,U,LE3,T,2,1,services,other,reputation,father,1,2,2,yes,no,no,no,yes,yes,yes,no,3,3,3,1,4,1,5,12,19,6
GP,M,17,R,LE3,T,1,1,other,services,reputation,father,2,2,0,no,no,yes,no,yes,yes,yes,no,2,4,2,2,5,3,5,14,7,6
GP,M,18,U,GT3,T,3,3,at_home,other,reputation,mother,1,3,1,yes,no,yes,no,yes,yes,yes,yes,4,5,2,1,2,5,18,12,19,6
GP,F,17,R,GT3,T,3,1,health,other,home,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,4,3,2,5,3,6,13,8,7
GP,M,15,R,GT3,T,3,2,services,other,home,mother,2,2,0,no,yes,yes,no,yes,yes,no,yes,4,4,3,1,4,4,7,12,16,4
GP,F,15,R,GT3,T,1,2,other,services,course,other,2,2,0,no,no,yes,yes,yes,yes,yes,yes,4,3,2,2,1,5,1,6,10,0
