code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
DDD,2014B,578609,F,North Western Region,HE Qualification,20-30pct,0 to 35,0,120,N,Pass
GGG,2013J,570768,M,South East Region,Lower Than A Level,50-60pct,35 to 55,0,60,N,Pass
CCC,2014J,580498,F,South East Region,HE Qualification,30-40pct,0 to 35,0,90,N,Pass
DDD,2013J,546084,M,South Region,A Level or Equivalent,80-90pct,35 to 55,0,120,N,Withdrawn
AAA,2013J,405802,F,North Region,Lower Than A Level,30-40pct,0 to 35,0,90,N,Pass
DDD,2014B,2561154,F,South East Region,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Withdrawn
AAA,2014J,2055982,M,South Region,A Level or Equivalent,60-70pct,35 to 55,0,60,N,Pass
CCC,2014J,533083,M,South East Region,Lower Than A Level,60-70pct,0 to 35,0,120,N,Withdrawn
FFF,2013B,547461,M,East Anglian Region,Lower Than A Level,50-60pct,0 to 35,0,90,N,Withdrawn
GGG,2014B,570712,F,South East Region,Lower Than A Level,70-80pct,0 to 35,0,60,N,Fail
GGG,2014J,668909,M,South Region,Lower Than A Level,80-90pct,35 to 55,0,60,N,Fail
FFF,2014B,609099,M,North Western Region,A Level or Equivalent,30-40pct,0 to 35,0,120,N,Pass
CCC,2014J,447372,M,East Anglian Region,Lower Than A Level,20-30pct,0 to 35,0,30,N,Withdrawn
FFF,2013B,432189,F,South East Region,A Level or Equivalent,50-60pct,35 to 55,0,149,N,Fail
BBB,2014B,583441,F,South East Region,A Level or Equivalent,50-60pct,0 to 35,0,60,N,Pass
FFF,2013J,542641,M,North Western Region,HE Qualification,30-40pct,35 to 55,0,120,N,Fail
CCC,2014J,649778,M,South East Region,Lower Than A Level,30-40pct,0 to 35,0,120,N,Withdrawn
DDD,2013J,629050,F,East Anglian Region,A Level or Equivalent,80-90pct,35 to 55,0,60,N,Withdrawn
DDD,2014B,504199,F,South West Region,Lower Than A Level,20-30pct,0 to 35,0,181,Y,Withdrawn
