school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,18,U,LE3,T,1,4,other,other,home,father,1,1,2,no,no,yes,yes,yes,yes,no,yes,1,1,4,1,1,2,31,7,17,7
GP,F,18,U,GT3,T,2,2,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,4,2,4,2,1,1,32,7,11,6
MS,M,17,U,GT3,T,2,2,services,other,course,mother,2,2,3,no,no,no,yes,yes,no,yes,yes,4,3,3,1,3,5,11,8,17,8
GP,M,17,U,LE3,T,4,2,services,services,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,2,3,1,2,3,0,6,17,5
GP,F,18,R,GT3,T,4,1,health,other,other,father,1,2,0,no,yes,yes,no,no,yes,yes,yes,4,2,4,1,1,5,48,11,13,7
GP,F,16,U,LE3,A,2,2,services,at_home,course,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,3,2,1,1,5,22,6,18,4
GP,F,19,U,GT3,T,3,4,health,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,5,3,2,1,1,5,0,17,11,4
GP,F,16,R,GT3,T,2,2,teacher,other,home,father,2,2,0,no,yes,yes,no,yes,yes,yes,yes,3,1,5,3,1,5,20,6,14,7
GP,M,15,U,GT3,A,2,1,health,services,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,2,4,1,4,4,0,8,3,5
MS,F,16,U,GT3,T,2,4,health,services,reputation,father,1,3,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,3,3,0,13,15,8
MS,M,18,U,GT3,T,3,4,teacher,other,course,mother,1,1,1,yes,no,no,yes,no,no,yes,no,3,5,5,2,2,2,2,9,19,4
GP,M,16,U,GT3,T,4,3,services,other,home,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,5,2,43,6,16,4
GP,M,18,U,GT3,T,3,1,other,services,reputation,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,3,2,2,3,3,10,9,19,12
GP,F,18,U,GT3,T,3,4,teacher,services,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,3,1,3,2,1,5,40,6,17,13
GP,F,16,U,GT3,T,3,3,teacher,services,home,father,3,2,0,yes,yes,no,no,yes,yes,yes,no,4,2,4,2,3,3,0,6,16,4
GP,M,15,U,GT3,T,4,1,services,at_home,course,father,2,2,0,yes,no,yes,no,no,yes,no,no,4,5,2,1,1,4,29,9,17,5
GP,F,18,U,GT3,T,4,1,other,other,home,mother,1,2,0,no,no,yes,no,no,yes,yes,yes,4,3,4,1,4,4,13,6,17,6
GP,F,17,U,GT3,T,4,4,health,health,course,mother,1,2,0,no,no,no,no,no,yes,yes,yes,5,3,2,2,3,5,0,6,15,14
GP,F,15,U,GT3,T,2,2,other,teacher,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,yes,4,4,5,1,3,1,32,8,16,8
GP,F,18,R,LE3,T,2,4,other,other,course,mother,1,1,2,no,no,yes,yes,yes,yes,yes,no,4,2,3,3,2,4,0,6,16,11
GP,F,18,U,LE3,A,2,4,other,health,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,1,3,1,39,6,12,4
GP,F,16,U,GT3,T,4,3,at_home,other,course,father,1,3,0,no,no,yes,yes,yes,yes,no,no,4,4,2,1,1,4,0,7,16,8
MS,F,16,U,LE3,T,4,2,health,health,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,4,2,2,1,5,37,7,18,9
GP,M,18,U,GT3,T,2,4,teacher,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,4,3,1,4,3,0,6,17,8
GP,F,15,U,GT3,T,4,2,at_home,other,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,3,4,3,1,1,3,0,6,18,4
GP,F,17,U,LE3,T,2,2,health,other,home,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,4,5,1,1,5,0,6,13,6
GP,F,18,U,GT3,T,1,2,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,3,5,30,6,19,14
GP,M,18,R,LE3,T,3,2,other,other,course,mother,1,2,1,no,no,no,yes,yes,yes,yes,no,4,4,5,1,1,5,42,6,13,4
GP,M,18,U,GT3,T,3,3,health,teacher,course,other,1,4,1,no,no,no,yes,yes,yes,yes,no,4,2,5,1,2,5,0,6,18,14
GP,F,16,U,LE3,A,4,3,teacher,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,2,5,3,12,9,8,7
GP,F,17,U,GT3,T,4,4,health,other,course,father,1,1,0,no,yes,no,no,no,yes,yes,no,4,3,3,1,2,5,22,6,16,9
GP,F,15,U,LE3,T,2,2,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,1,5,0,10,9,15
GP,M,19,R,GT3,T,3,4,services,services,course,mother,3,1,0,no,no,yes,no,yes,yes,no,no,5,1,2,2,1,1,35,6,16,5
GP,F,17,R,LE3,T,2,3,other,other,course,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,2,3,3,1,1,2,32,10,13,5
