school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,17,U,LE3,T,1,4,teacher,other,home,father,1,1,0,no,no,yes,yes,yes,yes,no,yes,1,3,4,1,1,5,8,13,12,11
GP,F,18,U,GT3,T,2,2,teacher,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,2,4,2,1,1,4,5,7,6
GP,M,17,U,GT3,T,2,2,at_home,other,other,mother,2,2,3,no,no,no,yes,yes,no,yes,yes,4,3,3,1,3,5,4,11,13,0
GP,F,17,U,LE3,T,4,2,services,other,reputation,mother,2,2,1,no,no,no,no,yes,yes,yes,no,5,2,2,1,2,3,7,10,11,0
GP,F,16,R,GT3,T,4,1,health,other,other,father,1,2,0,no,yes,yes,yes,no,yes,yes,yes,5,2,4,2,1,1,8,10,10,6
GP,F,16,U,LE3,A,2,2,teacher,at_home,reputation,mother,2,2,0,no,yes,yes,yes,yes,no,yes,no,4,3,2,2,1,5,11,16,0,10
GP,F,18,U,LE3,T,3,4,at_home,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,4,2,1,1,5,4,14,13,5
GP,F,16,R,GT3,T,2,2,teacher,health,home,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,3,1,2,3,1,5,75,12,16,8
GP,M,20,U,GT3,T,3,2,health,services,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,2,3,1,4,4,10,6,9,8
GP,F,16,U,GT3,T,2,4,health,other,other,father,1,3,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,1,3,14,13,16,8
MS,M,19,U,GT3,T,4,4,teacher,other,course,mother,1,1,1,yes,no,no,yes,yes,no,yes,no,3,5,5,2,2,2,22,6,12,0
MS,M,16,U,GT3,T,4,3,teacher,other,home,father,1,2,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,3,2,8,18,16,12
MS,M,18,U,GT3,T,4,1,other,other,home,mother,1,1,0,no,no,no,yes,no,yes,yes,no,2,3,2,2,3,3,7,17,10,6
GP,F,18,U,GT3,T,3,4,teacher,services,other,mother,2,3,0,no,no,no,no,yes,yes,yes,no,3,1,3,2,1,5,4,12,13,18
GP,F,21,U,GT3,T,3,3,at_home,other,home,father,3,2,0,yes,no,no,no,yes,yes,yes,no,5,2,4,2,1,3,6,19,15,14
GP,M,17,U,GT3,T,4,1,teacher,at_home,course,father,2,2,0,yes,no,yes,no,no,yes,no,no,4,5,2,1,1,4,5,9,7,14
GP,M,15,U,GT3,T,4,1,other,other,home,mother,1,2,0,no,no,no,no,no,yes,yes,no,4,3,4,1,1,4,5,19,13,10
GP,M,17,U,GT3,T,4,4,health,health,course,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,2,3,5,2,9,19,0
GP,F,16,U,GT3,T,2,2,other,teacher,reputation,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,yes,4,5,3,1,3,1,3,9,14,9
GP,F,18,R,GT3,T,2,4,other,other,course,mother,1,1,2,no,yes,yes,yes,yes,yes,yes,no,5,3,3,3,3,4,21,13,11,17
MS,F,18,U,LE3,T,2,4,other,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,2,1,3,1,1,11,13,7
GP,F,16,U,GT3,T,4,2,at_home,other,course,father,1,3,0,no,yes,yes,yes,yes,yes,no,no,5,4,2,1,1,4,25,10,15,0
MS,F,16,U,GT3,T,4,2,services,other,home,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,3,4,2,1,1,5,4,12,9,20
GP,M,18,U,GT3,T,2,4,other,other,reputation,mother,1,3,1,yes,yes,yes,no,yes,yes,yes,no,5,4,3,1,4,5,32,10,15,15
GP,F,15,U,GT3,T,4,2,at_home,other,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,3,4,3,1,1,3,11,11,11,10
GP,F,17,U,GT3,T,2,2,health,other,home,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,5,1,1,5,26,13,15,10
GP,F,16,U,LE3,T,1,2,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,5,3,3,7,7,19,11
GP,M,18,R,LE3,T,4,2,other,other,course,mother,1,2,1,no,no,no,yes,yes,yes,yes,no,4,4,2,5,3,5,2,10,8,9
GP,M,18,U,GT3,T,4,3,health,teacher,home,other,1,4,1,no,yes,no,yes,yes,yes,yes,no,4,2,5,1,2,1,10,18,12,17
GP,F,16,U,LE3,A,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,2,5,3,6,19,17,6
