id_assessment,id_student,date_submitted,is_banked,score
30926,1086871,201,0,94.0
25428,417858,47,0,87.0
35141,1662797,59,0,97.0
22165,686034,135,0,62.0
11736,160604,198,0,92.0
25462,614684,141,0,94.0
13082,1157178,119,0,56.0
22477,1249403,83,0,65.0
25639,183658,106,0,81.0
27183,447232,120,0,76.0
34697,767702,76,0,66.0
32560,801372,15,0,97.0
36814,1029469,37,0,72.0
32638,803628,122,0,92.0
29911,219911,11,0,69.0
35996,542256,184,0,42.0
37313,1688624,126,0,70.0
22871,1175412,129,0,68.0
24095,804509,136,0,85.0
10154,615266,9,0,84.0
26416,241596,28,0,82.0
29680,573616,14,0,49.0
6109,1351191,6,0,82.0
16240,164723,97,0,100.0
35314,294256,72,0,79.0
19410,869885,-10,0,22.0
36670,215091,138,0,93.0
27411,519147,37,0,65.0
33962,492518,249,0,37.0
21910,157493,156,0,42.0
34374,800838,82,0,94.0
16956,629861,11,0,99.0
33801,275537,296,0,78.0
24240,200090,30,0,48.0
35373,320324,49,0,34.0
35798,661851,119,0,96.0
37317,1200815,225,0,95.0
33461,621720,151,0,53.0
35457,134634,172,0,43.0
22555,935597,130,0,99.0
36956,929182,401,0,91.0
14760,875283,90,0,88.0
20714,287661,26,0,65.0
6671,335168,34,0,78.0
19113,804649,107,0,66.0
27765,1245207,55,0,98.0
35912,653205,90,0,88.0
34354,436521,385,0,99.0
24936,437550,134,0,86.0
27672,1555520,1,0,58.0
28969,913245,118,0,82.0
32105,657682,10,0,63.0
18422,342067,199,0,82.0
25220,451125,233,0,32.0
8178,587830,145,0,35.0
26284,447959,56,0,70.0
12477,310184,93,0,66.0
34687,1660112,108,0,74.0
35626,1220071,204,0,77.0
25219,752583,124,0,96.0
33680,272415,199,0,78.0
15885,681728,24,0,66.0
30250,556396,156,0,66.0
32711,1171093,107,0,97.0
34003,1086124,21,0,44.0
31809,216420,154,0,86.0
31074,474729,92,0,97.0
37126,476507,111,0,93.0
32765,423719,106,0,87.0
26116,719438,41,0,81.0
21637,97027,145,0,50.0
27101,986915,50,0,100.0
15022,1368137,65,0,89.0
34205,531107,148,0,90.0
31861,446082,177,0,79.0
23878,2698588,148,0,92.0
16417,710198,83,0,46.0
31610,803538,103,0,61.0
32476,977749,114,0,55.0
32550,327029,194,0,54.0
29354,1239671,82,0,100.0
32015,463233,25,0,53.0
19600,193183,46,0,69.0
18521,886052,226,0,95.0
14192,165412,155,0,72.0
5786,253639,256,0,71.0
6106,1824979,123,0,50.0
35286,483217,243,0,36.0
22180,240996,20,0,54.0
37318,1638797,324,0,72.0
34070,421193,85,0,60.0
14955,910565,49,0,50.0
1805,52393,121,0,73.0
32047,444797,212,0,94.0
24364,1203800,104,0,94.0
35361,555373,20,0,64.0
22602,187720,73,0,60.0
17319,603404,104,0,83.0
36843,977793,128,0,66.0
35306,629492,275,0,65.0
37121,810523,83,0,55.0
20060,243760,48,0,68.0
20457,1960878,16,0,60.0
36114,908718,101,0,56.0
33107,356546,41,0,94.0
