"id_assessment","id_student","date_submitted","is_banked","score"
15000,609307,165,0,75
34905,654217,235,0,98
15015,2523430,49,0,80
30716,622368,124,0,76
25335,559672,51,0,80
1758,1609002,17,0,76
14996,373848,18,0,55
25353,609031,207,0,67
24292,679569,116,0,34
34865,36385,157,0,81
15021,656227,53,0,65
24285,578189,200,0,57
15008,322325,-3,0,62
14991,535140,60,0,100
34897,261265,189,0,55
34896,630830,217,0,73
37429,614892,219,0,60
34875,584806,94,0,82
37429,626708,129,0,100
34868,529569,97,0,94
34875,602792,96,0,64
30719,685060,31,0,97
15019,467303,200,0,100
25366,510456,146,0,20
30719,699134,34,0,77
37418,387550,101,0,100
34873,2469688,15,0,94
14997,293754,45,0,67
34876,598213,130,0,66
25353,29411,207,0,89
15024,655828,200,0,85
34895,1578222,143,0,85
25345,544307,152,0,91
30712,338894,158,0,64
34873,594547,17,0,86
24298,654915,219,0,96
37419,368245,129,0,100
15009,628616,40,0,65
37419,339853,144,0,80
25340,554205,230,0,53
14993,331844,126,0,80
34887,633505,59,0,75
34860,546048,17,0,78
24285,588473,199,0,73
15005,293754,133,0,100
25362,674440,18,0,90
25335,2615892,48,0,63
34908,684311,227,0,85
34875,419024,95,0,54
34904,687988,93,0,84
24292,471580,108,0,80
34867,536214,90,0,96
30709,554235,50,0,48
1762,470982,215,0,44
15004,598253,102,0,80
34888,617201,87,0,80
34879,585222,110,0,93
34902,2403701,135,0,63
34899,294219,24,0,84
30716,2600862,117,0,92
24291,382378,31,0,70
14996,520325,17,0,82
25343,512861,81,0,81
15000,567627,166,0,63
37431,612870,209,0,100
34863,300264,138,0,80
15024,648182,196,0,68
14986,541048,89,0,73
15009,55968,-1,1,66
25343,560391,81,0,100
24296,585134,69,0,98
37428,612797,216,0,60
15001,447516,207,0,79
24288,556858,139,0,77
14998,518258,96,0,83
34894,618412,104,0,85
34875,603651,102,0,32
14985,537464,47,0,69
34876,594326,147,0,60
25362,637347,19,0,45
30720,2259662,66,0,90
14999,598623,130,0,70
14991,537688,60,0,80
25335,309580,51,0,68
14994,537905,164,0,100
34878,425218,68,0,91
15007,484412,210,0,100
25362,556374,23,0,45
34894,398439,175,0,67
25363,611790,40,0,85
24282,627387,31,0,86
15018,625713,154,0,80
37443,678432,212,0,60
14984,549261,18,0,57
24295,644974,21,0,89
15003,2187146,56,0,100
34907,319073,231,0,89
25357,546584,72,0,91
25351,473104,122,0,62
34909,686522,240,0,81
24299,2415526,244,0,28
25357,232827,74,0,79
14993,229240,126,0,100
30715,623115,67,0,90
34871,557877,216,0,51
37430,628280,224,0,100
34883,410838,236,0,70
15023,655828,151,0,70
25363,419913,41,0,78
37429,633464,129,0,60
25366,189143,146,0,88
34881,591975,129,0,76
30711,490081,123,0,71
25366,2032882,-1,1,17
34902,685619,136,0,40
14986,367304,89,0,62
30710,579343,66,0,93
24298,577566,219,0,46
1756,2639641,215,0,73
34869,488675,171,0,78
25334,525820,21,0,100
14999,398067,117,0,86
15005,516926,133,0,80
34907,102854,237,0,66
34861,500230,51,0,56
14985,556349,45,0,77
14993,558769,126,0,80
1762,1352868,217,0,48
30721,694589,131,0,86
15007,501637,210,0,60
15000,492286,178,0,72
14999,532335,129,0,55
14991,541113,60,0,100
24292,641696,121,0,65
15006,584178,168,0,100
34862,383558,87,0,67
