id_assessment,id_student,date_submitted,is_banked,score
15013,2585489,84,0,79.0
34900,597510,52,0,63.0
15018,585245,95,0,100.0
24287,530095,29,0,3.0
24290,548212,103,0,88.0
15014,637144,56,0,73.0
15011,587062,19,0,100.0
14989,327761,20,0,80.0
15028,605434,125,0,44.0
14989,549807,130,0,100.0
25350,544360,207,0,75.0
24303,578461,17,0,100.0
34887,381502,60,0,85.0
15023,693856,48,0,70.0
25355,484699,165,0,73.0
15022,312937,16,0,71.0
25341,526619,91,0,58.0
34864,515332,152,0,74.0
34904,399109,94,0,79.0
24289,361628,35,0,68.0
24298,268148,24,0,92.0
25335,354731,67,0,74.0
34907,679807,89,0,29.0
34907,1781140,118,0,80.0
14976,528923,44,0,55.0
34866,143856,66,0,39.0
24299,684766,144,0,80.0
1762,34040,67,0,80.0
34903,685457,164,0,0.0
34873,251060,17,0,92.0
25351,441745,24,0,73.0
25362,2134834,105,0,56.0
34906,687160,156,0,87.0
25353,379748,51,0,100.0
34876,603565,174,0,80.0
24284,541043,19,0,62.0
30725,652241,22,0,93.0
25337,528458,151,0,86.0
25364,239076,86,0,5.0
34909,687195,97,0,100.0
34864,1532098,49,0,95.0
15011,576980,23,0,92.0
34864,296043,16,0,90.0
37425,607155,179,0,80.0
30716,431170,161,0,95.0
34894,1337954,26,0,90.0
34864,1763951,81,0,85.0
15003,386664,95,0,38.0
15008,509842,104,0,40.0
15000,613326,13,0,91.0
34888,575686,24,0,67.0
34897,612880,220,0,73.0
34908,534797,104,0,84.0
37422,632271,77,0,89.0
25369,612854,197,0,69.0
25351,595979,75,0,80.0
25349,286898,123,0,80.0
34876,563010,23,0,56.0
34911,615186,84,0,87.0
37443,655081,172,0,57.0
34892,631394,145,0,65.0
34872,475877,77,0,100.0
14989,550208,13,0,58.0
15021,322129,198,0,96.0
30739,692323,68,0,79.0
37440,618506,111,0,100.0
25352,634321,120,0,92.0
34863,552894,170,0,76.0
25336,554666,53,0,43.0
34879,545021,40,0,29.0
15001,611142,24,0,80.0
25348,524880,90,0,21.0
34891,562685,104,0,100.0
25365,642301,130,0,55.0
34888,2344864,91,0,91.0
14996,554148,134,0,85.0
34859,1486579,172,0,81.0
34899,671817,23,0,95.0
34862,2391358,23,0,52.0
37443,641246,94,0,51.0
15008,615903,82,0,93.0
34878,608525,70,0,3.0
24288,557467,100,0,37.0
34904,609999,213,0,99.0
34903,616973,74,0,82.0
37433,610407,67,0,100.0
34890,604855,68,0,80.0
15005,369203,99,0,100.0
14987,569859,93,0,77.0
34898,618084,96,0,80.0
34886,2236347,101,0,85.0
37443,669208,207,0,100.0
30710,612341,26,0,71.0
25335,528505,125,0,84.0
24293,601858,21,0,77.0
15036,676407,149,0,83.0
34878,140639,38,0,85.0
34902,2650681,52,0,85.0
14999,591378,97,0,79.0
24296,594220,69,0,100.0
25354,593822,63,0,74.0
34871,365874,132,0,67.0
34869,164630,87,0,100.0
14996,2137141,50,0,95.0
24300,627139,219,0,89.0
34883,392704,95,0,71.0
30717,592448,177,0,60.0
34891,602595,103,0,74.0
25351,553139,25,0,94.0
24299,400110,115,0,84.0
25357,544517,148,0,92.0
1778,493140,31,0,65.0
14977,247494,27,0,88.0
34892,594997,94,0,40.0
14992,560324,125,0,100.0
1752,2261649,52,0,86.0
37435,574138,196,0,44.0
25356,618465,104,0,87.0
15019,374033,103,0,70.0
34863,2424029,13,0,77.0
25336,2289648,25,0,84.0
14999,584280,81,0,2.0
25362,662512,26,0,72.0
24303,689972,23,0,90.0
34910,617448,212,0,61.0
15026,610812,153,0,85.0
34859,1530024,18,0,89.0
14997,2685305,37,0,45.0
34868,559748,89,0,93.0
34903,635881,17,0,46.0
34903,646141,206,0,43.0
34880,163518,92,0,65.0
25354,537758,163,0,65.0
34896,539964,45,0,0.0
25341,531483,69,0,59.0
34866,550129,44,0,78.0
15005,537874,82,0,87.0
37422,530593,164,0,48.0
14996,569671,79,0,68.0
25363,636158,158,0,35.0
25363,408103,105,0,60.0
25359,595655,121,0,59.0
15019,639133,138,0,85.0
25344,520226,90,0,44.0
34866,549770,20,0,81.0
37430,306210,96,0,87.0
25353,377649,22,0,78.0
15010,584485,94,0,72.0
14997,580761,176,0,62.0
37423,628982,162,0,73.0
34876,577579,198,0,83.0
25349,268649,29,0,66.0
25334,512984,164,0,58.0
25370,681619,86,0,54.0
15021,678704,56,0,72.0
25362,403024,93,0,64.0
25361,637720,19,0,71.0
25341,376904,89,0,85.0
15013,515984,223,0,72.0
14992,545859,164,0,100.0
25355,468760,211,0,45.0
34889,590918,122,0,34.0
34877,117019,159,0,68.0
24291,399499,15,0,68.0
14993,563949,85,0,92.0
34903,90810,90,0,86.0
1752,2307571,55,0,100.0
30723,142601,31,0,77.0
34886,565662,254,0,87.0
34897,530099,52,0,51.0
15008,576755,20,0,80.0
37420,618225,229,0,54.0
25345,261690,129,0,84.0
34893,609996,84,0,88.0
34903,611248,16,0,53.0
34872,568739,164,0,36.0
30710,628063,22,0,62.0
25347,592470,47,0,78.0
34866,523299,18,0,71.0
14993,529897,82,0,59.0
15004,641354,33,0,67.0
15014,184420,45,0,77.0
34889,343282,115,0,94.0
25339,533992,10,0,80.0
37432,264827,173,0,100.0
34875,556117,156,0,76.0
14999,576860,90,0,100.0
15019,644636,42,0,63.0
34875,570964,97,0,77.0
34904,595942,29,0,76.0
34884,633444,172,0,74.0
37417,584355,128,0,21.0
34908,421469,82,0,49.0
24290,384431,95,0,2.0
25340,573614,98,0,81.0
34889,73220,94,0,80.0
34896,432379,131,0,45.0
15004,341835,56,0,84.0
15018,589015,204,0,42.0
34876,596122,20,0,45.0
14979,512829,162,0,13.0
30725,618210,50,0,87.0
37426,644357,85,0,67.0
14998,526357,75,0,100.0
34889,66667,186,0,86.0
37441,542436,233,0,85.0
30721,609751,136,0,43.0
15019,675719,95,0,39.0
34885,560420,101,0,88.0
37439,657035,126,0,100.0
34908,693406,56,0,84.0
25363,608028,106,0,95.0
34874,499525,39,0,85.0
15004,586946,209,0,100.0
34883,592427,93,0,88.0
37433,629894,229,0,54.0
34857,1547638,44,0,94.0
34897,631197,31,0,50.0
34870,543633,35,0,69.0
14994,593135,74,0,100.0
25353,492446,169,0,71.0
30705,392410,32,0,96.0
14999,584500,18,0,73.0
34867,541560,166,0,41.0
34895,538421,45,0,76.0
25346,480785,81,0,25.0
25362,555586,123,0,97.0
34904,91493,98,0,66.0
34904,691718,47,0,71.0
34870,496602,166,0,68.0
14997,548651,216,0,60.0
37424,594413,103,0,53.0
15001,586674,165,0,54.0
15003,534425,124,0,80.0
34888,557444,99,0,80.0
14978,418646,92,0,88.0
37435,638912,53,0,73.0
25358,625465,32,0,74.0
15012,612206,120,0,44.0
34865,35303,131,0,77.0
25351,497286,159,0,49.0
24297,685888,61,0,93.0
25358,392759,208,0,91.0
1784,616807,159,0,78.0
14997,261810,92,0,74.0
34906,698052,139,0,89.0
14990,508482,146,0,64.0
15021,2648086,193,0,84.0
34902,679510,53,0,58.0
15002,607612,56,0,86.0
34871,511845,94,0,79.0
30713,550440,83,0,37.0
15003,454065,16,0,86.0
14991,557327,170,0,94.0
34897,623212,217,0,67.0
37439,688847,121,0,62.0
34893,94644,95,0,76.0
15004,540720,218,0,100.0
15018,682869,21,0,87.0
24291,550022,145,0,58.0
34869,546558,107,0,72.0
34874,571761,96,0,100.0
14987,387106,117,0,80.0
24299,637043,161,0,90.0
14997,554506,45,0,80.0
24288,622343,121,0,58.0
34886,610105,120,0,78.0
24301,439816,97,0,100.0
15018,599133,201,0,78.0
25343,560811,62,0,100.0
34868,512757,57,0,53.0
14982,567844,40,0,94.0
34900,648429,198,0,90.0
24293,640818,211,0,89.0
25353,405753,51,0,91.0
34875,537789,44,0,99.0
34878,608861,122,0,69.0
34888,583409,175,0,95.0
37418,672105,49,0,80.0
25369,687426,110,0,78.0
24282,478702,28,0,49.0
34874,597705,52,0,80.0
15011,564467,163,0,68.0
30712,73579,31,0,70.0
24300,680912,108,0,68.0
34879,2574214,170,0,85.0
34902,2276925,119,0,91.0
34881,557761,212,0,100.0
34859,111882,19,0,76.0
34889,501751,38,0,30.0
34874,587731,13,0,90.0
34871,23926,19,0,80.0
15010,631639,120,0,80.0
24292,453337,102,0,80.0
25353,201433,72,0,77.0
24279,596530,24,0,91.0
25363,620672,53,0,75.0
14991,497392,24,0,76.0
34891,618815,166,0,87.0
25353,625415,25,0,87.0
15020,684271,53,0,86.0
25362,591060,114,0,74.0
15013,614412,104,0,55.0
34892,2670782,18,0,79.0
15000,603214,129,0,62.0
37443,653094,154,0,38.0
34877,598734,47,0,88.0
34887,577007,17,0,97.0
15012,511391,167,0,84.0
34902,620955,188,0,86.0
34881,605771,95,0,73.0
14998,359365,79,0,89.0
34860,498304,147,0,73.0
34891,2207034,95,0,87.0
14999,509627,95,0,67.0
14984,494588,124,0,68.0
34883,332218,85,0,78.0
34874,582394,169,0,87.0
15019,615030,215,0,40.0
24291,585861,97,0,89.0
15011,588674,196,0,71.0
37440,689688,90,0,52.0
34883,639311,91,0,91.0
34890,1493848,171,0,80.0
30720,608215,121,0,28.0
30713,578488,124,0,80.0
34866,523783,94,0,88.0
15017,684382,46,0,100.0
34888,553488,103,0,89.0
25349,447810,67,0,87.0
1777,44285,109,0,80.0
34905,677676,124,0,83.0
25360,309318,149,0,47.0
34879,562832,53,0,92.0
15011,2674050,49,0,100.0
30719,585450,146,0,71.0
14994,417548,175,0,68.0
30717,589950,50,0,66.0
34896,593286,94,0,66.0
15015,319894,119,0,70.0
37416,590068,79,0,68.0
15005,307371,104,0,100.0
37434,71282,83,0,52.0
34883,610031,140,0,95.0
15010,588426,207,0,82.0
37424,592018,85,0,75.0
37429,631592,87,0,54.0
37415,492722,93,0,80.0
25336,1809541,62,0,61.0
37427,640856,163,0,60.0
34878,2371244,48,0,100.0
25346,355430,132,0,92.0
24299,607478,149,0,85.0
34900,677708,29,0,72.0
25351,595634,147,0,92.0
30716,217318,60,0,93.0
30729,368741,177,0,80.0
37433,677413,159,0,71.0
34893,582591,53,0,88.0
34904,626532,129,0,62.0
25354,409532,166,0,71.0
34904,2161941,224,0,86.0
25364,631557,191,0,71.0
15012,599671,48,0,69.0
14983,520004,88,0,100.0
30713,618886,72,0,87.0
15009,434935,45,0,92.0
24286,522693,18,0,85.0
25365,694250,25,0,55.0
34878,587422,48,0,90.0
14992,129737,20,0,91.0
34889,2615356,122,0,89.0
14987,307351,48,0,87.0
14998,602494,23,0,85.0
34901,684556,167,0,77.0
30716,612278,28,0,98.0
34879,557545,22,0,85.0
25353,682327,32,0,45.0
24293,1807529,59,0,95.0
25347,552288,55,0,71.0
25352,612155,84,0,4.0
37426,629914,111,0,81.0
34907,679664,235,0,100.0
34907,690494,240,0,79.0
25356,335101,81,0,80.0
15019,580816,209,0,85.0
34910,636680,169,0,88.0
24292,625878,158,0,6.0
24291,464207,151,0,100.0
34907,676609,223,0,49.0
34891,576550,75,0,87.0
37440,677522,194,0,100.0
37419,554606,133,0,78.0
14987,530875,39,0,91.0
15011,338535,83,0,54.0
37432,599310,85,0,100.0
24285,570589,21,0,97.0
34884,391715,93,0,70.0
25338,558986,56,0,25.0
25340,483615,86,0,26.0
30722,624882,162,0,40.0
37443,688357,11,0,80.0
25369,685690,107,0,48.0
34906,641593,111,0,86.0
25364,616368,128,0,83.0
34908,398598,85,0,39.0
15025,473265,84,0,89.0
37443,673845,161,0,100.0
14998,598505,58,0,86.0
24297,274073,102,0,77.0
37427,260116,92,0,100.0
30709,624058,104,0,97.0
34897,604982,87,0,89.0
34893,620406,54,0,100.0
25346,569146,34,0,95.0
1762,34813,121,0,79.0
15001,544159,86,0,90.0
15020,694839,89,0,88.0
37435,610208,92,0,60.0
34888,581611,141,0,38.0
34905,673667,128,0,65.0
25352,590786,152,0,25.0
34899,619173,107,0,12.0
24290,606609,21,0,88.0
34904,2633468,125,0,80.0
25363,48673,86,0,53.0
34864,547209,87,0,57.0
15007,110500,145,0,100.0
