Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,21.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,81.0,70.38,2.207851573,9.0,3.0,75.0,0.0
0.0,20.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,0.0,1.0,17.32749755,31.0,4.47,0.374470899,11.0,1.0,91.66666667,0.0
0.0,20.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,60.79114499,37.0,10.29,0.862037037,10.0,2.0,83.33333333,0.0
0.0,20.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,18.48897279,45.0,20.67,1.731613757,10.0,2.0,83.33333333,0.0
0.0,24.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,0.0,1.0,14.20329549,38.0,13.26,1.015080762,9.0,0.0,100.0,0.0
0.0,22.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,66.0,21.44,0.672582235,12.0,0.0,100.0,0.0
0.0,20.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,0.0,1.0,83.67401388,41.0,6.6,0.552910053,10.0,2.0,83.33333333,0.0
1.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,20.03198531,23.0,16.3,1.365520282,5.0,7.0,41.66666667,0.0
0.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,29.0,14.32,0.585247286,9.0,2.0,75.0,1.0
1.0,20.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,153.1291962,30.0,25.93,2.172266314,11.0,1.0,91.66666667,0.0
0.0,21.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,33.89493679,34.0,8.61,0.721296296,9.0,3.0,75.0,0.0
0.0,23.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,12.74442906,23.0,7.01,0.536630177,6.0,3.0,66.67,0.0
0.0,20.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,56.55174503,55.0,22.32,1.86984127,8.0,4.0,66.66666667,0.0
0.0,22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,1.0,15.15672055,32.0,22.65,0.710540468,8.0,4.0,66.66666667,0.0
0.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,0.0,1.0,26.17878687,42.0,18.15,1.520502646,10.0,0.0,83.33333333,0.0
0.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.88045752,18.0,12.51,0.957666692,8.0,1.0,88.89,0.0
0.0,22.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,101.4196272,48.0,10.82,0.90643739,12.0,0.0,100.0,0.0
0.0,25.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,17.32749755,3.0,0.16,0.01340388,0.0,12.0,0.0,1.0
0.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,29.0,18.57,1.42157238,6.0,3.0,66.67,0.0
