Dataset,Model,Accuracy Difference,F1 Score Difference,ROC AUC Difference
1,synthpop,-0.03,-0.01,0.0
1,ds,0.33,0.37,0.28
1,tvae,0.05,0.11,0.12
1,gaussian_copula,0.31,0.39,0.46
1,copula_gan,0.28,0.34,0.39
1,ctgan,0.38,0.44,0.4
2,synthpop,-0.01,-0.01,0.0
2,ds,0.01,0.01,0.12
2,tvae,0.01,-0.03,-0.01
2,gaussian_copula,-0.02,0.0,-0.01
2,copula_gan,-0.02,0.0,0.11
2,ctgan,0.49,0.5,0.13
3,synthpop,0.0,-0.08,-0.2
3,ds,0.37,0.24,-0.11
3,tvae,-0.04,-0.09,-0.11
3,gaussian_copula,0.0,-0.05,-0.17
3,copula_gan,0.0,0.0,-0.14
3,ctgan,0.0,0.0,-0.11
5,synthpop,0.02,0.01,0.03
5,ds,0.25,0.18,0.19
5,tvae,0.05,0.07,0.05
5,gaussian_copula,0.07,0.13,0.13
5,copula_gan,0.09,0.05,0.1
5,ctgan,0.25,0.2,0.18
6,synthpop,0.0,0.0,0.01
6,ds,-0.08,-0.07,0.01
6,tvae,0.0,0.0,0.01
6,gaussian_copula,0.0,0.0,0.01
6,copula_gan,-0.08,-0.1,-0.01
6,ctgan,0.07,0.06,0.01
