Dataset,Model,DCR 5th Percentile,DCR 5th Percentile (within Real),DCR 5th Percentile (within Synthetic)
1,synthpop,5.099,4.873,2.0
1,ds,11.619,4.873,5.477
1,tvae,7.071,4.873,3.317
1,gaussian_copula,8.544,4.873,5.0
1,copula_gan,10.536,4.873,5.099
1,ctgan,12.083,4.873,4.796
2,synthpop,0.0,0.0,0.0
2,ds,0.0,0.0,0.0
2,tvae,0.0,0.0,0.0
2,gaussian_copula,0.0,0.0,0.0
2,copula_gan,0.0,0.0,0.0
2,ctgan,0.0,0.0,0.0
3,synthpop,5.095,6.009,1.734
3,ds,40.934,6.009,9.704
3,tvae,7.119,6.009,3.283
3,gaussian_copula,9.42,6.009,5.478
3,copula_gan,11.65,6.009,5.49
3,ctgan,11.135,6.009,5.853
5,synthpop,2.828,3.0,2.0
5,ds,4.899,3.0,2.449
5,tvae,3.317,3.0,0.0
5,gaussian_copula,3.317,3.0,2.646
5,copula_gan,3.464,3.0,3.0
5,ctgan,3.464,3.0,2.828
6,synthpop,2.449,2.236,5.099
6,ds,10.293,2.236,15.492
6,tvae,5.916,2.236,8.0
6,gaussian_copula,13.075,2.236,22.627
6,copula_gan,6.708,2.236,10.812
6,ctgan,6.164,2.236,9.157
