Dataset,Model,JSD Diff
1,synthpop,0.0010071230791495
1,ds,0.086154683082718
1,tvae,0.1383968539350257
1,gaussian_copula,0.0346543412900491
1,copula_gan,0.0397115794716072
1,ctgan,0.0504410533211599
2,synthpop,5.9129651457855694e-05
2,ds,0.0202138267328754
2,tvae,0.0709735394488173
2,gaussian_copula,0.0001876890523201
2,copula_gan,0.0022446705714526
2,ctgan,0.0274784152465664
3,synthpop,0.0007603074637635
3,ds,0.1958779438760081
3,tvae,0.1679552306849433
3,gaussian_copula,0.1700525187107985
3,copula_gan,0.1673666403618243
3,ctgan,0.1436933195867666
5,synthpop,0.0002577953205854
5,ds,0.0898948362209999
5,tvae,0.145516961637745
5,gaussian_copula,0.0040709993469036
5,copula_gan,0.0106517632568752
5,ctgan,0.0120778697764358
6,synthpop,0.03426872636250631
6,ds,0.11474439995950032
6,tvae,0.08014402655560117
6,gaussian_copula,0.10740641240673432
6,copula_gan,0.07949464982365093
6,ctgan,0.06611462370946072
