Dataset,Model,NNDR 5th percentile,NNDR 5th percentile (within Real),NNDR 5th percentile (within Synthetic)
1,synthpop,0.464,0.438,0.357
1,ds,0.591,0.438,0.566
1,tvae,0.59,0.438,0.586
1,gaussian_copula,0.562,0.438,0.612
1,copula_gan,0.569,0.438,0.632
1,ctgan,0.569,0.438,0.632
2,synthpop,0.0,0.0,0.0
2,ds,0.0,0.0,0.0
2,tvae,0.0,0.0,0.0
2,gaussian_copula,0.0,0.0,0.0
2,copula_gan,0.0,0.0,0.0
2,ctgan,0.0,0.0,0.0
3,synthpop,0.334,0.583,0.472
3,ds,0.543,0.583,0.546
3,tvae,0.534,0.583,0.647
3,gaussian_copula,0.533,0.583,0.694
3,copula_gan,0.536,0.583,0.666
3,ctgan,0.622,0.583,0.691
5,synthpop,0.75,0.775,0.745
5,ds,0.419,0.775,0.707
5,tvae,0.832,0.775,0.0
5,gaussian_copula,0.791,0.775,0.832
5,copula_gan,0.761,0.775,0.834
5,ctgan,0.768,0.775,0.832
6,synthpop,0.045,0.073,0.065
6,ds,0.212,0.073,0.151
6,tvae,0.203,0.073,0.114
6,gaussian_copula,0.132,0.073,0.114
6,copula_gan,0.196,0.073,0.143
6,ctgan,0.174,0.073,0.131
