Dataset,Model,Accuracy Difference,F1 Score Difference,ROC AUC Difference
1,synthpop,0.08,0.09,0.03
1,ds,0.38,0.38,0.46
1,tvae,0.12,0.21,0.16
1,gaussian_copula,0.26,0.32,0.27
1,copula_gan,0.23,0.29,0.31
1,ctgan,0.21,0.23,0.17
2,synthpop,0.04,0.04,0.01
2,ds,0.07,0.21,0.11
2,tvae,0.0,0.01,-0.01
2,gaussian_copula,0.05,0.07,0.05
2,copula_gan,0.16,0.2,0.18
2,ctgan,0.13,0.22,0.11
3,synthpop,0.04,0.01,0.01
3,ds,0.09,0.09,0.16
3,gaussian_copula,-0.17,-0.15,0.03
3,copula_gan,-0.04,-0.02,0.11
3,ctgan,-0.04,-0.02,0.15
5,synthpop,0.14,0.14,0.16
5,ds,0.31,0.26,0.13
5,tvae,0.25,0.24,0.12
5,gaussian_copula,0.27,0.25,0.15
5,copula_gan,0.08,0.2,0.24
5,ctgan,0.33,0.33,0.2
4,synthpop,0.0,0.0,-0.01
4,ds,0.01,0.02,0.05
4,tvae,0.04,0.0,0.0
4,gaussian_copula,0.03,0.12,0.05
4,copula_gan,0.04,0.04,0.01
4,ctgan,0.07,0.01,0.0
