Dataset,Model,Accuracy Difference,F1 Score Difference,ROC AUC Difference
1,synthpop,-0.04,-0.03,-0.01
1,ds,0.33,0.37,0.28
1,tvae,0.06,0.11,0.12
1,gaussian_copula,0.31,0.39,0.46
1,copula_gan,0.28,0.31,0.33
1,ctgan,0.29,0.39,0.41
2,synthpop,0.01,-0.01,0.01
2,ds,0.01,0.01,0.12
2,tvae,0.01,-0.02,-0.01
2,gaussian_copula,-0.02,0.0,-0.01
2,copula_gan,-0.02,0.0,0.06
2,ctgan,-0.02,0.0,0.11
3,synthpop,-0.09,-0.15,-0.32
3,ds,0.37,0.24,-0.11
3,tvae,-0.04,-0.09,-0.24
3,gaussian_copula,0.0,-0.05,-0.17
3,copula_gan,0.0,0.0,-0.03
3,ctgan,0.0,0.0,0.16
