Dataset,Model,NNDR 5th percentile,NNDR 5th percentile (within Real),NNDR 5th percentile (within Synthetic)
1,synthpop,0.439,0.493,0.449
1,ds,0.56,0.493,0.569
1,tvae,0.564,0.493,0.522
1,gaussian_copula,0.557,0.493,0.499
1,copula_gan,0.572,0.493,0.614
1,ctgan,0.558,0.493,0.523
2,synthpop,0.408,0.555,0.425
2,ds,0.756,0.555,0.371
2,tvae,0.577,0.555,0.458
2,gaussian_copula,0.555,0.555,0.577
2,copula_gan,0.745,0.555,0.5
2,ctgan,0.729,0.555,0.513
3,synthpop,0.426,0.583,0.449
3,ds,0.497,0.583,0.517
3,tvae,0.557,0.583,0.479
3,gaussian_copula,0.568,0.583,0.637
3,copula_gan,0.494,0.583,0.559
3,ctgan,0.513,0.583,0.393
4,synthpop,0.046,0.073,0.072
4,ds,0.223,0.073,0.216
4,tvae,0.188,0.073,0.18
4,gaussian_copula,0.13,0.073,0.207
4,copula_gan,0.179,0.073,0.186
4,ctgan,0.181,0.073,0.204
5,synthpop,0.75,0.771,0.791
5,ds,0.403,0.771,0.663
5,tvae,0.858,0.771,0.0
5,gaussian_copula,0.799,0.771,0.794
5,copula_gan,0.837,0.771,0.832
5,ctgan,0.5,0.771,0.775
