Dataset,Model,Accuracy Difference,F1 Score Difference,ROC AUC Difference
1,synthpop,0.11,0.1,0.06
1,ds,0.46,0.44,0.46
1,tvae,0.23,0.32,0.07
1,gaussian_copula,0.34,0.39,0.32
1,copula_gan,0.37,0.44,0.32
1,ctgan,0.39,0.38,0.28
2,synthpop,-0.02,-0.03,-0.02
2,ds,0.03,0.05,0.04
2,tvae,0.0,-0.02,-0.06
2,gaussian_copula,0.01,0.01,0.03
2,copula_gan,0.05,0.06,0.06
2,ctgan,0.02,0.06,0.01
3,synthpop,0.0,-0.03,-0.13
3,ds,0.08,0.09,0.29
3,tvae,0.0,0.05,0.18
3,gaussian_copula,0.0,0.05,0.14
3,copula_gan,0.0,0.05,0.24
3,ctgan,0.0,0.05,0.16
5,synthpop,0.04,0.08,0.2
5,ds,0.03,0.08,0.14
5,tvae,0.04,0.03,0.16
5,gaussian_copula,0.12,0.07,0.17
5,copula_gan,0.0,0.08,0.26
5,ctgan,0.3,0.27,0.24
4,synthpop,0.02,0.02,0.02
4,ds,0.02,0.03,0.05
4,tvae,0.06,0.04,0.03
4,gaussian_copula,0.06,0.09,0.11
4,copula_gan,0.03,0.06,0.04
4,ctgan,0.04,0.03,0.02
