Dataset,Model,WD Diff
1,synthpop,0.0206041416204625
1,ds,0.0545488596365719
1,tvae,0.1199778554179241
1,gaussian_copula,0.0152447692613548
1,copula_gan,0.0270045854249963
1,ctgan,0.0136594381313207
2,synthpop,0.0096190476190476
2,ds,0.0773174603174603
2,tvae,0.1261666666666666
2,gaussian_copula,0.0146666666666666
2,copula_gan,0.050063492063492
2,ctgan,0.0433015873015873
3,synthpop,0.0216429713252563
3,ds,0.0796633553889651
3,tvae,0.1353065422058083
3,gaussian_copula,0.0353982038738136
3,copula_gan,0.036020549260365
3,ctgan,0.0368237809322493
4,synthpop,0.0018470619768364
4,ds,0.0162505909051321
4,tvae,0.0264676123935061
4,gaussian_copula,0.0049534354806242
4,copula_gan,0.0230602847036522
4,ctgan,0.0189263889429773
5,synthpop,0.022586910919942634
5,ds,0.13007413770781884
5,tvae,0.2920785784967118
5,gaussian_copula,0.017389875630124032
5,copula_gan,0.047242452468017226
5,ctgan,0.03904856617440883
