gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,lowerlevel,G-02,A,Science,S,Mum,81,0,0,98,Yes,Good,Under-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,IT,F,Father,77,11,16,65,No,Bad,Under-7,M
F,lebanon,Jordan,MiddleSchool,G-08,B,Arabic,F,Mum,37,96,25,97,No,Good,Under-7,H
F,Iraq,Jordan,MiddleSchool,G-08,A,Biology,F,Father,81,0,49,85,No,Bad,Under-7,H
F,KW,USA,HighSchool,G-07,B,French,S,Father,84,67,74,81,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-02,A,Science,S,Mum,97,66,90,36,No,Bad,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,A,French,S,Mum,53,27,97,13,No,Good,Under-7,M
F,KW,USA,MiddleSchool,G-07,B,French,F,Mum,79,0,85,96,Yes,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-08,A,English,S,Father,43,84,0,90,Yes,Bad,Under-7,L
F,KW,Jordan,lowerlevel,G-07,C,IT,S,Mum,98,20,72,94,Yes,Good,Above-7,M
F,Jordan,Iraq,MiddleSchool,G-02,A,French,F,Father,96,0,96,78,Yes,Bad,Under-7,M
F,KW,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,81,1,93,5,No,Bad,Above-7,H
M,KW,KuwaIT,MiddleSchool,G-11,B,Arabic,F,Mum,91,62,97,96,Yes,Bad,Under-7,H
F,USA,Syria,lowerlevel,G-08,B,Chemistry,F,Father,70,22,4,4,No,Good,Under-7,H
F,Egypt,Jordan,lowerlevel,G-07,A,Biology,F,Mum,19,15,83,87,No,Good,Under-7,H
F,Jordan,Jordan,HighSchool,G-07,A,Arabic,S,Mum,72,0,83,98,Yes,Good,Under-7,M
M,USA,KuwaIT,MiddleSchool,G-08,A,French,F,Mum,96,44,84,38,No,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-07,A,Arabic,F,Father,90,58,55,92,Yes,Good,Under-7,M
F,Iraq,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,66,94,96,91,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,IT,S,Father,85,8,56,18,Yes,Good,Above-7,M
F,Palestine,Jordan,MiddleSchool,G-08,B,French,F,Father,4,37,81,41,Yes,Good,Under-7,M
F,Jordan,Jordan,HighSchool,G-11,B,History,S,Father,88,19,9,92,No,Bad,Above-7,M
F,KW,lebanon,lowerlevel,G-02,B,IT,F,Father,86,95,0,19,Yes,Bad,Under-7,H
M,KW,Jordan,HighSchool,G-02,A,Arabic,S,Father,60,6,95,98,No,Bad,Under-7,H
M,KW,Jordan,lowerlevel,G-08,C,French,S,Mum,95,0,0,59,No,Bad,Above-7,M
M,Jordan,Iraq,MiddleSchool,G-02,A,French,S,Mum,82,82,0,73,No,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-02,B,IT,S,Father,73,21,94,82,Yes,Bad,Under-7,M
M,Jordan,Iraq,MiddleSchool,G-08,B,Arabic,F,Father,22,48,56,31,Yes,Good,Under-7,M
M,Jordan,lebanon,MiddleSchool,G-08,A,IT,F,Father,67,35,98,98,Yes,Bad,Under-7,L
M,KW,Jordan,lowerlevel,G-07,A,Science,F,Father,45,97,93,94,Yes,Good,Under-7,H
F,Jordan,KuwaIT,MiddleSchool,G-08,B,English,S,Father,49,23,89,61,Yes,Good,Under-7,L
F,KW,Jordan,lowerlevel,G-07,A,English,S,Mum,16,29,95,4,Yes,Good,Under-7,L
F,KW,Jordan,lowerlevel,G-06,B,Spanish,F,Mum,89,1,86,71,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-08,C,IT,S,Mum,64,92,76,97,Yes,Good,Under-7,L
M,Syria,Jordan,MiddleSchool,G-04,A,IT,F,Father,83,76,72,81,No,Bad,Above-7,M
M,Syria,Iraq,lowerlevel,G-12,B,English,S,Father,98,26,98,69,Yes,Good,Under-7,M
F,KW,SaudiArabia,lowerlevel,G-08,B,IT,F,Mum,98,22,92,17,No,Bad,Above-7,H
M,KW,Jordan,lowerlevel,G-08,A,Geology,F,Father,80,11,79,20,Yes,Good,Above-7,H
M,Jordan,Jordan,MiddleSchool,G-10,A,English,F,Father,91,1,97,43,Yes,Bad,Above-7,L
F,Tunis,Egypt,MiddleSchool,G-02,A,English,F,Mum,42,66,32,91,Yes,Good,Under-7,H
F,SaudiArabia,KuwaIT,MiddleSchool,G-04,B,English,S,Mum,98,1,94,58,No,Good,Under-7,H
M,KW,Jordan,lowerlevel,G-02,A,Arabic,S,Father,88,4,97,66,Yes,Bad,Above-7,M
M,KW,Jordan,MiddleSchool,G-10,B,French,F,Father,68,90,94,96,No,Good,Under-7,L
M,Tunis,Jordan,lowerlevel,G-04,B,English,S,Father,85,34,30,64,No,Bad,Above-7,M
F,USA,Jordan,MiddleSchool,G-04,B,Quran,S,Father,88,1,97,85,No,Bad,Above-7,L
M,Iraq,KuwaIT,HighSchool,G-02,B,Arabic,F,Father,48,3,0,91,Yes,Bad,Under-7,M
F,Iraq,Jordan,lowerlevel,G-08,A,IT,S,Father,96,34,91,90,No,Good,Under-7,M
