gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,lowerlevel,G-02,A,Science,S,Mum,16,33,59,69,No,Bad,Under-7,H
F,Jordan,KuwaIT,MiddleSchool,G-08,A,French,F,Mum,29,99,98,44,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,C,Arabic,F,Mum,51,72,72,49,No,Good,Above-7,H
F,Iraq,Jordan,lowerlevel,G-08,A,Biology,F,Father,17,77,0,19,No,Good,Above-7,H
M,KW,USA,HighSchool,G-07,B,French,S,Father,26,42,56,98,Yes,Good,Under-7,H
F,Palestine,KuwaIT,MiddleSchool,G-02,A,Science,S,Mum,41,29,21,35,No,Good,Above-7,H
M,Jordan,KuwaIT,MiddleSchool,G-06,A,Arabic,S,Mum,100,77,34,36,Yes,Good,Under-7,M
F,KW,USA,lowerlevel,G-07,B,French,F,Mum,41,0,16,29,No,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,English,S,Father,62,99,27,9,Yes,Good,Under-7,H
F,KW,Jordan,lowerlevel,G-07,C,IT,S,Father,0,94,13,37,Yes,Good,Under-7,M
F,Jordan,KuwaIT,MiddleSchool,G-02,A,Math,F,Father,80,67,40,21,No,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-02,A,Spanish,F,Father,3,81,75,45,Yes,Bad,Above-7,H
M,KW,KuwaIT,lowerlevel,G-11,B,Arabic,F,Mum,13,82,8,91,No,Good,Above-7,M
F,USA,Syria,lowerlevel,G-08,B,Chemistry,F,Father,100,0,50,48,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-07,A,Biology,F,Mum,19,97,0,98,No,Good,Above-7,M
M,Jordan,KuwaIT,HighSchool,G-07,A,Arabic,S,Mum,14,82,65,86,Yes,Good,Above-7,L
F,USA,KuwaIT,MiddleSchool,G-08,A,French,F,Father,35,16,25,56,Yes,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-07,A,Arabic,F,Father,4,97,41,98,No,Good,Under-7,M
M,Iraq,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,47,31,37,62,Yes,Bad,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,IT,S,Father,94,39,10,22,No,Bad,Above-7,M
F,Palestine,Jordan,MiddleSchool,G-04,B,French,F,Father,67,78,14,29,Yes,Bad,Under-7,M
F,Jordan,Jordan,HighSchool,G-11,B,History,S,Father,25,99,5,89,Yes,Bad,Under-7,H
F,KW,lebanon,lowerlevel,G-02,B,IT,F,Father,92,0,49,59,Yes,Bad,Above-7,M
M,Jordan,Jordan,HighSchool,G-02,B,Arabic,F,Father,13,66,27,56,No,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-08,C,French,S,Mum,25,30,16,98,Yes,Bad,Above-7,H
M,Jordan,KuwaIT,MiddleSchool,G-07,A,French,S,Father,13,25,7,98,Yes,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,A,IT,S,Father,29,36,38,2,No,Good,Under-7,H
M,Palestine,Iraq,MiddleSchool,G-08,B,Arabic,F,Father,4,85,0,34,Yes,Good,Under-7,H
M,Jordan,lebanon,lowerlevel,G-08,A,IT,F,Father,0,44,82,48,Yes,Good,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-07,A,Science,F,Mum,24,4,38,98,No,Good,Above-7,H
F,Palestine,KuwaIT,lowerlevel,G-08,B,English,S,Father,6,94,57,80,Yes,Good,Under-7,M
M,Palestine,Jordan,lowerlevel,G-08,A,English,S,Mum,5,99,1,42,Yes,Good,Above-7,M
F,Jordan,lebanon,lowerlevel,G-06,B,Spanish,F,Mum,95,62,30,2,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-08,C,IT,S,Mum,0,63,0,3,No,Bad,Under-7,M
M,SaudiArabia,Jordan,MiddleSchool,G-04,A,English,S,Mum,50,84,0,54,No,Bad,Under-7,L
F,Syria,Iraq,lowerlevel,G-12,B,English,S,Father,13,3,63,82,No,Good,Above-7,H
F,KW,Jordan,lowerlevel,G-04,B,IT,F,Mum,13,79,24,28,Yes,Bad,Under-7,H
M,KW,Jordan,lowerlevel,G-08,A,Geology,F,Father,88,28,3,53,No,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-10,A,English,F,Mum,61,99,19,98,Yes,Good,Above-7,M
F,Jordan,Iraq,lowerlevel,G-02,B,Arabic,F,Father,31,9,6,38,Yes,Bad,Under-7,H
F,SaudiArabia,KuwaIT,MiddleSchool,G-04,B,English,S,Mum,26,2,37,33,Yes,Good,Above-7,M
M,KW,Jordan,lowerlevel,G-02,A,Arabic,S,Father,37,0,92,39,No,Good,Above-7,L
M,lebanon,Jordan,MiddleSchool,G-02,B,French,F,Father,97,58,4,14,No,Bad,Above-7,H
M,Tunis,SaudiArabia,lowerlevel,G-04,B,English,S,Father,5,27,13,85,No,Good,Under-7,L
F,Iraq,Jordan,MiddleSchool,G-04,B,Quran,S,Father,71,67,95,97,Yes,Good,Above-7,L
M,Jordan,KuwaIT,lowerlevel,G-08,B,Arabic,F,Father,35,97,0,81,No,Bad,Above-7,H
F,Iraq,KuwaIT,lowerlevel,G-02,B,Arabic,S,Father,16,82,1,12,Yes,Good,Under-7,M
M,Iran,Iraq,MiddleSchool,G-02,C,Arabic,F,Father,11,63,0,58,No,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-07,B,Biology,S,Mum,28,99,21,58,No,Good,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-08,A,Biology,S,Father,15,9,39,98,No,Good,Above-7,H
F,Jordan,KuwaIT,lowerlevel,G-02,A,Science,F,Father,19,83,30,36,Yes,Good,Above-7,H
F,Jordan,Tunis,MiddleSchool,G-02,A,IT,F,Father,5,10,0,82,Yes,Good,Above-7,M
F,Jordan,KuwaIT,MiddleSchool,G-08,C,English,S,Mum,74,96,20,5,No,Good,Above-7,M
M,Jordan,Tunis,MiddleSchool,G-02,A,English,F,Mum,47,83,50,96,Yes,Good,Above-7,M
F,Jordan,venzuela,MiddleSchool,G-11,A,IT,F,Mum,45,26,0,46,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-02,A,Science,S,Father,0,46,26,44,Yes,Bad,Above-7,M
F,lebanon,KuwaIT,MiddleSchool,G-08,B,French,S,Mum,84,17,56,94,No,Good,Above-7,H
F,SaudiArabia,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,31,83,9,79,No,Bad,Under-7,M
M,Jordan,KuwaIT,lowerlevel,G-02,B,Science,S,Father,0,8,94,19,No,Bad,Under-7,M
M,Jordan,Iraq,lowerlevel,G-07,A,Spanish,S,Mum,99,0,75,15,Yes,Bad,Under-7,M
F,Jordan,KuwaIT,MiddleSchool,G-02,A,English,F,Father,20,73,11,52,No,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-08,A,French,F,Father,17,99,15,20,No,Good,Above-7,H
F,KW,KuwaIT,MiddleSchool,G-02,A,Spanish,S,Mum,81,99,12,45,Yes,Good,Above-7,H
M,KW,Jordan,MiddleSchool,G-06,A,Science,S,Father,42,89,5,2,Yes,Bad,Under-7,H
M,Jordan,Jordan,HighSchool,G-02,B,Science,F,Mum,0,10,53,29,No,Good,Above-7,L
M,Jordan,KuwaIT,lowerlevel,G-02,A,Arabic,F,Father,94,81,50,19,Yes,Bad,Under-7,L
M,KW,lebanon,lowerlevel,G-02,A,Spanish,S,Mum,1,65,6,45,Yes,Good,Above-7,H
F,KW,USA,MiddleSchool,G-07,A,French,F,Mum,74,24,21,82,No,Good,Above-7,M
F,KW,Jordan,MiddleSchool,G-05,B,Spanish,F,Father,36,30,0,32,Yes,Bad,Under-7,H
M,lebanon,Jordan,lowerlevel,G-08,A,Arabic,S,Father,54,74,7,31,No,Good,Under-7,L
M,Syria,KuwaIT,MiddleSchool,G-08,B,Biology,S,Father,75,0,27,45,No,Bad,Under-7,H
F,Egypt,KuwaIT,HighSchool,G-09,A,Biology,S,Father,37,81,0,38,Yes,Good,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-04,A,English,F,Father,74,38,0,45,Yes,Bad,Under-7,L
M,Jordan,Jordan,MiddleSchool,G-02,B,Arabic,F,Father,0,0,80,79,No,Good,Above-7,M
F,KW,Jordan,MiddleSchool,G-02,C,Geology,S,Mum,24,0,26,81,No,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,Arabic,S,Mum,78,79,0,31,Yes,Good,Under-7,M
M,USA,Jordan,MiddleSchool,G-04,B,English,S,Mum,40,8,11,18,No,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,English,S,Father,24,29,0,2,No,Bad,Above-7,H
F,KW,Tunis,MiddleSchool,G-02,A,French,S,Father,50,22,16,6,Yes,Good,Above-7,M
M,Jordan,USA,lowerlevel,G-02,A,Arabic,S,Father,55,27,77,3,No,Good,Under-7,M
M,KW,Jordan,MiddleSchool,G-02,A,IT,F,Father,86,96,98,72,No,Good,Above-7,H
M,Jordan,KuwaIT,MiddleSchool,G-02,A,English,F,Father,0,91,24,37,Yes,Good,Above-7,L
M,KW,venzuela,MiddleSchool,G-08,A,Quran,F,Mum,19,94,64,98,Yes,Good,Above-7,L
M,Jordan,Tunis,MiddleSchool,G-06,C,Arabic,S,Mum,19,99,0,34,Yes,Good,Under-7,H
M,Jordan,lebanon,lowerlevel,G-02,A,English,F,Mum,20,86,73,51,Yes,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-08,B,French,S,Father,12,37,0,92,No,Bad,Above-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,Chemistry,S,Father,22,99,0,2,Yes,Good,Above-7,H
M,Jordan,USA,HighSchool,G-02,A,Biology,F,Father,57,68,0,65,Yes,Good,Under-7,H
F,Jordan,Iraq,lowerlevel,G-02,B,Spanish,S,Father,65,46,0,95,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Science,F,Father,19,42,39,40,No,Good,Under-7,H
M,Jordan,KuwaIT,lowerlevel,G-08,B,French,F,Father,0,13,0,84,No,Bad,Under-7,H
F,Jordan,Iraq,lowerlevel,G-07,B,IT,S,Father,68,99,23,29,No,Bad,Above-7,L
F,KW,Iraq,MiddleSchool,G-02,A,IT,F,Mum,11,7,17,73,Yes,Bad,Under-7,H
M,Jordan,KuwaIT,lowerlevel,G-02,B,Spanish,S,Father,35,45,39,45,No,Bad,Under-7,L
M,Iraq,Jordan,lowerlevel,G-04,A,History,F,Father,71,0,69,65,No,Good,Above-7,M
M,Jordan,Iran,lowerlevel,G-07,B,Arabic,F,Father,77,3,67,32,No,Bad,Above-7,H
M,KW,Morocco,lowerlevel,G-02,B,Science,S,Father,1,99,0,9,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Spanish,S,Mum,86,71,22,9,No,Bad,Under-7,M
M,lebanon,Jordan,MiddleSchool,G-08,B,IT,S,Father,19,16,11,71,No,Bad,Above-7,M
M,Egypt,KuwaIT,MiddleSchool,G-09,B,History,F,Mum,52,99,50,34,Yes,Good,Above-7,M
M,Jordan,KuwaIT,lowerlevel,G-02,A,English,S,Mum,0,28,72,51,No,Bad,Under-7,H
F,Palestine,Palestine,lowerlevel,G-02,A,Biology,F,Father,60,5,57,73,No,Bad,Above-7,M
M,KW,Syria,lowerlevel,G-08,B,History,F,Father,39,85,0,24,No,Bad,Above-7,M
M,Jordan,lebanon,lowerlevel,G-08,C,History,F,Mum,67,93,0,2,Yes,Good,Under-7,M
