"gender","NationalITy","PlaceofBirth","StageID","GradeID","SectionID","Topic","Semester","Relation","raisedhands","VisITedResources","AnnouncementsView","Discussion","ParentAnsweringSurvey","ParentschoolSatisfaction","StudentAbsenceDays","Class"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","S","Mum",83,48,62,23,"Yes","Good","Under-7","M"
"F","USA","USA","lowerlevel","G-02","B","French","S","Mum",65,42,40,39,"No","Good","Under-7","H"
"F","lebanon","lebanon","MiddleSchool","G-07","A","Quran","S","Mum",100,82,50,70,"Yes","Good","Under-7","H"
"M","Tunis","Lybia","MiddleSchool","G-07","A","Quran","F","Father",10,12,12,24,"No","Bad","Above-7","M"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","S","Father",23,10,32,12,"Yes","Good","Above-7","L"
"M","Jordan","Jordan","lowerlevel","G-02","B","French","F","Mum",30,97,13,23,"No","Good","Under-7","M"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Mum",21,35,25,77,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-06","A","English","S","Father",15,20,2,20,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",80,90,41,12,"No","Good","Under-7","H"
"M","KW","USA","HighSchool","G-12","A","English","F","Father",45,90,82,95,"Yes","Good","Under-7","H"
"M","Palestine","Jordan","MiddleSchool","G-06","A","English","S","Mum",72,64,76,94,"No","Good","Under-7","M"
"M","Jordan","SaudiArabia","MiddleSchool","G-08","A","Chemistry","S","Mum",72,80,58,19,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","C","French","S","Father",1,9,11,14,"No","Bad","Under-7","L"
"M","KW","KuwaIT","MiddleSchool","G-08","B","Arabic","S","Father",45,82,16,23,"No","Bad","Under-7","M"
"F","Jordan","Jordan","lowerlevel","G-02","B","Arabic","S","Mum",12,44,71,53,"Yes","Bad","Under-7","M"
"M","Syria","Jordan","MiddleSchool","G-08","A","Arabic","S","Mum",95,88,62,80,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Geology","S","Mum",80,80,74,30,"Yes","Good","Under-7","M"
"F","Jordan","Jordan","MiddleSchool","G-08","A","Geology","F","Mum",51,92,12,40,"No","Bad","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father",10,7,7,16,"No","Bad","Above-7","L"
"M","Jordan","Jordan","MiddleSchool","G-06","A","English","S","Father",39,58,29,36,"No","Bad","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-07","B","Biology","S","Mum",70,90,54,30,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",80,80,42,90,"No","Bad","Under-7","H"
"M","Syria","Syria","MiddleSchool","G-07","A","Biology","F","Father",70,98,72,60,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-06","A","English","F","Father",18,35,40,10,"No","Bad","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",55,42,9,50,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","lowerlevel","G-04","B","Science","S","Father",75,64,74,80,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Geology","F","Father",10,65,52,12,"Yes","Good","Above-7","M"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","S","Mum",72,80,42,39,"Yes","Good","Above-7","L"
"F","Jordan","Jordan","lowerlevel","G-02","A","French","F","Mum",13,20,50,3,"Yes","Good","Above-7","L"
"F","USA","USA","lowerlevel","G-02","C","French","S","Mum",65,85,11,21,"No","Bad","Under-7","H"
"F","Jordan","Jordan","lowerlevel","G-02","A","French","S","Mum",10,39,25,14,"Yes","Good","Above-7","L"
"M","Jordan","Jordan","lowerlevel","G-02","B","Arabic","S","Mum",21,92,30,93,"No","Bad","Under-7","M"
"F","Jordan","Jordan","MiddleSchool","G-06","A","English","S","Mum",87,84,89,74,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Science","S","Father",10,2,2,22,"No","Bad","Above-7","L"
"M","KW","KuwaIT","MiddleSchool","G-07","A","IT","S","Mum",69,70,60,50,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-07","B","Science","S","Father",10,2,9,20,"No","Bad","Above-7","L"
"F","KW","KuwaIT","MiddleSchool","G-07","A","Quran","S","Father",80,80,33,80,"No","Bad","Under-7","M"
"F","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",6,12,4,33,"No","Bad","Above-7","L"
"F","Palestine","Jordan","lowerlevel","G-02","A","French","F","Father",90,90,20,33,"No","Bad","Under-7","M"
"F","Jordan","SaudiArabia","MiddleSchool","G-08","A","Chemistry","F","Father",85,90,52,19,"Yes","Good","Under-7","H"
"F","Jordan","Jordan","lowerlevel","G-04","B","Science","S","Mum",72,80,74,83,"Yes","Good","Under-7","H"
"M","Jordan","Jordan","MiddleSchool","G-06","A","English","S","Father",42,9,2,29,"No","Good","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father",12,90,5,13,"No","Good","Above-7","L"
"M","Iraq","Iraq","MiddleSchool","G-08","A","History","F","Father",62,92,86,83,"Yes","Good","Under-7","M"
"F","lebanon","lebanon","lowerlevel","G-02","B","French","S","Father",70,65,33,20,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","S","Father",23,5,2,8,"No","Good","Above-7","L"
"M","Iraq","Iraq","lowerlevel","G-02","B","Arabic","F","Father",79,70,51,33,"No","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Chemistry","F","Mum",75,77,91,43,"Yes","Good","Above-7","M"
"F","Jordan","Jordan","lowerlevel","G-02","B","French","F","Mum",10,10,17,3,"No","Bad","Under-7","M"
"M","Tunis","Tunis","MiddleSchool","G-07","A","Quran","S","Father",70,81,98,89,"Yes","Good","Above-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","A","IT","F","Father",19,20,40,40,"No","Bad","Under-7","H"
"F","Egypt","KuwaIT","MiddleSchool","G-07","A","Quran","S","Father",22,51,31,50,"No","Good","Above-7","L"
"F","Palestine","Jordan","lowerlevel","G-04","A","Science","S","Mum",82,80,82,83,"Yes","Good","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","B","French","S","Father",14,60,21,10,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",50,7,0,11,"No","Bad","Above-7","L"
"M","Jordan","Jordan","lowerlevel","G-02","B","French","S","Mum",60,90,83,13,"Yes","Good","Above-7","M"
"F","Palestine","Jordan","lowerlevel","G-02","B","French","S","Father",72,90,40,21,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-08","C","Geology","F","Mum",80,80,71,79,"Yes","Good","Under-7","M"
"M","Morocco","Iran","lowerlevel","G-02","A","French","S","Father",30,61,82,39,"No","Bad","Under-7","M"
"M","KW","KuwaIT","HighSchool","G-12","A","English","F","Father",35,60,14,59,"No","Bad","Under-7","M"
"M","lebanon","lebanon","lowerlevel","G-02","B","French","S","Father",45,50,25,21,"Yes","Good","Above-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",77,90,31,19,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Spanish","S","Father",0,17,42,3,"No","Good","Above-7","L"
"M","Lybia","KuwaIT","MiddleSchool","G-08","A","Spanish","F","Mum",72,64,40,80,"Yes","Good","Above-7","H"
"M","Egypt","Egypt","MiddleSchool","G-07","B","Science","S","Mum",12,80,21,46,"No","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-07","B","IT","F","Father",10,2,6,2,"Yes","Good","Under-7","M"
"M","Palestine","Jordan","MiddleSchool","G-07","B","Biology","F","Father",89,76,72,85,"Yes","Good","Under-7","M"
"F","Jordan","Jordan","MiddleSchool","G-08","A","Geology","F","Mum",81,82,69,68,"Yes","Good","Under-7","H"
"F","Jordan","Jordan","lowerlevel","G-02","A","French","S","Mum",25,98,20,11,"No","Good","Under-7","M"
"F","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father",2,0,3,70,"No","Bad","Above-7","L"
"M","Iraq","Iraq","MiddleSchool","G-07","B","Biology","F","Mum",90,99,76,81,"Yes","Good","Under-7","H"
"F","KW","KuwaIT","MiddleSchool","G-08","A","Spanish","S","Mum",57,7,2,33,"Yes","Good","Under-7","M"
"M","Egypt","Egypt","MiddleSchool","G-07","B","Science","S","Father",23,12,6,26,"No","Good","Above-7","M"
"F","Jordan","Jordan","MiddleSchool","G-06","A","IT","F","Father",15,7,52,72,"No","Bad","Under-7","M"
"M","Tunis","SaudiArabia","lowerlevel","G-02","B","Arabic","S","Father",12,15,59,30,"No","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father",55,10,9,49,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","HighSchool","G-09","A","IT","S","Father",27,30,32,59,"No","Bad","Under-7","M"
"F","Jordan","Jordan","MiddleSchool","G-06","A","English","F","Mum",87,87,86,60,"Yes","Good","Under-7","H"
"F","KW","KuwaIT","MiddleSchool","G-07","B","Science","S","Father",80,86,55,43,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","MiddleSchool","G-08","A","Spanish","S","Mum",70,90,10,10,"No","Bad","Under-7","H"
"F","KW","KuwaIT","lowerlevel","G-02","A","IT","F","Father",8,3,1,12,"No","Bad","Above-7","L"
