gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,70,88,33,9,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,86,83,26,32,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,14,10,9,25,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,13,11,4,54,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,68,56,21,32,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Arabic,S,Father,22,91,21,24,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,6,5,0,16,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,17,82,6,45,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Arabic,S,Mum,86,87,54,12,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,17,1,12,34,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,A,Arabic,S,Father,13,22,15,35,Yes,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,96,84,71,94,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,9,20,6,35,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,46,23,26,79,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,84,97,10,28,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,85,98,72,79,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-07,A,Biology,S,Mum,69,90,82,87,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Mum,71,81,84,47,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Arabic,S,Father,13,5,15,45,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,78,89,84,86,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,A,IT,S,Father,15,8,16,43,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,IT,S,Father,32,57,11,45,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,English,F,Mum,100,93,82,74,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,80,84,20,51,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Arabic,S,Father,21,89,49,43,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,74,77,9,39,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,English,S,Mum,88,92,86,69,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,16,6,16,45,No,Bad,Under-7,M
M,KW,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,80,85,47,48,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,3,3,6,54,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,100,85,58,50,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,21,97,8,43,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,4,27,2,22,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Science,F,Mum,70,85,50,73,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,5,7,18,26,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,16,15,24,47,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Biology,S,Mum,93,82,77,65,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,5,33,0,20,No,Good,Under-7,M
F,Iraq,Iraq,lowerlevel,G-02,A,French,F,Mum,76,99,70,81,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,A,English,F,Father,74,88,86,92,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,77,91,16,33,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,65,97,26,27,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,77,93,60,87,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,27,14,12,23,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,78,86,81,42,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,15,87,31,39,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,7,83,9,34,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,77,85,43,67,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,English,F,Father,24,27,6,10,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Arabic,F,Father,17,20,21,2,No,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Science,S,Mum,69,85,16,44,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,74,99,74,28,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-06,A,English,F,Father,73,93,29,79,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-06,A,English,F,Father,78,89,35,74,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,95,81,48,37,Yes,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,A,Arabic,F,Father,85,94,35,36,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,25,16,10,12,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Arabic,S,Father,11,78,13,46,Yes,Good,Under-7,M
M,KW,Jordan,lowerlevel,G-02,A,Arabic,F,Father,30,30,16,44,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,31,24,40,89,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Science,S,Mum,79,75,14,40,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,English,S,Father,100,85,50,79,Yes,Good,Under-7,M
M,Jordan,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,82,81,15,47,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-07,A,Arabic,S,Mum,69,76,86,20,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,95,91,46,73,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,76,87,22,52,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Arabic,S,Mum,90,87,23,40,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,English,S,Father,76,88,25,23,Yes,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,78,85,40,22,Yes,Good,Under-7,H
M,Jordan,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,10,14,4,36,No,Bad,Above-7,L
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,F,Mum,97,98,98,77,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,8,17,14,15,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,85,86,28,9,Yes,Good,Under-7,M
M,KW,Jordan,lowerlevel,G-02,B,French,F,Father,19,96,19,13,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Science,S,Mum,90,87,17,25,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,English,S,Father,7,8,34,54,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,7,81,7,49,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,77,91,65,76,Yes,Good,Under-7,H
M,KW,Jordan,MiddleSchool,G-02,A,Arabic,S,Father,73,80,86,42,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,22,11,14,53,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2,12,8,6,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,82,85,45,86,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Arabic,S,Mum,68,80,87,70,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,37,82,50,74,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,96,73,34,31,Yes,Good,Under-7,M
M,KW,Jordan,MiddleSchool,G-07,A,Science,S,Mum,77,89,65,70,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,16,83,38,36,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,67,84,64,83,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,English,S,Father,82,86,60,25,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,13,3,3,33,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,B,Science,S,Father,10,0,5,45,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-07,A,Arabic,S,Mum,81,71,21,49,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,85,79,81,64,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-07,A,Arabic,F,Father,13,76,23,56,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,73,86,54,40,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,67,88,70,82,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Science,S,Mum,79,83,18,31,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,English,S,Mum,71,86,78,78,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Science,S,Mum,88,89,98,74,Yes,Good,Under-7,H
