gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
F,Syria,Jordan,lowerlevel,G-02,A,IT,S,Father,50,66,54,71,No,Bad,Above-7,H
M,Jordan,Jordan,lowerlevel,G-08,B,Spanish,F,Mum,59,94,5,95,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Science,S,Father,62,29,65,71,Yes,Bad,Under-7,L
M,Egypt,Jordan,MiddleSchool,G-07,B,Arabic,S,Mum,6,84,95,54,No,Bad,Under-7,M
M,KW,lebanon,HighSchool,G-08,A,Quran,F,Mum,61,4,27,89,No,Bad,Above-7,L
M,lebanon,KuwaIT,MiddleSchool,G-08,B,Spanish,F,Mum,3,97,22,32,Yes,Good,Under-7,H
F,Iraq,KuwaIT,lowerlevel,G-08,A,IT,F,Father,24,28,25,15,Yes,Good,Under-7,M
M,Syria,lebanon,lowerlevel,G-06,A,IT,F,Mum,13,71,18,41,Yes,Good,Above-7,M
F,KW,Jordan,lowerlevel,G-02,A,English,S,Mum,2,5,3,84,No,Bad,Under-7,M
M,Syria,Jordan,lowerlevel,G-07,A,History,F,Father,28,44,14,82,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-02,B,Quran,F,Father,55,4,0,55,No,Bad,Above-7,L
M,KW,Jordan,lowerlevel,G-06,A,English,F,Father,89,34,70,88,No,Good,Above-7,L
F,lebanon,KuwaIT,HighSchool,G-02,B,IT,F,Father,6,13,0,45,No,Good,Under-7,M
M,lebanon,Morocco,lowerlevel,G-10,C,French,F,Father,70,2,65,44,Yes,Bad,Above-7,H
F,KW,Jordan,lowerlevel,G-02,A,Quran,F,Mum,92,85,30,6,Yes,Good,Under-7,H
M,KW,Jordan,HighSchool,G-07,A,IT,F,Father,96,6,4,96,No,Good,Above-7,M
M,lebanon,KuwaIT,MiddleSchool,G-07,B,French,F,Father,17,96,69,77,Yes,Good,Under-7,M
M,Jordan,KuwaIT,MiddleSchool,G-02,B,Science,S,Father,13,4,50,48,Yes,Bad,Under-7,L
M,Jordan,Jordan,MiddleSchool,G-08,B,French,F,Mum,1,18,33,83,No,Bad,Under-7,L
F,KW,Jordan,lowerlevel,G-06,A,Science,F,Father,72,40,35,90,No,Bad,Above-7,M
M,Tunis,Jordan,MiddleSchool,G-02,A,Chemistry,F,Mum,70,3,95,8,Yes,Good,Above-7,H
M,KW,Jordan,HighSchool,G-02,A,French,F,Father,49,16,79,95,Yes,Good,Above-7,L
M,Iran,Jordan,lowerlevel,G-04,A,Geology,S,Father,55,35,30,59,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-02,B,History,F,Father,67,3,29,32,Yes,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-07,B,Arabic,S,Father,19,72,33,81,No,Good,Above-7,M
F,KW,Lybia,MiddleSchool,G-02,A,Arabic,S,Father,7,73,7,35,No,Good,Above-7,H
M,Jordan,USA,MiddleSchool,G-08,B,French,F,Mum,45,97,32,91,No,Bad,Above-7,L
M,Egypt,Egypt,MiddleSchool,G-04,A,English,S,Father,46,64,31,34,No,Bad,Under-7,H
M,lebanon,USA,lowerlevel,G-02,C,French,F,Father,100,40,12,27,Yes,Good,Under-7,M
M,KW,Jordan,lowerlevel,G-08,A,IT,S,Mum,0,19,34,21,No,Bad,Above-7,M
M,Jordan,KuwaIT,MiddleSchool,G-07,A,French,F,Mum,8,26,2,98,Yes,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-08,A,French,S,Father,63,8,1,97,Yes,Good,Under-7,M
M,Palestine,lebanon,lowerlevel,G-07,B,Science,S,Father,52,8,27,14,Yes,Good,Under-7,L
F,KW,KuwaIT,lowerlevel,G-08,B,Chemistry,F,Father,78,14,1,60,No,Bad,Above-7,M
F,KW,Jordan,MiddleSchool,G-04,A,English,F,Mum,48,3,32,60,Yes,Bad,Above-7,M
M,KW,Egypt,lowerlevel,G-08,A,Chemistry,F,Father,96,51,79,92,Yes,Bad,Under-7,M
M,lebanon,Iraq,lowerlevel,G-02,B,History,S,Mum,1,98,4,38,Yes,Good,Under-7,L
M,KW,Jordan,lowerlevel,G-02,B,French,F,Father,86,9,22,74,Yes,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,English,F,Father,92,92,2,12,Yes,Good,Under-7,M
M,Iraq,Syria,lowerlevel,G-09,B,IT,F,Father,19,49,12,2,No,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Mum,58,32,3,37,No,Good,Under-7,H
M,KW,Jordan,lowerlevel,G-08,A,Spanish,F,Mum,54,8,39,16,Yes,Bad,Under-7,H
F,KW,Jordan,MiddleSchool,G-06,A,IT,F,Mum,71,34,31,45,Yes,Bad,Above-7,H
M,Palestine,Iraq,lowerlevel,G-02,A,Arabic,S,Mum,40,60,44,65,No,Bad,Above-7,L
M,lebanon,Jordan,MiddleSchool,G-07,A,French,F,Father,37,91,6,44,Yes,Good,Above-7,L
M,Jordan,KuwaIT,lowerlevel,G-02,B,Science,F,Father,19,38,85,70,No,Bad,Above-7,H
M,Egypt,Jordan,lowerlevel,G-02,B,Arabic,F,Father,97,98,19,96,Yes,Good,Under-7,M
F,Iran,USA,MiddleSchool,G-09,A,IT,F,Father,83,58,0,61,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-08,B,English,S,Mum,40,19,7,50,Yes,Good,Under-7,H
M,KW,Egypt,MiddleSchool,G-02,B,Math,F,Father,74,24,50,7,No,Bad,Under-7,H
M,Jordan,KuwaIT,lowerlevel,G-07,B,History,F,Father,54,15,37,31,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,B,French,S,Mum,4,92,63,12,Yes,Good,Above-7,H
M,Jordan,KuwaIT,MiddleSchool,G-11,C,English,F,Father,15,85,3,23,Yes,Bad,Under-7,M
F,Jordan,USA,lowerlevel,G-12,B,French,F,Father,98,23,96,32,Yes,Good,Above-7,M
M,Jordan,KuwaIT,MiddleSchool,G-02,B,Spanish,F,Father,45,7,3,72,Yes,Good,Under-7,L
F,Tunis,lebanon,MiddleSchool,G-08,B,IT,S,Father,11,36,3,16,Yes,Good,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-02,B,Science,S,Mum,68,82,74,54,No,Good,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-02,A,IT,F,Father,38,27,38,9,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-06,A,Arabic,S,Father,38,23,0,84,No,Bad,Above-7,H
M,Jordan,Egypt,lowerlevel,G-08,A,Spanish,F,Father,59,97,93,62,No,Good,Above-7,L
M,Iraq,KuwaIT,MiddleSchool,G-08,A,French,S,Mum,8,99,18,73,No,Good,Under-7,H
M,KW,Jordan,lowerlevel,G-02,A,IT,F,Mum,9,51,6,94,No,Bad,Under-7,H
M,Palestine,KuwaIT,MiddleSchool,G-02,A,Arabic,F,Father,78,47,42,29,No,Good,Above-7,L
F,KW,Jordan,MiddleSchool,G-07,C,History,F,Father,6,53,45,97,Yes,Bad,Under-7,M
F,Jordan,Jordan,HighSchool,G-08,B,Science,F,Father,39,3,64,16,No,Bad,Under-7,H
M,Jordan,KuwaIT,lowerlevel,G-02,B,IT,S,Father,71,47,1,90,No,Good,Above-7,M
F,lebanon,Palestine,lowerlevel,G-08,A,Arabic,F,Mum,18,93,8,8,No,Good,Under-7,M
M,Iraq,lebanon,MiddleSchool,G-02,B,Arabic,F,Father,9,98,31,93,Yes,Bad,Under-7,M
M,Iraq,Jordan,lowerlevel,G-08,B,French,F,Father,66,66,29,28,No,Good,Above-7,M
F,Morocco,Jordan,lowerlevel,G-08,A,History,S,Mum,58,27,97,62,No,Bad,Under-7,M
F,SaudiArabia,KuwaIT,MiddleSchool,G-08,B,English,S,Mum,5,91,96,87,No,Bad,Under-7,M
