gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,Jordan,lowerlevel,G-08,A,Chemistry,S,Mum,20,0,54,98,Yes,Bad,Under-7,H
M,Jordan,Jordan,lowerlevel,G-08,A,IT,S,Mum,74,99,98,61,Yes,Bad,Above-7,M
M,lebanon,Jordan,MiddleSchool,G-08,A,Arabic,F,Mum,72,99,98,6,No,Good,Above-7,H
F,Iraq,Jordan,MiddleSchool,G-08,A,Biology,F,Father,34,78,29,55,No,Good,Above-7,H
F,KW,USA,HighSchool,G-07,A,French,S,Father,26,81,58,97,Yes,Good,Above-7,L
M,Palestine,KuwaIT,MiddleSchool,G-02,A,Science,S,Mum,4,68,90,84,No,Good,Under-7,H
M,Jordan,KuwaIT,MiddleSchool,G-02,A,French,F,Mum,100,96,98,22,Yes,Good,Under-7,M
F,KW,USA,MiddleSchool,G-07,B,French,S,Mum,38,21,82,96,No,Bad,Above-7,H
M,Jordan,Jordan,lowerlevel,G-08,A,English,S,Father,98,97,68,16,No,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-07,C,IT,S,Father,39,99,77,49,Yes,Good,Under-7,M
F,Jordan,Iraq,MiddleSchool,G-02,A,French,F,Father,48,99,35,64,No,Good,Under-7,L
F,Lybia,Jordan,lowerlevel,G-02,A,Spanish,F,Mum,43,60,98,62,Yes,Bad,Above-7,H
M,KW,KuwaIT,HighSchool,G-11,B,Arabic,F,Mum,100,99,38,98,Yes,Good,Under-7,M
F,USA,Syria,lowerlevel,G-04,A,IT,F,Father,93,99,95,73,No,Good,Under-7,M
M,Egypt,Jordan,lowerlevel,G-07,A,Biology,F,Father,12,94,30,91,Yes,Bad,Above-7,M
F,Jordan,Jordan,HighSchool,G-07,B,Arabic,S,Mum,45,99,0,91,Yes,Bad,Above-7,L
M,USA,KuwaIT,MiddleSchool,G-08,A,French,F,Father,92,99,38,80,No,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-07,B,Arabic,F,Father,41,99,65,90,No,Good,Under-7,M
F,Iraq,Jordan,MiddleSchool,G-02,A,Spanish,F,Mum,100,34,98,98,No,Bad,Above-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,Chemistry,S,Father,59,95,98,98,No,Bad,Above-7,M
F,Palestine,KuwaIT,MiddleSchool,G-08,B,French,F,Father,58,99,8,92,Yes,Bad,Under-7,M
