gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,Iran,Jordan,HighSchool,G-04,A,Arabic,F,Father,29.0,86.0,41.0,53.0,No,Good,Under-7,M
F,Tunis,venzuela,HighSchool,G-10,C,Spanish,S,Mum,44.0,15.0,14.0,74.0,No,Good,Under-7,H
F,Jordan,Palestine,lowerlevel,G-08,B,History,S,Mum,72.0,9.0,6.0,56.0,Yes,Bad,Above-7,H
M,lebanon,Syria,HighSchool,G-07,A,Science,F,Father,21.0,22.0,95.0,52.0,Yes,Good,Above-7,L
F,Iran,Tunis,lowerlevel,G-07,B,Geology,F,Father,93.0,14.0,91.0,39.0,No,Good,Above-7,L
M,Tunis,Syria,lowerlevel,G-12,C,Geology,F,Father,32.0,99.0,61.0,63.0,No,Bad,Above-7,M
M,SaudiArabia,SaudiArabia,MiddleSchool,G-08,B,French,S,Father,19.0,2.0,11.0,42.0,Yes,Bad,Above-7,M
F,lebanon,Lybia,HighSchool,G-04,B,Quran,F,Father,42.0,47.0,64.0,87.0,No,Bad,Under-7,M
M,Morocco,KuwaIT,HighSchool,G-04,B,IT,S,Mum,62.0,73.0,38.0,95.0,No,Good,Above-7,L
F,USA,Iran,HighSchool,G-08,C,Geology,S,Mum,28.0,76.0,28.0,37.0,No,Good,Under-7,L
M,Jordan,Morocco,MiddleSchool,G-11,B,Math,S,Mum,15.0,56.0,49.0,77.0,Yes,Good,Above-7,H
F,SaudiArabia,venzuela,MiddleSchool,G-08,A,Math,F,Father,63.0,23.0,31.0,54.0,Yes,Good,Above-7,M
F,lebanon,Egypt,HighSchool,G-04,A,Biology,F,Father,41.0,94.0,82.0,56.0,Yes,Bad,Under-7,M
M,Iran,venzuela,MiddleSchool,G-02,A,Science,F,Mum,69.0,94.0,62.0,89.0,Yes,Good,Above-7,H
M,Lybia,Morocco,MiddleSchool,G-09,C,French,S,Mum,33.0,92.0,42.0,10.0,Yes,Good,Under-7,H
F,SaudiArabia,venzuela,MiddleSchool,G-12,A,IT,S,Father,6.0,37.0,60.0,7.0,No,Good,Above-7,M
M,lebanon,lebanon,HighSchool,G-11,B,Biology,F,Mum,50.0,99.0,72.0,2.0,No,Bad,Above-7,H
F,Tunis,Palestine,MiddleSchool,G-08,A,History,S,Father,75.0,43.0,2.0,80.0,Yes,Bad,Above-7,L
