gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,Jordan,Jordan,MiddleSchool,G-08,A,IT,S,Father,94,97,63,13,Yes,Good,Under-7,H
M,Egypt,KuwaIT,MiddleSchool,G-08,B,IT,F,Mum,98,47,25,42,No,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,Geology,F,Mum,100,97,89,92,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-08,A,French,S,Father,99,98,15,3,No,Good,Under-7,L
M,SaudiArabia,Iraq,lowerlevel,G-04,A,IT,S,Father,50,28,2,96,No,Bad,Above-7,H
M,Jordan,KuwaIT,MiddleSchool,G-02,A,French,F,Father,66,47,47,30,Yes,Good,Above-7,L
F,Jordan,USA,lowerlevel,G-07,A,Geology,F,Father,1,4,1,2,No,Good,Under-7,M
M,KW,Palestine,MiddleSchool,G-08,A,Biology,F,Mum,94,79,90,26,Yes,Good,Above-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,Geology,S,Father,9,2,2,74,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-11,A,English,F,Father,2,1,6,41,No,Bad,Under-7,H
F,Syria,lebanon,lowerlevel,G-08,B,Science,S,Mum,32,3,28,22,No,Good,Under-7,L
M,Palestine,KuwaIT,MiddleSchool,G-02,A,Chemistry,F,Father,15,61,10,25,Yes,Bad,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-02,A,IT,S,Mum,94,99,92,31,Yes,Bad,Above-7,H
F,SaudiArabia,SaudiArabia,MiddleSchool,G-04,A,Biology,S,Mum,99,86,1,57,No,Good,Under-7,H
F,Palestine,Iraq,lowerlevel,G-07,B,Biology,S,Father,11,40,1,14,Yes,Good,Above-7,L
F,Jordan,Jordan,lowerlevel,G-07,B,Spanish,F,Father,15,10,2,52,No,Bad,Above-7,M
M,Iraq,Jordan,MiddleSchool,G-08,A,French,S,Father,16,89,50,12,Yes,Good,Under-7,H
M,Egypt,lebanon,MiddleSchool,G-04,A,IT,S,Father,36,30,10,48,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-04,B,Quran,F,Mum,32,4,66,63,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Father,99,98,92,50,No,Bad,Under-7,H
F,Jordan,USA,MiddleSchool,G-02,B,Arabic,F,Mum,65,95,30,33,No,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-07,B,IT,S,Mum,56,40,58,84,Yes,Bad,Under-7,H
M,Palestine,Palestine,MiddleSchool,G-07,A,IT,S,Father,94,61,66,98,Yes,Bad,Above-7,M
M,KW,Jordan,lowerlevel,G-08,B,Arabic,F,Father,13,95,75,22,Yes,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,Chemistry,F,Mum,64,36,81,85,No,Bad,Under-7,M
F,Iraq,Palestine,MiddleSchool,G-08,A,Science,F,Father,14,0,6,90,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,B,Quran,S,Father,86,10,26,87,No,Bad,Above-7,M
M,Jordan,Jordan,HighSchool,G-04,C,Geology,S,Mum,0,89,77,72,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-07,B,IT,S,Mum,4,1,2,28,Yes,Good,Above-7,H
M,Jordan,Jordan,MiddleSchool,G-02,B,Arabic,S,Father,33,81,62,81,Yes,Bad,Under-7,L
M,Jordan,Jordan,MiddleSchool,G-02,B,IT,S,Father,3,0,15,24,No,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-08,B,Science,S,Mum,9,33,10,76,Yes,Good,Under-7,L
F,Egypt,Jordan,MiddleSchool,G-02,A,Arabic,S,Mum,100,98,87,44,Yes,Good,Under-7,H
M,KW,Tunis,lowerlevel,G-12,A,French,F,Father,36,10,3,63,No,Good,Above-7,M
M,KW,KuwaIT,lowerlevel,G-07,A,Chemistry,S,Father,11,41,13,27,Yes,Bad,Above-7,M
F,Palestine,KuwaIT,MiddleSchool,G-02,A,French,S,Mum,97,96,72,57,Yes,Bad,Under-7,H
F,Jordan,Jordan,lowerlevel,G-11,A,French,S,Father,18,53,90,72,Yes,Bad,Above-7,H
M,KW,KuwaIT,MiddleSchool,G-04,A,Biology,S,Father,65,1,8,5,No,Bad,Above-7,H
M,Jordan,Jordan,lowerlevel,G-04,A,Quran,F,Mum,24,70,83,57,No,Good,Above-7,H
M,KW,Morocco,MiddleSchool,G-11,A,Quran,S,Mum,98,91,61,92,Yes,Bad,Under-7,L
F,Jordan,Jordan,lowerlevel,G-08,A,IT,F,Father,25,0,74,20,No,Good,Under-7,L
F,Palestine,Syria,MiddleSchool,G-12,A,English,F,Father,80,0,2,89,No,Good,Under-7,M
M,lebanon,USA,lowerlevel,G-07,A,French,S,Father,100,94,93,67,Yes,Good,Under-7,L
M,KW,KuwaIT,MiddleSchool,G-08,B,Geology,F,Father,98,99,63,34,Yes,Good,Under-7,H
M,Morocco,KuwaIT,MiddleSchool,G-09,A,Arabic,S,Father,76,31,94,95,Yes,Bad,Under-7,M
M,Jordan,KuwaIT,MiddleSchool,G-08,A,Chemistry,F,Mum,9,91,31,16,Yes,Good,Above-7,H
F,Palestine,USA,MiddleSchool,G-08,B,Biology,S,Mum,59,91,33,23,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-07,A,French,F,Mum,65,46,2,17,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,B,Biology,S,Mum,89,95,81,59,Yes,Good,Under-7,L
M,Egypt,Iraq,lowerlevel,G-02,A,Chemistry,F,Father,63,14,3,53,Yes,Bad,Above-7,M
M,KW,Jordan,HighSchool,G-04,B,Geology,S,Father,0,8,5,32,No,Bad,Above-7,H
M,Iraq,KuwaIT,MiddleSchool,G-02,A,English,F,Mum,43,76,21,95,Yes,Good,Under-7,L
M,KW,Jordan,MiddleSchool,G-02,B,Arabic,F,Mum,91,68,22,26,Yes,Good,Under-7,M
M,Jordan,KuwaIT,MiddleSchool,G-08,B,Quran,S,Mum,75,87,34,19,Yes,Bad,Under-7,L
M,Palestine,KuwaIT,lowerlevel,G-08,C,French,S,Father,14,30,7,2,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-06,B,Math,S,Mum,64,20,51,5,Yes,Good,Above-7,H
M,Jordan,KuwaIT,lowerlevel,G-07,A,English,F,Father,90,17,5,13,No,Bad,Under-7,H
F,Jordan,KuwaIT,MiddleSchool,G-07,A,IT,S,Father,10,18,35,70,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-08,A,IT,S,Father,56,96,48,15,Yes,Good,Under-7,H
M,Jordan,KuwaIT,HighSchool,G-02,C,Math,F,Mum,31,34,25,79,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-02,A,IT,S,Mum,95,98,95,33,Yes,Good,Above-7,L
M,SaudiArabia,KuwaIT,lowerlevel,G-04,B,French,S,Father,88,7,13,92,No,Good,Under-7,M
F,KW,Jordan,MiddleSchool,G-07,A,Biology,S,Father,42,66,51,52,No,Good,Under-7,L
F,KW,KuwaIT,MiddleSchool,G-04,A,Arabic,S,Mum,41,97,90,72,Yes,Good,Under-7,H
F,Palestine,Palestine,MiddleSchool,G-10,A,French,S,Mum,100,99,19,51,Yes,Good,Under-7,M
M,Palestine,SaudiArabia,MiddleSchool,G-02,A,French,S,Father,3,0,1,69,No,Bad,Under-7,H
F,Iraq,KuwaIT,lowerlevel,G-08,B,Arabic,F,Father,98,71,9,15,Yes,Good,Under-7,H
M,KW,Jordan,lowerlevel,G-08,B,Science,S,Mum,97,52,40,14,No,Good,Under-7,L
F,KW,Jordan,MiddleSchool,G-06,A,French,S,Mum,16,4,2,5,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-07,A,Science,S,Father,39,77,66,7,Yes,Good,Under-7,H
M,lebanon,SaudiArabia,MiddleSchool,G-08,A,Biology,S,Mum,10,56,38,42,Yes,Good,Above-7,M
M,Syria,Iran,HighSchool,G-02,C,French,F,Father,26,10,13,3,Yes,Bad,Under-7,H
M,KW,Jordan,MiddleSchool,G-02,A,French,S,Father,0,0,14,23,No,Good,Above-7,L
M,venzuela,lebanon,MiddleSchool,G-02,B,Science,F,Father,93,42,63,56,Yes,Good,Under-7,H
M,KW,Jordan,MiddleSchool,G-02,B,IT,F,Father,14,59,64,29,No,Good,Under-7,M
F,KW,Jordan,MiddleSchool,G-07,A,Arabic,F,Father,32,56,19,91,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-02,A,Arabic,F,Mum,6,11,23,21,Yes,Bad,Under-7,L
M,KW,KuwaIT,MiddleSchool,G-02,B,Arabic,F,Mum,3,7,53,44,Yes,Good,Under-7,L
M,KW,Jordan,HighSchool,G-12,A,Arabic,F,Father,70,54,30,29,Yes,Bad,Under-7,L
F,Jordan,Jordan,lowerlevel,G-02,A,IT,S,Father,29,2,18,59,No,Good,Above-7,L
M,Jordan,KuwaIT,HighSchool,G-04,A,English,S,Mum,49,90,0,21,Yes,Bad,Above-7,L
M,Jordan,KuwaIT,HighSchool,G-08,B,French,F,Father,0,0,3,19,No,Good,Under-7,H
F,Jordan,KuwaIT,MiddleSchool,G-02,B,Biology,S,Mum,76,38,45,51,No,Good,Above-7,H
M,KW,lebanon,MiddleSchool,G-08,C,Science,F,Father,19,89,13,4,No,Good,Above-7,M
F,Egypt,USA,lowerlevel,G-07,A,French,S,Father,21,7,14,74,Yes,Good,Under-7,H
M,Tunis,Iran,lowerlevel,G-08,B,Biology,S,Father,3,19,1,12,No,Good,Under-7,L
M,lebanon,lebanon,HighSchool,G-07,B,English,F,Father,12,12,12,3,No,Bad,Under-7,L
F,KW,Tunis,lowerlevel,G-08,B,English,F,Father,6,99,78,36,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-02,A,Math,S,Mum,98,99,98,14,No,Good,Above-7,H
M,KW,SaudiArabia,MiddleSchool,G-07,A,Arabic,F,Father,89,83,16,35,Yes,Good,Under-7,H
F,Jordan,KuwaIT,MiddleSchool,G-07,A,Spanish,S,Father,54,97,40,21,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Quran,S,Father,96,64,40,93,No,Good,Under-7,M
M,Jordan,KuwaIT,lowerlevel,G-04,A,IT,S,Mum,2,81,41,66,Yes,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-09,A,Science,S,Mum,57,13,58,7,Yes,Bad,Under-7,H
M,Palestine,KuwaIT,lowerlevel,G-07,B,English,S,Father,100,99,64,84,No,Good,Under-7,M
M,KW,Jordan,lowerlevel,G-06,A,Arabic,S,Mum,37,99,56,74,Yes,Bad,Under-7,L
F,Jordan,KuwaIT,lowerlevel,G-02,B,Spanish,S,Mum,34,34,43,24,Yes,Good,Under-7,H
M,KW,Jordan,MiddleSchool,G-06,B,Biology,S,Mum,85,98,72,60,Yes,Bad,Under-7,L
M,KW,KuwaIT,MiddleSchool,G-02,A,Science,F,Father,21,46,46,33,Yes,Good,Under-7,M
F,Jordan,KuwaIT,MiddleSchool,G-08,A,Biology,S,Mum,70,97,97,77,Yes,Good,Under-7,L
M,KW,KuwaIT,lowerlevel,G-08,C,History,F,Father,51,4,6,18,Yes,Bad,Above-7,L
M,KW,Morocco,MiddleSchool,G-02,A,IT,S,Father,39,73,50,20,Yes,Good,Under-7,L
F,KW,Jordan,MiddleSchool,G-06,A,IT,F,Father,15,26,39,56,Yes,Bad,Above-7,H
M,Lybia,Morocco,MiddleSchool,G-04,A,Science,F,Father,100,98,68,26,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,10,45,43,9,Yes,Good,Above-7,M
M,KW,Jordan,lowerlevel,G-07,A,IT,F,Mum,44,32,4,54,No,Bad,Under-7,M
M,Palestine,Iraq,MiddleSchool,G-02,A,Science,F,Father,100,98,85,94,Yes,Good,Under-7,M
M,KW,Syria,MiddleSchool,G-08,A,Science,S,Mum,100,90,46,62,Yes,Good,Under-7,H
M,Palestine,KuwaIT,lowerlevel,G-07,B,Spanish,S,Mum,2,5,28,7,Yes,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-02,C,IT,S,Mum,16,8,30,49,Yes,Good,Under-7,M
M,Tunis,Jordan,lowerlevel,G-02,B,Science,S,Father,51,3,1,8,No,Good,Above-7,H
F,KW,Jordan,MiddleSchool,G-08,B,Arabic,S,Mum,49,17,7,6,No,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-07,B,Geology,F,Mum,29,20,5,32,No,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,88,99,91,68,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,Geology,F,Father,43,5,81,28,Yes,Good,Under-7,M
F,KW,Jordan,MiddleSchool,G-04,B,Arabic,S,Father,100,58,44,90,No,Bad,Under-7,L
M,KW,KuwaIT,HighSchool,G-02,A,Science,S,Father,19,98,80,13,Yes,Good,Under-7,H
M,KW,Jordan,MiddleSchool,G-08,B,French,S,Father,26,48,23,33,Yes,Good,Above-7,M
M,KW,KuwaIT,lowerlevel,G-11,A,IT,S,Father,60,72,8,54,No,Good,Under-7,M
F,KW,Jordan,MiddleSchool,G-04,A,Science,F,Mum,94,53,86,54,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,F,Mum,9,0,2,2,No,Bad,Under-7,L
M,Palestine,Tunis,MiddleSchool,G-02,B,Biology,S,Mum,37,75,8,42,Yes,Bad,Under-7,L
M,Jordan,Jordan,lowerlevel,G-06,B,English,S,Father,16,1,24,16,Yes,Bad,Above-7,L
M,KW,Jordan,MiddleSchool,G-07,B,Quran,F,Mum,13,4,26,2,No,Bad,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Science,S,Mum,59,98,72,74,Yes,Good,Under-7,L
M,Iraq,Iraq,lowerlevel,G-07,B,Spanish,F,Father,100,86,91,89,Yes,Good,Above-7,M
M,KW,Iraq,MiddleSchool,G-08,B,History,S,Father,98,56,95,91,Yes,Good,Under-7,M
F,KW,Egypt,lowerlevel,G-07,A,Arabic,S,Mum,54,86,15,24,Yes,Good,Under-7,H
M,Iraq,USA,MiddleSchool,G-02,C,Math,S,Mum,96,91,92,88,Yes,Good,Under-7,M
F,KW,lebanon,lowerlevel,G-02,A,English,F,Mum,21,7,43,5,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,C,Quran,S,Mum,67,10,10,4,Yes,Good,Under-7,H
