"gender","NationalITy","PlaceofBirth","StageID","GradeID","SectionID","Topic","Semester","Relation","raisedhands","VisITedResources","AnnouncementsView","Discussion","ParentAnsweringSurvey","ParentschoolSatisfaction","StudentAbsenceDays","Class"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",50,42,30,70,"No","Bad","Above-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",2,19,11,33,"No","Good","Under-7","L"
"M","Egypt","Egypt","MiddleSchool","G-07","B","Science","S","Mum",62,90,98,72,"Yes","Good","Under-7","H"
"F","KW","KuwaIT","MiddleSchool","G-07","A","Quran","S","Mum",70,82,98,89,"Yes","Good","Under-7","H"
"M","SaudiArabia","Tunis","lowerlevel","G-02","B","IT","F","Father",32,87,3,24,"No","Good","Under-7","M"
"F","Jordan","Jordan","MiddleSchool","G-07","B","Quran","S","Mum",95,91,85,83,"Yes","Good","Under-7","H"
"M","Iraq","Iraq","lowerlevel","G-02","B","French","S","Father",17,52,21,10,"Yes","Good","Under-7","M"
"M","Jordan","Jordan","MiddleSchool","G-08","A","Geology","S","Mum",70,84,67,15,"Yes","Good","Under-7","M"
"M","Tunis","Tunis","MiddleSchool","G-07","B","IT","F","Father",18,90,9,11,"No","Good","Under-7","M"
"M","Iran","Morocco","MiddleSchool","G-08","A","Arabic","S","Mum",75,71,62,68,"No","Bad","Under-7","M"
"F","KW","KuwaIT","HighSchool","G-12","A","English","F","Father",85,48,58,66,"Yes","Good","Under-7","H"
"M","Iraq","Iraq","lowerlevel","G-02","A","Arabic","S","Father",98,90,41,28,"Yes","Good","Under-7","H"
"M","KW","KuwaIT","lowerlevel","G-02","C","IT","F","Father",11,2,38,7,"Yes","Good","Under-7","H"
"M","Jordan","Jordan","lowerlevel","G-02","A","Arabic","F","Father",10,9,22,80,"No","Bad","Above-7","L"
"M","Palestine","Jordan","MiddleSchool","G-07","B","Quran","S","Mum",72,87,87,81,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-04","A","IT","F","Father",40,39,32,75,"No","Good","Under-7","M"
"M","Iraq","Iraq","lowerlevel","G-02","B","Arabic","F","Mum",75,90,49,90,"Yes","Good","Under-7","H"
"F","KW","KuwaIT","MiddleSchool","G-06","A","English","S","Mum",70,4,22,33,"Yes","Bad","Under-7","M"
"F","KW","KuwaIT","MiddleSchool","G-08","A","Arabic","S","Mum",85,81,49,28,"Yes","Good","Under-7","H"
"F","Jordan","Jordan","MiddleSchool","G-06","A","English","F","Mum",80,81,42,39,"No","Good","Under-7","H"
"F","Jordan","Jordan","lowerlevel","G-02","A","Arabic","S","Father",10,70,40,12,"Yes","Good","Above-7","L"
"M","Palestine","Jordan","lowerlevel","G-02","A","Arabic","S","Father",71,88,41,34,"Yes","Good","Under-7","M"
"M","Jordan","SaudiArabia","MiddleSchool","G-08","A","Geology","S","Father",72,77,48,70,"Yes","Good","Under-7","M"
"F","lebanon","lebanon","lowerlevel","G-02","B","French","S","Mum",80,65,40,14,"Yes","Good","Under-7","H"
"M","SaudiArabia","Tunis","MiddleSchool","G-08","C","Spanish","S","Father",7,9,62,33,"No","Bad","Above-7","L"
"F","KW","KuwaIT","lowerlevel","G-04","A","History","S","Father",62,87,82,83,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","MiddleSchool","G-07","B","Science","S","Father",75,80,58,66,"Yes","Good","Under-7","M"
"M","KW","KuwaIT","lowerlevel","G-02","B","IT","F","Father",1,0,11,10,"No","Bad","Under-7","M"
"M","Palestine","Jordan","lowerlevel","G-02","A","Arabic","F","Mum",69,31,42,38,"Yes","Good","Under-7","M"
"F","Jordan","Jordan","MiddleSchool","G-08","A","History","S","Father",80,82,76,74,"Yes","Good","Above-7","M"
"M","Palestine","Jordan","MiddleSchool","G-06","A","English","F","Mum",75,71,56,21,"No","Good","Under-7","M"
