gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,KuwaIT,MiddleSchool,G-08,A,Science,S,Mum,69,73,47,75,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,English,F,Father,83,85,90,66,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Science,S,Mum,74,76,84,78,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,20,21,12,10,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,8,81,44,25,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,90,80,35,75,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,76,88,41,37,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-07,A,Science,S,Father,84,82,29,74,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,19,83,20,89,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Science,S,Father,69,76,53,43,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,English,F,Father,81,85,53,67,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,96,76,24,25,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,71,76,54,44,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Science,S,Mum,76,78,77,63,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,B,IT,S,Father,14,20,16,28,No,Bad,Above-7,M
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Mum,79,84,72,75,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,74,84,7,32,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,79,97,97,76,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,6,15,9,5,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,80,85,30,35,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Science,S,Mum,79,83,80,74,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Mum,74,88,50,29,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,24,8,0,27,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-07,A,Science,S,Mum,84,81,92,73,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-07,A,Science,F,Father,53,79,32,82,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,English,S,Father,25,83,51,39,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,89,81,74,47,Yes,Good,Under-7,M
