gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,master's degree,standard,completed,56,86,86
female,group D,high school,standard,completed,32,90,85
female,group B,associate's degree,standard,none,68,93,32
male,group D,some college,free/reduced,completed,34,76,83
female,group C,bachelor's degree,standard,none,84,98,76
female,group D,bachelor's degree,standard,none,49,81,70
male,group C,associate's degree,standard,completed,52,100,55
female,group E,some college,standard,none,9,82,68
male,group B,some high school,standard,none,73,78,47
female,group A,some high school,standard,none,31,70,81
female,group C,master's degree,free/reduced,none,36,100,80
female,group D,high school,standard,completed,66,83,94
male,group C,some high school,standard,completed,8,100,68
female,group D,high school,standard,completed,65,92,78
female,group B,high school,free/reduced,completed,52,74,63
female,group C,some high school,standard,none,98,85,81
male,group B,associate's degree,standard,none,69,100,69
female,group A,some high school,standard,completed,37,98,77
female,group D,some college,free/reduced,none,23,91,49
male,group B,high school,standard,none,71,85,50
female,group C,high school,standard,none,54,72,49
female,group E,high school,free/reduced,none,80,69,73
female,group C,some high school,standard,none,85,61,32
female,group A,associate's degree,standard,completed,59,100,71
male,group B,high school,free/reduced,none,43,100,100
male,group A,high school,free/reduced,none,8,100,83
male,group D,some high school,free/reduced,none,55,93,95
female,group E,associate's degree,standard,completed,35,92,100
male,group D,some high school,standard,none,45,100,35
male,group B,some college,free/reduced,completed,37,100,37
female,group C,bachelor's degree,free/reduced,none,39,96,50
female,group C,bachelor's degree,standard,completed,39,73,39
female,group D,high school,standard,completed,92,80,69
male,group A,some college,standard,none,94,97,73
male,group B,some high school,standard,completed,30,79,89
female,group C,bachelor's degree,free/reduced,completed,57,100,100
female,group C,associate's degree,standard,completed,11,100,73
male,group E,associate's degree,standard,completed,8,100,99
female,group E,bachelor's degree,free/reduced,none,34,71,60
male,group E,bachelor's degree,free/reduced,completed,24,93,100
female,group B,associate's degree,free/reduced,none,55,90,54
male,group C,associate's degree,standard,none,35,100,61
male,group D,some college,free/reduced,none,85,77,73
male,group A,some college,standard,none,49,100,96
female,group E,associate's degree,standard,completed,42,56,93
female,group C,some high school,free/reduced,none,27,52,76
female,group D,some high school,standard,none,29,94,37
male,group D,master's degree,free/reduced,none,62,88,63
male,group C,master's degree,standard,completed,69,100,95
female,group C,bachelor's degree,standard,none,60,76,82
female,group C,associate's degree,standard,completed,54,39,79
female,group A,master's degree,standard,none,8,100,69
female,group D,bachelor's degree,free/reduced,completed,35,85,43
male,group D,associate's degree,free/reduced,none,53,89,60
female,group D,some college,standard,none,8,100,69
male,group D,associate's degree,standard,none,54,76,74
female,group B,associate's degree,free/reduced,none,42,78,24
female,group E,some high school,free/reduced,none,100,86,43
male,group C,some college,free/reduced,completed,68,100,43
female,group C,some college,free/reduced,completed,71,81,69
female,group C,associate's degree,free/reduced,none,26,61,25
male,group D,some high school,free/reduced,completed,48,100,82
female,group A,some high school,standard,none,38,100,91
female,group B,associate's degree,standard,completed,74,80,64
female,group A,bachelor's degree,free/reduced,none,38,80,57
male,group C,bachelor's degree,free/reduced,none,35,70,99
female,group C,some college,standard,none,35,80,70
male,group C,bachelor's degree,standard,none,30,100,81
male,group C,high school,standard,none,47,97,100
male,group A,some college,standard,none,77,72,81
male,group A,some high school,standard,none,45,100,68
female,group A,high school,standard,none,37,38,57
female,group B,high school,standard,none,23,100,53
female,group B,some high school,free/reduced,none,52,57,35
female,group A,some high school,standard,none,71,100,41
female,group C,some high school,standard,none,22,91,71
female,group B,associate's degree,standard,none,44,91,78
female,group C,some high school,standard,none,28,76,77
female,group D,master's degree,standard,none,85,100,92
female,group E,some college,standard,completed,56,92,80
female,group A,associate's degree,free/reduced,none,54,100,71
female,group D,bachelor's degree,standard,none,35,100,48
female,group C,associate's degree,standard,none,59,100,78
female,group C,some college,free/reduced,completed,34,55,90
female,group D,some college,free/reduced,none,24,56,75
female,group E,high school,standard,completed,48,85,77
male,group A,high school,free/reduced,none,36,96,79
female,group B,associate's degree,free/reduced,none,79,97,100
female,group B,master's degree,standard,none,34,98,78
male,group D,high school,free/reduced,none,29,100,56
male,group C,some college,standard,none,65,100,69
female,group A,some college,standard,none,24,100,98
female,group C,some college,free/reduced,completed,8,90,86
female,group C,high school,standard,completed,13,95,84
female,group C,some college,free/reduced,none,55,71,67
male,group E,associate's degree,standard,none,39,87,92
female,group A,some high school,standard,completed,41,81,72
male,group E,associate's degree,standard,completed,26,100,80
female,group B,bachelor's degree,standard,completed,62,100,43
female,group B,high school,free/reduced,none,15,93,87
female,group D,some college,standard,completed,70,74,66
female,group D,high school,standard,none,8,86,95
male,group D,some high school,free/reduced,none,27,100,88
male,group D,some high school,standard,none,40,98,52
female,group C,associate's degree,free/reduced,none,42,100,52
female,group D,associate's degree,free/reduced,none,62,100,90
male,group C,high school,free/reduced,none,59,99,90
male,group C,some college,free/reduced,none,22,98,46
female,group C,bachelor's degree,free/reduced,none,42,85,63
male,group B,some college,standard,completed,63,82,66
female,group D,some high school,standard,completed,39,83,66
female,group C,some college,free/reduced,completed,56,50,48
male,group A,bachelor's degree,standard,completed,20,91,61
male,group C,master's degree,free/reduced,completed,41,91,89
female,group E,some high school,free/reduced,completed,54,97,69
male,group C,some college,standard,none,48,100,70
female,group C,some college,free/reduced,none,33,100,76
female,group D,some high school,free/reduced,none,50,84,78
male,group C,bachelor's degree,standard,none,48,95,64
male,group E,some high school,standard,none,54,90,99
male,group C,bachelor's degree,free/reduced,completed,54,98,63
female,group C,bachelor's degree,standard,completed,17,100,83
female,group D,high school,free/reduced,none,41,40,74
male,group E,some college,free/reduced,none,61,95,79
male,group A,associate's degree,standard,none,61,100,54
female,group E,some college,standard,none,45,46,66
female,group D,bachelor's degree,standard,none,16,100,88
male,group D,bachelor's degree,standard,none,54,95,100
female,group A,some high school,standard,completed,60,100,95
female,group B,some college,standard,none,99,100,73
male,group C,bachelor's degree,standard,completed,29,88,95
male,group C,some high school,standard,completed,55,92,72
male,group C,bachelor's degree,free/reduced,none,80,97,50
female,group B,master's degree,standard,none,45,100,67
female,group C,some college,standard,none,62,93,64
female,group E,high school,free/reduced,none,48,94,84
female,group C,some college,free/reduced,completed,55,100,61
female,group E,some college,standard,none,38,84,83
female,group C,master's degree,free/reduced,completed,44,79,100
female,group D,some high school,free/reduced,completed,43,84,48
male,group C,some high school,standard,none,29,70,81
male,group C,high school,standard,completed,62,99,63
female,group B,associate's degree,free/reduced,none,43,70,50
female,group E,bachelor's degree,standard,completed,32,100,43
female,group C,bachelor's degree,standard,none,70,100,51
female,group E,associate's degree,standard,none,51,98,68
male,group A,some high school,free/reduced,none,100,88,78
male,group C,some high school,standard,none,69,86,80
female,group A,bachelor's degree,free/reduced,completed,40,82,83
female,group C,some high school,standard,none,68,78,44
male,group E,associate's degree,free/reduced,none,36,100,96
female,group C,some college,standard,none,50,75,80
female,group D,associate's degree,free/reduced,none,47,100,29
female,group B,some college,standard,none,36,90,86
female,group E,some college,free/reduced,none,53,91,92
female,group E,some college,free/reduced,none,50,100,80
female,group D,associate's degree,standard,completed,43,100,57
male,group E,master's degree,standard,none,70,100,63
male,group E,some high school,standard,none,31,100,67
male,group E,some high school,standard,none,49,100,68
female,group D,some high school,free/reduced,none,35,44,88
female,group B,some college,free/reduced,none,61,100,88
male,group C,some high school,free/reduced,none,39,99,87
female,group A,some college,standard,completed,90,69,26
female,group A,high school,free/reduced,none,51,80,47
female,group C,associate's degree,standard,completed,76,100,38
male,group C,some high school,free/reduced,none,64,100,90
female,group D,associate's degree,standard,none,30,97,93
male,group E,some high school,standard,none,30,94,80
female,group A,some college,standard,none,45,96,65
male,group E,some college,free/reduced,none,37,81,78
female,group C,bachelor's degree,free/reduced,none,57,100,100
male,group C,associate's degree,free/reduced,completed,45,87,54
female,group A,some high school,standard,none,51,93,89
male,group C,associate's degree,standard,completed,16,90,94
female,group B,some high school,standard,completed,39,95,68
female,group C,master's degree,free/reduced,none,32,100,39
female,group B,some high school,standard,none,31,100,100
female,group E,associate's degree,free/reduced,none,32,100,89
female,group B,some college,free/reduced,none,54,94,76
male,group C,associate's degree,standard,none,43,82,66
male,group B,some college,standard,completed,27,98,58
male,group C,some college,standard,completed,35,100,92
male,group B,high school,standard,none,58,94,67
female,group E,high school,standard,none,66,100,75
male,group D,bachelor's degree,free/reduced,none,31,100,65
male,group D,associate's degree,free/reduced,none,18,100,71
male,group E,bachelor's degree,standard,none,43,100,58
male,group C,some college,free/reduced,none,47,100,80
male,group C,associate's degree,free/reduced,none,49,100,51
female,group E,associate's degree,standard,none,42,100,66
female,group D,high school,free/reduced,none,54,100,97
female,group C,associate's degree,free/reduced,none,60,89,54
male,group E,bachelor's degree,standard,none,39,75,43
female,group C,high school,free/reduced,none,85,95,58
male,group C,some high school,standard,none,84,86,59
female,group E,some high school,free/reduced,none,8,77,84
female,group B,some high school,standard,completed,10,54,68
female,group D,associate's degree,free/reduced,completed,36,98,83
male,group C,high school,standard,none,82,100,100
female,group E,some college,free/reduced,completed,39,79,81
female,group C,high school,free/reduced,none,32,96,72
female,group B,some high school,standard,none,50,100,84
male,group B,master's degree,standard,none,60,100,58
male,group A,some high school,standard,none,79,45,58
male,group A,some college,standard,completed,58,100,100
female,group D,high school,standard,none,9,96,30
female,group B,associate's degree,free/reduced,none,30,76,62
male,group D,master's degree,free/reduced,none,32,85,99
female,group C,bachelor's degree,standard,none,66,71,86
female,group A,high school,standard,none,66,97,98
female,group C,high school,free/reduced,completed,35,88,93
male,group D,bachelor's degree,free/reduced,none,55,100,100
