gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,master's degree,standard,completed,74,70,67
female,group D,associate's degree,standard,completed,83,100,63
female,group B,some college,standard,completed,68,84,100
male,group D,some college,free/reduced,completed,69,70,97
female,group C,bachelor's degree,standard,none,85,100,40
female,group D,bachelor's degree,free/reduced,none,51,89,77
male,group C,bachelor's degree,standard,completed,63,100,62
female,group E,high school,free/reduced,none,92,75,88
male,group B,some high school,free/reduced,none,82,98,33
female,group A,some high school,standard,none,42,100,47
female,group C,some high school,free/reduced,none,97,100,40
female,group D,some high school,free/reduced,completed,100,92,37
male,group A,some high school,standard,completed,76,100,48
female,group D,high school,standard,completed,88,54,54
female,group B,high school,free/reduced,completed,68,93,100
female,group C,some high school,standard,completed,80,100,52
female,group B,associate's degree,standard,none,87,83,60
female,group A,some high school,standard,completed,87,90,76
female,group D,some college,free/reduced,none,91,89,25
male,group B,high school,standard,none,64,78,84
female,group C,some college,standard,none,43,95,56
female,group E,some college,free/reduced,none,75,100,52
female,group C,some high school,standard,none,88,69,88
male,group A,associate's degree,standard,completed,94,76,45
male,group B,high school,free/reduced,none,80,86,63
male,group A,high school,free/reduced,none,76,71,96
female,group D,some high school,free/reduced,none,84,100,55
female,group E,associate's degree,standard,none,49,100,59
male,group D,some college,standard,none,63,100,63
female,group B,some college,free/reduced,completed,88,87,93
female,group C,some college,free/reduced,completed,67,70,81
female,group C,bachelor's degree,free/reduced,completed,63,88,100
female,group D,high school,standard,none,95,84,100
male,group A,some college,standard,none,99,100,65
male,group B,associate's degree,standard,completed,58,81,55
female,group D,bachelor's degree,free/reduced,completed,53,100,44
female,group C,high school,standard,none,59,87,48
female,group C,associate's degree,standard,completed,86,88,78
female,group E,bachelor's degree,standard,completed,100,88,93
female,group B,bachelor's degree,standard,none,93,74,98
female,group E,some college,free/reduced,none,100,79,91
male,group C,master's degree,standard,completed,81,88,84
female,group D,some college,free/reduced,none,100,100,73
female,group A,some college,standard,completed,55,93,49
female,group E,associate's degree,free/reduced,completed,84,62,59
female,group C,some high school,free/reduced,none,85,100,47
female,group D,some high school,standard,none,99,100,65
male,group D,master's degree,free/reduced,none,70,100,23
male,group C,master's degree,standard,completed,75,100,93
female,group D,bachelor's degree,standard,none,91,97,64
female,group C,associate's degree,standard,completed,61,96,99
female,group A,master's degree,standard,none,92,92,82
female,group D,some college,free/reduced,completed,75,79,71
male,group D,associate's degree,free/reduced,none,81,96,54
female,group E,some college,free/reduced,completed,50,100,63
male,group C,some college,standard,none,77,100,71
female,group B,associate's degree,standard,none,99,100,66
female,group E,high school,standard,none,71,93,80
male,group C,associate's degree,standard,none,86,99,88
female,group B,some college,free/reduced,completed,89,77,78
female,group B,bachelor's degree,free/reduced,none,69,74,63
female,group D,some high school,free/reduced,completed,100,78,93
female,group A,some high school,free/reduced,none,100,89,62
female,group B,associate's degree,standard,completed,100,100,96
female,group E,bachelor's degree,free/reduced,none,54,99,29
female,group E,bachelor's degree,free/reduced,none,65,94,68
female,group C,some college,standard,none,78,97,78
male,group A,bachelor's degree,standard,completed,72,87,63
female,group C,high school,standard,none,70,100,100
female,group A,some college,standard,none,69,100,50
male,group A,some high school,standard,completed,79,100,78
female,group C,associate's degree,standard,completed,68,80,58
female,group B,associate's degree,free/reduced,none,83,94,100
female,group C,some college,standard,none,71,100,92
female,group C,associate's degree,standard,none,71,77,87
female,group C,some high school,standard,none,70,100,74
female,group B,associate's degree,standard,none,87,77,100
female,group C,some high school,standard,none,68,100,73
female,group D,master's degree,standard,completed,87,100,76
female,group E,some college,standard,completed,67,89,54
female,group E,associate's degree,free/reduced,none,81,97,49
female,group D,bachelor's degree,standard,none,100,70,100
female,group C,associate's degree,standard,none,100,95,87
female,group B,associate's degree,standard,completed,50,100,59
female,group D,some college,free/reduced,none,76,85,50
female,group E,high school,standard,completed,74,89,62
male,group B,high school,standard,none,95,100,70
female,group B,associate's degree,free/reduced,completed,86,99,47
female,group B,some high school,free/reduced,none,58,100,83
male,group D,high school,free/reduced,none,64,99,66
female,group A,some college,standard,completed,58,100,69
female,group A,associate's degree,standard,none,85,98,80
female,group C,master's degree,free/reduced,completed,75,100,80
male,group C,associate's degree,standard,completed,93,76,74
female,group C,some college,free/reduced,none,56,73,41
male,group E,associate's degree,standard,none,95,96,50
female,group C,some high school,standard,completed,86,100,77
male,group E,associate's degree,standard,completed,51,75,47
female,group B,bachelor's degree,standard,completed,63,68,74
male,group B,high school,standard,completed,76,92,45
female,group D,some college,standard,completed,58,100,44
female,group D,high school,free/reduced,none,79,78,40
female,group D,some high school,free/reduced,none,99,80,95
male,group D,some high school,standard,none,89,95,85
female,group C,some college,standard,none,100,100,81
female,group D,associate's degree,free/reduced,none,100,97,43
male,group D,high school,free/reduced,none,72,100,41
male,group E,some college,free/reduced,none,92,89,100
female,group C,bachelor's degree,free/reduced,completed,85,97,54
male,group B,some college,standard,none,100,100,37
male,group D,associate's degree,standard,completed,49,100,74
female,group D,some college,free/reduced,completed,67,100,50
male,group A,bachelor's degree,standard,none,88,97,100
female,group D,master's degree,free/reduced,completed,58,100,69
female,group E,some high school,free/reduced,completed,76,90,99
male,group C,associate's degree,standard,none,100,100,98
female,group D,some college,free/reduced,none,46,78,89
female,group D,some high school,free/reduced,none,96,86,90
female,group C,bachelor's degree,standard,none,85,100,67
male,group B,some high school,free/reduced,none,93,69,100
male,group C,bachelor's degree,standard,completed,94,81,99
male,group C,bachelor's degree,standard,completed,78,79,69
female,group C,high school,standard,none,8,85,61
male,group D,some college,free/reduced,none,82,84,25
male,group C,associate's degree,standard,none,25,92,62
female,group E,some college,standard,none,80,81,39
male,group D,high school,standard,none,90,100,49
male,group D,bachelor's degree,standard,none,77,85,100
male,group A,master's degree,standard,completed,79,100,99
female,group B,some college,standard,none,44,100,64
male,group C,bachelor's degree,standard,completed,29,100,63
male,group C,some high school,standard,none,85,93,66
male,group E,bachelor's degree,free/reduced,none,62,96,44
female,group B,some high school,standard,none,100,49,72
female,group D,high school,standard,none,77,87,69
female,group E,high school,free/reduced,none,80,82,59
female,group D,some college,free/reduced,completed,67,86,73
female,group E,some college,standard,none,91,100,65
female,group C,some college,free/reduced,completed,57,100,77
female,group A,some high school,free/reduced,none,60,81,29
male,group B,some high school,standard,none,67,100,48
male,group C,high school,standard,completed,97,100,64
male,group B,associate's degree,free/reduced,none,58,76,94
female,group E,bachelor's degree,standard,completed,93,98,79
female,group C,bachelor's degree,standard,none,100,75,73
male,group E,associate's degree,standard,completed,73,96,40
female,group B,some high school,standard,none,58,98,57
male,group D,some high school,standard,none,74,100,73
female,group A,bachelor's degree,standard,completed,83,100,52
female,group C,some high school,standard,none,64,83,87
male,group E,associate's degree,free/reduced,none,54,86,80
female,group C,high school,standard,completed,92,86,73
female,group D,some college,free/reduced,none,100,100,100
female,group B,some college,standard,none,84,84,57
female,group E,some college,free/reduced,none,79,94,32
female,group E,some college,free/reduced,completed,99,100,58
female,group E,bachelor's degree,standard,completed,46,91,63
female,group E,master's degree,standard,none,89,96,88
male,group B,some high school,standard,none,91,89,61
male,group B,some high school,standard,none,59,66,64
male,group D,associate's degree,free/reduced,none,90,62,91
female,group B,some college,free/reduced,completed,74,99,52
male,group C,some high school,free/reduced,none,86,82,80
female,group A,some college,standard,completed,93,51,54
female,group A,bachelor's degree,free/reduced,none,82,76,67
female,group D,associate's degree,standard,completed,100,92,59
male,group C,some high school,free/reduced,none,89,73,37
female,group D,associate's degree,standard,none,53,90,100
male,group E,some high school,standard,none,93,87,100
female,group C,some college,standard,completed,81,82,79
male,group C,master's degree,free/reduced,completed,61,70,78
female,group C,bachelor's degree,free/reduced,completed,97,82,92
male,group A,associate's degree,free/reduced,completed,99,99,59
female,group A,some high school,standard,none,96,100,72
female,group C,associate's degree,standard,completed,79,96,77
female,group B,some high school,standard,completed,99,89,96
female,group C,master's degree,free/reduced,none,98,98,73
female,group B,some high school,standard,none,63,93,53
female,group E,some college,free/reduced,none,84,84,95
female,group D,some college,free/reduced,none,100,89,62
male,group C,associate's degree,standard,completed,61,97,67
male,group B,some college,free/reduced,completed,70,91,26
male,group C,some high school,standard,completed,94,100,100
male,group C,high school,standard,none,57,91,84
female,group E,bachelor's degree,standard,none,47,97,76
male,group D,bachelor's degree,free/reduced,completed,60,100,60
female,group D,associate's degree,free/reduced,none,73,100,43
male,group E,high school,standard,none,96,100,39
male,group C,some college,standard,none,97,100,100
male,group C,high school,standard,none,80,67,50
male,group E,associate's degree,standard,none,100,100,66
male,group C,high school,free/reduced,none,57,100,39
female,group C,associate's degree,standard,none,75,82,64
male,group E,bachelor's degree,standard,none,56,79,59
male,group C,high school,free/reduced,none,65,100,50
male,group C,some high school,standard,none,70,74,61
female,group C,some high school,standard,none,40,100,82
female,group B,some high school,standard,completed,69,41,90
male,group D,associate's degree,free/reduced,none,69,69,62
male,group A,high school,standard,none,46,87,55
female,group C,some college,free/reduced,completed,80,74,93
female,group B,high school,free/reduced,none,100,96,88
female,group D,some college,standard,none,41,87,72
female,group B,some college,standard,none,100,88,77
male,group A,some high school,standard,none,84,100,32
female,group A,associate's degree,standard,completed,62,100,47
female,group D,high school,standard,none,31,91,91
female,group B,some college,free/reduced,completed,70,96,23
male,group D,master's degree,free/reduced,none,72,100,60
female,group C,bachelor's degree,standard,none,62,96,100
female,group A,high school,free/reduced,none,87,98,39
female,group C,some high school,free/reduced,completed,36,95,62
male,group D,bachelor's degree,standard,none,100,100,31
female,group D,bachelor's degree,free/reduced,none,88,92,83
male,group D,some high school,standard,none,64,100,100
male,group B,some college,standard,none,61,100,59
male,group B,high school,standard,none,60,78,82
female,group B,some high school,free/reduced,completed,75,98,23
male,group D,some college,standard,none,44,100,36
female,group E,some high school,standard,none,70,86,47
female,group C,some college,standard,completed,84,100,65
male,group C,some college,standard,none,69,100,96
male,group D,associate's degree,standard,none,99,96,58
female,group B,high school,free/reduced,none,76,94,49
female,group E,bachelor's degree,standard,none,100,100,67
female,group C,associate's degree,standard,completed,57,69,75
female,group B,some college,standard,completed,20,94,53
male,group B,associate's degree,standard,none,82,80,62
female,group D,some high school,standard,completed,100,79,79
female,group B,some college,standard,none,57,100,75
male,group B,high school,standard,none,62,75,41
female,group C,master's degree,free/reduced,none,100,64,92
female,group B,high school,standard,none,42,100,100
female,group E,some college,standard,completed,76,93,40
female,group B,high school,free/reduced,completed,77,100,66
female,group C,high school,standard,none,64,100,76
female,group C,some high school,free/reduced,completed,72,100,48
female,group C,associate's degree,free/reduced,completed,39,81,31
female,group D,some college,free/reduced,completed,38,64,64
female,group B,associate's degree,standard,completed,77,100,98
female,group E,some high school,free/reduced,none,76,100,70
female,group C,high school,standard,completed,84,91,89
male,group D,associate's degree,standard,completed,64,90,76
female,group B,associate's degree,standard,completed,98,100,84
male,group A,bachelor's degree,standard,none,66,100,76
female,group C,some college,standard,completed,59,100,92
male,group A,high school,standard,none,95,100,73
male,group C,some college,standard,none,97,100,75
male,group E,some college,standard,none,70,83,99
female,group C,associate's degree,standard,completed,68,100,79
male,group E,some high school,free/reduced,completed,100,100,91
female,group D,high school,standard,none,60,77,97
female,group D,some high school,standard,completed,62,100,52
female,group A,some college,standard,none,63,90,71
male,group C,bachelor's degree,free/reduced,none,63,100,82
male,group B,bachelor's degree,standard,none,78,100,52
female,group B,some high school,standard,none,61,63,61
female,group D,some high school,free/reduced,completed,94,76,62
female,group B,master's degree,free/reduced,none,55,64,61
female,group E,some college,free/reduced,none,66,100,68
female,group A,associate's degree,standard,none,81,90,71
female,group B,associate's degree,standard,none,73,100,56
female,group A,associate's degree,free/reduced,completed,63,100,62
female,group B,master's degree,standard,none,74,73,89
female,group C,some college,free/reduced,completed,93,100,82
female,group C,associate's degree,free/reduced,completed,64,85,79
female,group D,bachelor's degree,standard,none,100,100,49
female,group E,bachelor's degree,free/reduced,none,100,83,47
male,group D,some college,standard,completed,100,100,68
female,group D,associate's degree,standard,none,55,100,57
male,group A,associate's degree,standard,none,94,87,100
male,group E,associate's degree,free/reduced,none,82,93,49
female,group B,associate's degree,standard,completed,76,100,90
male,group C,high school,standard,completed,63,87,59
female,group D,bachelor's degree,standard,none,40,92,38
female,group D,associate's degree,standard,completed,82,80,55
female,group A,associate's degree,standard,none,74,86,84
female,group B,high school,standard,none,92,100,100
female,group C,associate's degree,standard,none,58,93,66
male,group D,associate's degree,standard,none,62,100,51
male,group D,master's degree,standard,completed,32,97,66
female,group A,associate's degree,standard,completed,100,100,91
male,group E,high school,standard,completed,79,96,38
male,group C,some high school,standard,none,90,100,55
female,group A,some college,free/reduced,none,79,80,92
male,group B,high school,standard,none,85,99,100
male,group E,bachelor's degree,standard,none,57,97,59
male,group E,associate's degree,standard,none,91,76,81
female,group C,associate's degree,free/reduced,completed,88,98,80
female,group C,associate's degree,standard,completed,93,100,88
female,group D,high school,standard,none,99,81,38
male,group E,master's degree,standard,none,63,100,64
female,group C,some high school,standard,none,85,73,62
female,group C,associate's degree,standard,completed,62,100,50
female,group E,some college,free/reduced,none,75,97,39
female,group C,some college,standard,completed,74,100,76
female,group E,high school,standard,none,68,100,34
male,group B,some college,free/reduced,none,50,97,51
female,group D,high school,standard,completed,75,100,65
male,group A,high school,standard,none,67,71,79
female,group E,some college,standard,completed,93,100,86
female,group B,associate's degree,standard,completed,88,53,52
female,group C,some college,free/reduced,completed,99,77,60
male,group C,associate's degree,standard,none,96,93,48
male,group A,some college,standard,completed,43,87,59
male,group E,associate's degree,free/reduced,completed,77,86,72
male,group B,bachelor's degree,free/reduced,completed,100,98,85
male,group D,associate's degree,standard,none,91,71,75
male,group C,master's degree,standard,none,52,100,89
male,group D,some college,standard,completed,96,98,86
female,group E,bachelor's degree,standard,none,70,75,70
female,group D,master's degree,standard,completed,76,87,34
female,group B,high school,free/reduced,none,100,100,33
female,group D,bachelor's degree,standard,completed,53,100,88
male,group C,master's degree,standard,none,35,95,82
male,group C,some college,standard,completed,44,98,79
female,group D,bachelor's degree,standard,none,91,80,69
female,group C,associate's degree,standard,completed,83,100,77
female,group E,high school,standard,none,75,71,78
female,group D,bachelor's degree,standard,none,80,70,65
male,group E,bachelor's degree,free/reduced,none,79,94,69
male,group C,high school,standard,none,66,91,84
male,group C,master's degree,standard,none,63,86,76
female,group E,bachelor's degree,standard,none,89,100,59
male,group D,some high school,standard,none,87,100,50
female,group D,bachelor's degree,free/reduced,completed,41,100,58
male,group C,some high school,free/reduced,none,85,100,77
female,group C,some high school,free/reduced,completed,77,93,70
male,group C,some high school,standard,completed,88,83,90
male,group D,high school,free/reduced,completed,95,85,86
female,group C,associate's degree,standard,completed,78,100,84
female,group B,bachelor's degree,free/reduced,none,36,89,83
female,group C,some high school,standard,none,100,100,59
male,group C,bachelor's degree,free/reduced,none,100,100,45
female,group A,master's degree,free/reduced,none,58,78,94
male,group B,some high school,standard,completed,68,41,79
male,group B,bachelor's degree,standard,completed,78,100,70
female,group B,associate's degree,standard,none,42,100,38
female,group D,some high school,standard,none,65,84,44
female,group D,some college,free/reduced,none,90,76,54
