gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,high school,free/reduced,none,85.0,64.0,62.0
female,group B,bachelor's degree,free/reduced,completed,44.0,78.0,29.0
female,group C,associate's degree,standard,completed,88.0,68.0,80.0
male,group E,some high school,standard,none,74.0,64.0,27.0
female,group D,bachelor's degree,standard,completed,52.0,53.0,29.0
male,group C,bachelor's degree,standard,completed,51.0,72.0,72.0
female,group A,associate's degree,free/reduced,none,99.0,55.0,35.0
female,group E,bachelor's degree,free/reduced,completed,42.0,92.0,26.0
male,group E,some high school,free/reduced,completed,38.0,98.0,53.0
female,group A,some high school,free/reduced,completed,24.0,52.0,51.0
male,group D,master's degree,free/reduced,completed,35.0,83.0,26.0
male,group B,high school,standard,none,20.0,64.0,26.0
male,group E,some college,free/reduced,none,28.0,69.0,92.0
female,group A,associate's degree,standard,none,57.0,96.0,29.0
male,group C,associate's degree,standard,completed,20.0,31.0,60.0
male,group C,master's degree,free/reduced,completed,74.0,31.0,70.0
male,group A,bachelor's degree,standard,completed,12.0,26.0,53.0
female,group D,bachelor's degree,free/reduced,completed,54.0,87.0,78.0
male,group E,master's degree,free/reduced,completed,81.0,84.0,38.0
female,group D,associate's degree,free/reduced,none,100.0,89.0,27.0
female,group B,bachelor's degree,free/reduced,completed,46.0,97.0,82.0
male,group B,some high school,free/reduced,none,94.0,85.0,96.0
female,group A,associate's degree,free/reduced,none,63.0,55.0,98.0
male,group D,associate's degree,free/reduced,completed,99.0,81.0,34.0
male,group B,some high school,free/reduced,completed,19.0,34.0,65.0
female,group C,master's degree,free/reduced,none,87.0,70.0,35.0
male,group E,some high school,standard,none,79.0,35.0,83.0
male,group E,master's degree,free/reduced,completed,61.0,95.0,24.0
female,group B,bachelor's degree,free/reduced,completed,67.0,66.0,94.0
female,group C,high school,standard,none,100.0,52.0,40.0
male,group D,high school,free/reduced,completed,24.0,43.0,90.0
female,group E,bachelor's degree,standard,completed,44.0,83.0,97.0
female,group B,bachelor's degree,standard,none,23.0,56.0,61.0
male,group C,bachelor's degree,free/reduced,none,99.0,66.0,33.0
female,group E,master's degree,free/reduced,completed,20.0,27.0,41.0
male,group C,some college,standard,completed,77.0,73.0,71.0
male,group E,some college,standard,completed,21.0,71.0,24.0
female,group C,master's degree,free/reduced,completed,88.0,71.0,37.0
male,group B,high school,standard,none,58.0,94.0,51.0
male,group D,high school,free/reduced,completed,71.0,74.0,84.0
male,group E,some college,standard,none,17.0,47.0,92.0
female,group B,some high school,standard,none,61.0,56.0,31.0
male,group B,associate's degree,standard,none,86.0,74.0,35.0
female,group E,associate's degree,free/reduced,none,92.0,30.0,39.0
male,group D,master's degree,standard,none,32.0,74.0,55.0
male,group C,master's degree,standard,none,58.0,74.0,96.0
female,group D,associate's degree,free/reduced,none,36.0,38.0,33.0
male,group D,some high school,standard,completed,47.0,34.0,89.0
male,group E,bachelor's degree,free/reduced,none,55.0,44.0,89.0
female,group B,some high school,standard,none,95.0,50.0,27.0
male,group C,master's degree,standard,completed,99.0,67.0,77.0
male,group D,associate's degree,standard,none,93.0,56.0,45.0
female,group D,some college,standard,none,50.0,99.0,77.0
female,group E,high school,free/reduced,none,46.0,28.0,61.0
male,group B,high school,standard,completed,84.0,39.0,42.0
female,group A,some college,free/reduced,completed,77.0,36.0,35.0
male,group E,bachelor's degree,standard,completed,13.0,75.0,33.0
female,group C,some high school,standard,none,20.0,42.0,77.0
female,group E,associate's degree,standard,none,85.0,55.0,53.0
female,group A,some high school,standard,none,89.0,42.0,25.0
male,group A,some college,standard,none,99.0,39.0,53.0
male,group D,high school,free/reduced,none,24.0,33.0,36.0
male,group B,associate's degree,standard,none,22.0,74.0,26.0
male,group B,high school,free/reduced,none,57.0,32.0,61.0
male,group C,associate's degree,standard,none,52.0,36.0,83.0
female,group B,high school,standard,none,47.0,50.0,49.0
female,group C,bachelor's degree,standard,completed,52.0,86.0,40.0
female,group C,associate's degree,standard,none,51.0,31.0,31.0
male,group B,associate's degree,standard,none,11.0,86.0,81.0
male,group A,bachelor's degree,standard,completed,9.0,28.0,32.0
female,group B,high school,free/reduced,completed,18.0,98.0,80.0
male,group A,high school,free/reduced,completed,59.0,57.0,24.0
male,group E,some high school,free/reduced,completed,34.0,99.0,82.0
male,group D,high school,free/reduced,none,89.0,66.0,29.0
male,group C,master's degree,standard,none,84.0,78.0,84.0
male,group B,some high school,free/reduced,completed,87.0,26.0,29.0
male,group E,bachelor's degree,free/reduced,none,57.0,43.0,59.0
male,group A,some high school,free/reduced,none,53.0,35.0,85.0
female,group C,master's degree,standard,none,86.0,47.0,64.0
male,group D,some college,free/reduced,completed,53.0,33.0,85.0
female,group D,high school,free/reduced,completed,26.0,45.0,59.0
male,group D,associate's degree,standard,none,100.0,53.0,40.0
female,group C,master's degree,standard,completed,75.0,29.0,26.0
female,group C,high school,standard,completed,97.0,75.0,70.0
female,group B,some college,free/reduced,none,16.0,67.0,100.0
female,group A,bachelor's degree,standard,completed,9.0,40.0,76.0
male,group B,high school,free/reduced,none,21.0,64.0,86.0
female,group B,high school,free/reduced,completed,49.0,30.0,100.0
male,group D,high school,standard,none,58.0,68.0,67.0
male,group C,master's degree,standard,completed,38.0,93.0,82.0
male,group D,bachelor's degree,free/reduced,none,22.0,44.0,66.0
male,group D,master's degree,standard,completed,34.0,74.0,57.0
female,group A,some high school,standard,none,74.0,35.0,32.0
male,group B,master's degree,free/reduced,completed,89.0,78.0,25.0
male,group B,some college,free/reduced,completed,49.0,46.0,71.0
male,group B,some college,standard,completed,67.0,36.0,68.0
male,group D,bachelor's degree,standard,none,99.0,67.0,63.0
female,group E,some high school,free/reduced,completed,77.0,27.0,30.0
male,group B,associate's degree,free/reduced,none,25.0,87.0,55.0
female,group A,associate's degree,free/reduced,none,61.0,27.0,40.0
female,group A,bachelor's degree,free/reduced,completed,11.0,75.0,86.0
male,group D,bachelor's degree,standard,none,67.0,46.0,64.0
female,group C,some high school,standard,completed,18.0,78.0,85.0
male,group B,some high school,free/reduced,completed,94.0,99.0,49.0
male,group A,some high school,standard,completed,22.0,40.0,94.0
male,group D,high school,free/reduced,none,87.0,69.0,47.0
male,group C,high school,free/reduced,none,76.0,67.0,98.0
male,group E,bachelor's degree,standard,none,56.0,68.0,44.0
male,group C,some college,free/reduced,completed,12.0,42.0,78.0
female,group E,some high school,standard,completed,36.0,99.0,66.0
female,group D,some college,free/reduced,none,68.0,55.0,50.0
male,group B,some high school,standard,completed,57.0,92.0,40.0
female,group C,high school,standard,completed,8.0,74.0,93.0
female,group D,associate's degree,free/reduced,none,98.0,45.0,90.0
male,group D,some high school,free/reduced,none,44.0,87.0,71.0
female,group D,associate's degree,free/reduced,completed,66.0,51.0,56.0
male,group B,some college,standard,completed,62.0,91.0,100.0
male,group E,some high school,free/reduced,completed,77.0,67.0,85.0
female,group D,some college,standard,completed,52.0,89.0,33.0
male,group B,some college,free/reduced,none,66.0,76.0,45.0
male,group C,master's degree,standard,completed,84.0,79.0,83.0
female,group B,bachelor's degree,free/reduced,completed,42.0,59.0,87.0
male,group E,master's degree,free/reduced,completed,14.0,98.0,67.0
male,group C,master's degree,standard,completed,45.0,70.0,94.0
male,group B,some high school,free/reduced,none,27.0,51.0,80.0
female,group B,some high school,free/reduced,completed,91.0,71.0,43.0
male,group A,high school,free/reduced,none,63.0,28.0,28.0
male,group C,high school,standard,completed,92.0,45.0,73.0
female,group D,master's degree,free/reduced,completed,64.0,74.0,51.0
male,group A,associate's degree,standard,none,87.0,46.0,58.0
female,group B,some high school,standard,completed,94.0,73.0,77.0
female,group C,associate's degree,standard,none,86.0,57.0,52.0
female,group C,master's degree,free/reduced,none,96.0,34.0,35.0
male,group D,high school,standard,completed,38.0,46.0,54.0
female,group C,some college,free/reduced,none,27.0,67.0,97.0
male,group C,master's degree,free/reduced,completed,87.0,69.0,82.0
female,group A,associate's degree,standard,completed,9.0,69.0,62.0
male,group B,some college,free/reduced,none,39.0,76.0,65.0
female,group D,master's degree,standard,none,37.0,75.0,71.0
female,group E,bachelor's degree,standard,none,55.0,57.0,39.0
male,group C,master's degree,standard,completed,24.0,91.0,42.0
male,group B,master's degree,standard,completed,86.0,50.0,32.0
female,group B,bachelor's degree,standard,completed,22.0,55.0,58.0
female,group E,associate's degree,free/reduced,none,72.0,92.0,27.0
female,group C,bachelor's degree,standard,completed,46.0,87.0,98.0
female,group E,bachelor's degree,free/reduced,completed,42.0,79.0,27.0
male,group A,associate's degree,standard,completed,99.0,30.0,24.0
male,group D,some high school,standard,completed,85.0,92.0,87.0
female,group C,master's degree,free/reduced,none,86.0,78.0,62.0
female,group D,master's degree,free/reduced,completed,18.0,99.0,81.0
female,group C,bachelor's degree,free/reduced,completed,29.0,34.0,53.0
female,group E,master's degree,standard,completed,26.0,90.0,46.0
male,group D,some college,free/reduced,none,54.0,39.0,58.0
female,group D,bachelor's degree,free/reduced,completed,99.0,71.0,43.0
female,group E,master's degree,free/reduced,none,16.0,33.0,28.0
female,group E,master's degree,standard,none,23.0,92.0,46.0
female,group B,some high school,standard,none,60.0,86.0,98.0
female,group B,some college,free/reduced,none,29.0,68.0,30.0
male,group E,master's degree,standard,none,74.0,53.0,29.0
female,group A,some college,free/reduced,none,41.0,31.0,36.0
female,group B,high school,standard,completed,10.0,76.0,99.0
female,group B,some college,free/reduced,none,70.0,56.0,75.0
male,group B,associate's degree,free/reduced,none,24.0,77.0,55.0
male,group B,some college,standard,completed,66.0,89.0,98.0
male,group D,master's degree,free/reduced,completed,51.0,99.0,99.0
female,group A,some high school,standard,none,88.0,92.0,95.0
male,group D,high school,free/reduced,completed,81.0,25.0,45.0
male,group D,some high school,standard,none,83.0,48.0,60.0
female,group C,associate's degree,free/reduced,none,52.0,80.0,33.0
female,group E,high school,free/reduced,none,26.0,38.0,23.0
female,group A,high school,standard,none,48.0,63.0,34.0
male,group E,master's degree,free/reduced,completed,74.0,30.0,68.0
female,group D,associate's degree,free/reduced,none,31.0,37.0,55.0
female,group C,bachelor's degree,free/reduced,none,23.0,25.0,26.0
male,group E,some high school,free/reduced,none,97.0,83.0,33.0
female,group A,high school,standard,none,49.0,42.0,37.0
female,group D,associate's degree,free/reduced,none,97.0,47.0,86.0
male,group D,associate's degree,free/reduced,completed,19.0,92.0,95.0
female,group B,master's degree,standard,none,74.0,80.0,33.0
female,group A,bachelor's degree,free/reduced,completed,40.0,24.0,24.0
male,group B,high school,free/reduced,none,11.0,36.0,25.0
male,group B,master's degree,standard,none,89.0,70.0,93.0
female,group E,some college,free/reduced,none,34.0,68.0,58.0
female,group B,some high school,standard,completed,93.0,39.0,65.0
female,group C,associate's degree,free/reduced,none,51.0,93.0,31.0
male,group A,high school,free/reduced,completed,11.0,73.0,80.0
male,group B,high school,free/reduced,none,17.0,64.0,25.0
male,group A,high school,standard,none,59.0,69.0,59.0
male,group C,bachelor's degree,standard,completed,79.0,78.0,78.0
male,group A,high school,standard,completed,41.0,45.0,86.0
male,group A,some college,free/reduced,none,48.0,52.0,86.0
male,group A,some college,standard,completed,97.0,36.0,41.0
female,group C,some college,standard,completed,30.0,37.0,97.0
female,group A,high school,standard,none,43.0,96.0,30.0
male,group D,master's degree,free/reduced,completed,38.0,80.0,59.0
male,group A,bachelor's degree,free/reduced,completed,97.0,60.0,55.0
female,group D,master's degree,free/reduced,none,62.0,41.0,33.0
female,group B,some high school,standard,completed,93.0,40.0,54.0
male,group C,master's degree,free/reduced,completed,75.0,30.0,27.0
female,group E,bachelor's degree,standard,completed,54.0,57.0,41.0
female,group B,high school,standard,completed,38.0,46.0,54.0
female,group C,some college,standard,completed,74.0,75.0,78.0
female,group D,some college,free/reduced,none,82.0,51.0,80.0
female,group C,high school,standard,none,93.0,39.0,40.0
female,group D,some high school,free/reduced,completed,75.0,26.0,90.0
female,group C,high school,free/reduced,none,34.0,29.0,89.0
female,group C,master's degree,free/reduced,none,94.0,73.0,52.0
female,group D,master's degree,standard,completed,35.0,55.0,62.0
male,group D,high school,free/reduced,none,47.0,65.0,90.0
male,group B,high school,free/reduced,completed,19.0,91.0,49.0
male,group B,some high school,standard,completed,93.0,99.0,48.0
male,group C,master's degree,free/reduced,none,49.0,36.0,92.0
female,group A,bachelor's degree,free/reduced,completed,12.0,75.0,42.0
female,group E,master's degree,standard,none,16.0,42.0,94.0
male,group D,some college,free/reduced,completed,32.0,27.0,35.0
female,group B,some college,free/reduced,completed,72.0,82.0,78.0
female,group B,bachelor's degree,free/reduced,none,66.0,43.0,40.0
female,group B,some college,standard,none,59.0,54.0,33.0
female,group A,master's degree,standard,completed,44.0,66.0,42.0
male,group A,associate's degree,standard,none,59.0,88.0,89.0
male,group C,some college,free/reduced,completed,24.0,72.0,42.0
female,group B,bachelor's degree,standard,completed,43.0,89.0,26.0
male,group E,some high school,standard,completed,60.0,43.0,30.0
male,group B,associate's degree,standard,none,87.0,88.0,49.0
male,group B,some high school,free/reduced,completed,76.0,38.0,86.0
female,group A,master's degree,free/reduced,completed,17.0,99.0,83.0
female,group D,master's degree,free/reduced,completed,35.0,75.0,94.0
female,group D,some college,standard,none,66.0,36.0,31.0
female,group E,some college,standard,completed,18.0,95.0,90.0
female,group E,master's degree,standard,completed,78.0,78.0,99.0
male,group C,master's degree,standard,none,71.0,42.0,95.0
male,group D,bachelor's degree,standard,completed,76.0,38.0,73.0
male,group A,high school,standard,none,23.0,62.0,46.0
male,group E,associate's degree,standard,none,72.0,28.0,68.0
male,group D,master's degree,free/reduced,none,64.0,36.0,33.0
male,group B,some college,free/reduced,none,17.0,55.0,68.0
male,group B,some high school,free/reduced,completed,24.0,52.0,93.0
female,group C,high school,free/reduced,completed,59.0,55.0,100.0
female,group D,associate's degree,free/reduced,none,97.0,44.0,91.0
female,group E,some college,free/reduced,none,33.0,67.0,60.0
male,group A,high school,free/reduced,completed,44.0,91.0,90.0
female,group B,some high school,free/reduced,completed,12.0,33.0,60.0
female,group E,associate's degree,free/reduced,none,18.0,59.0,95.0
female,group B,master's degree,standard,completed,70.0,33.0,34.0
male,group E,some high school,standard,completed,34.0,79.0,98.0
male,group D,master's degree,free/reduced,none,10.0,52.0,55.0
male,group E,some college,free/reduced,none,17.0,69.0,52.0
female,group A,master's degree,standard,none,41.0,37.0,82.0
male,group E,some high school,free/reduced,none,8.0,35.0,73.0
female,group C,some high school,standard,completed,17.0,61.0,42.0
female,group C,associate's degree,standard,none,53.0,49.0,48.0
male,group D,some high school,free/reduced,none,52.0,93.0,47.0
female,group E,master's degree,standard,completed,77.0,84.0,66.0
male,group D,some college,standard,completed,58.0,79.0,97.0
male,group B,some high school,free/reduced,completed,72.0,95.0,63.0
female,group C,master's degree,standard,completed,82.0,29.0,76.0
female,group B,high school,standard,none,11.0,64.0,35.0
male,group D,some college,free/reduced,none,62.0,66.0,37.0
male,group D,master's degree,standard,completed,34.0,99.0,76.0
female,group E,bachelor's degree,free/reduced,none,57.0,43.0,91.0
male,group E,bachelor's degree,standard,completed,58.0,42.0,44.0
female,group E,high school,free/reduced,completed,48.0,30.0,99.0
female,group B,bachelor's degree,free/reduced,none,33.0,27.0,81.0
female,group C,bachelor's degree,standard,completed,29.0,94.0,100.0
female,group D,master's degree,standard,none,46.0,76.0,32.0
male,group E,bachelor's degree,standard,completed,89.0,82.0,68.0
male,group B,some high school,free/reduced,completed,13.0,45.0,31.0
female,group B,bachelor's degree,free/reduced,none,13.0,67.0,60.0
female,group D,master's degree,free/reduced,completed,46.0,32.0,59.0
female,group B,associate's degree,standard,none,25.0,62.0,25.0
male,group B,associate's degree,standard,none,44.0,97.0,67.0
male,group B,bachelor's degree,standard,completed,88.0,91.0,76.0
male,group D,some high school,standard,completed,84.0,48.0,38.0
female,group B,associate's degree,free/reduced,completed,40.0,100.0,83.0
female,group D,master's degree,free/reduced,none,73.0,43.0,51.0
male,group A,some college,standard,completed,100.0,95.0,53.0
male,group B,master's degree,standard,completed,69.0,95.0,72.0
female,group A,some high school,free/reduced,none,24.0,87.0,96.0
male,group C,some college,standard,completed,11.0,71.0,82.0
male,group A,associate's degree,standard,none,97.0,92.0,32.0
male,group E,high school,standard,completed,38.0,46.0,52.0
female,group E,high school,standard,completed,41.0,90.0,100.0
female,group E,associate's degree,free/reduced,completed,13.0,72.0,33.0
male,group D,some high school,standard,none,41.0,24.0,54.0
male,group E,some high school,standard,completed,61.0,50.0,47.0
female,group C,master's degree,standard,none,96.0,34.0,46.0
female,group D,some college,free/reduced,none,65.0,100.0,95.0
male,group A,bachelor's degree,free/reduced,completed,97.0,60.0,57.0
female,group D,master's degree,standard,none,33.0,61.0,40.0
male,group C,master's degree,free/reduced,none,13.0,71.0,51.0
male,group D,associate's degree,standard,completed,31.0,50.0,81.0
female,group D,some college,free/reduced,completed,56.0,34.0,77.0
female,group D,bachelor's degree,standard,completed,21.0,89.0,74.0
male,group C,master's degree,free/reduced,none,68.0,35.0,76.0
female,group B,some college,standard,none,14.0,59.0,83.0
male,group D,associate's degree,free/reduced,none,42.0,39.0,67.0
male,group A,some high school,free/reduced,completed,66.0,28.0,44.0
male,group C,master's degree,free/reduced,none,47.0,92.0,27.0
male,group D,associate's degree,standard,completed,92.0,100.0,27.0
male,group D,associate's degree,standard,completed,44.0,98.0,33.0
female,group C,some college,standard,completed,31.0,96.0,50.0
male,group D,master's degree,free/reduced,completed,77.0,84.0,59.0
male,group E,associate's degree,standard,none,15.0,50.0,37.0
female,group C,master's degree,standard,completed,83.0,31.0,63.0
female,group D,associate's degree,free/reduced,none,68.0,51.0,99.0
male,group D,high school,standard,none,25.0,41.0,95.0
female,group D,associate's degree,standard,completed,91.0,33.0,32.0
male,group E,associate's degree,standard,none,13.0,31.0,96.0
male,group B,some college,standard,completed,16.0,78.0,31.0
male,group A,bachelor's degree,free/reduced,completed,31.0,25.0,38.0
male,group A,some high school,standard,none,72.0,84.0,98.0
male,group A,master's degree,free/reduced,none,79.0,32.0,97.0
male,group C,some high school,free/reduced,completed,20.0,28.0,59.0
female,group B,associate's degree,free/reduced,completed,33.0,30.0,41.0
male,group B,associate's degree,standard,none,79.0,76.0,78.0
female,group E,master's degree,free/reduced,none,75.0,41.0,38.0
female,group C,high school,standard,none,94.0,53.0,32.0
female,group D,bachelor's degree,standard,completed,65.0,63.0,71.0
male,group D,some high school,standard,none,37.0,90.0,94.0
male,group A,some college,free/reduced,completed,77.0,79.0,94.0
female,group E,some high school,standard,completed,37.0,47.0,42.0
male,group B,some high school,free/reduced,completed,62.0,34.0,93.0
male,group C,associate's degree,free/reduced,none,93.0,31.0,89.0
male,group D,high school,free/reduced,completed,23.0,45.0,31.0
female,group C,some high school,standard,none,17.0,41.0,45.0
male,group C,some college,free/reduced,none,81.0,58.0,79.0
male,group C,master's degree,standard,completed,57.0,74.0,93.0
female,group C,associate's degree,standard,none,54.0,76.0,77.0
male,group A,associate's degree,free/reduced,none,97.0,46.0,90.0
male,group A,high school,free/reduced,none,85.0,54.0,59.0
