"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group A","some high school","standard","none",71,89,78
"female","group C","bachelor's degree","standard","none",65,74,74
"female","group C","associate's degree","standard","none",59,59,62
"male","group C","high school","standard","none",88,84,82
"female","group C","bachelor's degree","free/reduced","none",67,79,79
"male","group C","high school","standard","none",71,66,63
"female","group A","bachelor's degree","standard","completed",92,100,96
"male","group D","some high school","standard","completed",74,79,72
"male","group E","some college","standard","none",97,100,100
"female","group C","some high school","standard","none",74,75,78
"male","group D","bachelor's degree","free/reduced","completed",74,71,72
"male","group B","some college","standard","none",54,59,57
"female","group E","bachelor's degree","free/reduced","none",61,73,65
"male","group E","associate's degree","standard","none",89,76,76
"male","group D","some high school","standard","none",60,60,57
"female","group B","some high school","standard","none",73,75,75
"male","group D","high school","standard","none",76,73,77
"female","group E","some high school","standard","none",81,93,86
"male","group D","bachelor's degree","free/reduced","completed",42,42,42
"male","group E","some college","standard","none",76,71,74
"female","group C","some college","standard","completed",87,84,91
"male","group A","high school","standard","none",59,59,57
"female","group D","bachelor's degree","standard","none",75,82,81
"female","group B","some high school","standard","none",37,61,54
"male","group C","some college","standard","none",61,67,73
"female","group D","associate's degree","standard","completed",97,89,94
"male","group D","high school","standard","none",76,83,78
"male","group D","some high school","standard","completed",78,72,78
"male","group E","some high school","standard","none",81,67,59
"female","group C","some high school","standard","none",69,84,77
"female","group E","high school","free/reduced","none",38,43,40
"female","group B","associate's degree","free/reduced","none",26,51,45
"male","group B","high school","standard","none",62,61,62
"male","group C","high school","standard","none",70,71,70
"female","group C","bachelor's degree","standard","completed",44,65,58
"male","group B","high school","standard","none",62,54,49
"male","group B","associate's degree","free/reduced","none",61,48,52
"female","group D","master's degree","standard","none",74,84,80
"female","group B","some high school","free/reduced","none",55,73,65
"female","group D","some college","standard","none",74,76,70
"male","group D","some high school","free/reduced","none",56,55,54
"male","group A","some high school","free/reduced","none",61,67,61
"female","group B","high school","free/reduced","none",64,60,59
"female","group C","some college","standard","none",69,84,81
"male","group E","high school","standard","completed",94,85,90
