gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,bachelor's degree,standard,completed,84,97,94
male,group C,some college,standard,none,69,78,77
female,group C,associate's degree,standard,completed,82,84,87
male,group C,high school,standard,none,68,63,67
female,group D,some college,standard,none,61,71,59
female,group D,some college,standard,none,82,76,80
male,group C,high school,standard,none,62,53,43
male,group C,some college,standard,none,73,72,74
female,group C,some college,standard,none,77,73,85
male,group D,high school,free/reduced,none,59,52,67
female,group C,high school,standard,none,54,72,58
male,group C,high school,standard,none,75,62,58
male,group C,high school,free/reduced,none,56,77,48
female,group C,high school,standard,none,50,64,54
female,group C,high school,standard,none,64,79,61
female,group C,some college,standard,none,87,89,72
male,group C,high school,free/reduced,none,50,52,49
female,group C,some college,standard,none,80,78,73
female,group D,some college,standard,none,74,64,74
male,group B,high school,standard,none,49,63,57
female,group C,associate's degree,standard,none,80,69,81
male,group C,high school,free/reduced,none,63,60,51
male,group D,some college,standard,none,86,74,75
male,group C,high school,standard,none,64,69,58
female,group C,some college,standard,none,42,60,62
female,group C,associate's degree,standard,completed,97,91,85
female,group C,associate's degree,standard,none,76,83,83
female,group C,associate's degree,standard,completed,89,83,90
female,group E,some high school,standard,completed,80,80,77
female,group C,associate's degree,standard,completed,63,83,84
male,group C,high school,free/reduced,none,58,46,52
female,group C,associate's degree,standard,none,64,84,69
female,group C,some college,standard,none,56,84,67
male,group C,some college,standard,none,68,86,83
female,group D,some college,standard,completed,78,79,89
male,group C,high school,free/reduced,none,60,58,62
female,group C,high school,free/reduced,none,54,57,50
female,group C,associate's degree,standard,completed,92,100,92
female,group C,associate's degree,standard,completed,76,92,76
female,group C,some college,standard,none,79,84,86
male,group C,high school,standard,none,49,55,43
female,group C,high school,standard,none,39,67,68
male,group C,high school,standard,none,61,67,39
female,group D,bachelor's degree,standard,completed,93,78,87
female,group C,some high school,free/reduced,none,57,62,51
female,group C,some college,standard,none,65,77,88
male,group C,associate's degree,standard,none,60,72,59
male,group C,high school,free/reduced,none,53,50,49
male,group C,associate's degree,standard,none,75,90,64
female,group C,associate's degree,standard,completed,67,87,74
female,group C,associate's degree,standard,completed,67,88,72
male,group C,some college,standard,none,61,75,68
female,group B,some high school,free/reduced,none,51,63,63
female,group C,bachelor's degree,free/reduced,none,62,74,59
female,group D,some college,standard,none,73,72,58
male,group C,associate's degree,standard,none,75,86,76
female,group C,some college,standard,none,59,52,67
female,group C,associate's degree,standard,none,62,69,76
female,group C,associate's degree,standard,completed,100,94,81
female,group C,some college,standard,none,72,77,69
male,group C,some college,standard,none,55,60,51
male,group C,high school,standard,none,72,49,50
female,group C,associate's degree,standard,completed,89,85,88
male,group C,high school,standard,none,53,68,72
female,group D,some college,standard,none,88,96,85
female,group C,associate's degree,standard,completed,79,90,83
male,group D,some college,standard,none,48,49,46
male,group D,some college,standard,none,60,70,58
male,group C,high school,free/reduced,none,60,56,52
male,group C,some college,standard,none,64,65,56
male,group C,high school,free/reduced,none,60,51,59
female,group B,some high school,free/reduced,none,51,62,73
female,group E,some college,standard,none,87,78,87
female,group C,associate's degree,standard,completed,80,95,93
female,group C,some college,standard,none,84,77,66
female,group D,some college,standard,none,52,62,55
female,group C,some college,standard,none,54,79,66
female,group C,bachelor's degree,standard,none,72,84,74
female,group C,high school,free/reduced,none,47,50,57
female,group C,associate's degree,standard,completed,67,73,70
female,group E,associate's degree,standard,completed,78,84,87
male,group C,associate's degree,standard,none,62,67,66
female,group D,some college,standard,completed,79,86,90
female,group C,associate's degree,standard,none,76,83,88
female,group D,some college,standard,none,87,69,76
male,group C,some college,standard,none,88,81,79
male,group C,high school,free/reduced,none,56,56,46
female,group D,some college,standard,none,66,61,69
male,group D,some college,standard,none,50,64,61
female,group C,associate's degree,standard,completed,90,84,83
male,group C,high school,free/reduced,none,52,37,34
female,group D,associate's degree,standard,completed,72,64,77
male,group C,high school,standard,none,52,52,48
female,group D,associate's degree,standard,completed,66,71,94
female,group C,associate's degree,free/reduced,none,46,61,54
female,group B,high school,standard,none,69,61,65
female,group C,associate's degree,standard,none,64,80,76
male,group D,associate's degree,standard,none,61,70,76
female,group D,some college,standard,none,80,83,73
male,group C,associate's degree,standard,completed,76,90,67
female,group C,associate's degree,standard,completed,82,68,84
female,group C,some high school,standard,none,78,66,78
female,group C,some college,standard,none,85,89,64
female,group C,some college,standard,none,55,59,54
male,group E,associate's degree,standard,none,76,88,83
female,group C,associate's degree,standard,completed,85,92,85
female,group D,some college,standard,none,66,83,71
female,group C,associate's degree,standard,none,66,76,78
female,group D,some college,standard,none,72,76,73
female,group C,high school,free/reduced,none,63,57,49
female,group D,associate's degree,standard,none,84,75,78
female,group C,some college,standard,none,82,75,57
female,group C,some high school,free/reduced,none,44,64,56
female,group C,some college,standard,none,60,52,77
female,group D,some college,standard,none,72,69,62
male,group C,high school,standard,none,69,66,77
male,group C,some college,standard,none,73,82,78
female,group B,some high school,free/reduced,none,62,68,51
female,group C,associate's degree,standard,none,76,78,84
male,group C,some college,standard,none,48,63,68
female,group D,some college,standard,none,88,90,92
female,group C,associate's degree,standard,completed,64,77,78
female,group E,associate's degree,standard,completed,95,100,96
female,group B,some high school,free/reduced,none,47,60,52
male,group D,some college,standard,none,68,54,70
