Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,19.0,5.0,3.0,4.0,5.0,1.0,3.0,5.0,4.0,0.0,0.0,15.755057405,56.0,30.74,2.812999075,6.0,12.0,92.91324142,0.0
0.0,19.0,1.0,5.0,1.0,4.0,4.0,4.0,5.0,2.0,0.0,0.0,54.398555157,20.0,10.67,0.447737196,7.0,12.0,55.77174612,0.0
0.0,19.0,2.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0,0.0,0.0,3.337466133,35.0,27.48,1.242453778,11.0,1.0,61.24943836,1.0
0.0,22.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,11.0,19.86,0.959042692,11.0,2.0,97.61593235,0.0
0.0,22.0,1.0,1.0,4.0,5.0,4.0,3.0,5.0,5.0,0.0,1.0,81.674847584,15.0,17.13,0.86390546,12.0,11.0,97.55378718,0.0
0.0,20.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,5.0,1.0,0.0,48.906127945,35.0,30.27,0.339414298,8.0,1.0,75.35301146,0.0
0.0,19.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,23.952212129,52.0,25.59,0.121696102,1.0,5.0,99.42694724,0.0
0.0,19.0,2.0,4.0,2.0,0.0,3.0,4.0,3.0,5.0,0.0,0.0,3.25952334,68.0,15.17,0.002513228,4.0,6.0,44.40998958,0.0
0.0,20.0,4.0,2.0,4.0,5.0,1.0,4.0,5.0,3.0,0.0,1.0,260.3132079,53.0,18.7,0.178358799,10.0,3.0,82.54484799,1.0
0.0,27.0,1.0,3.0,3.0,4.0,2.0,4.0,0.0,5.0,0.0,1.0,91.418728263,81.0,12.97,0.085435667,3.0,5.0,78.40610767,0.0
1.0,19.0,1.0,5.0,2.0,4.0,4.0,4.0,3.0,5.0,0.0,1.0,3.260213986,88.0,16.7,0.587296736,3.0,1.0,30.62243413,0.0
1.0,20.0,4.0,4.0,3.0,1.0,5.0,3.0,3.0,5.0,0.0,0.0,3.262192271,50.0,25.92,0.002513228,2.0,12.0,100.0,1.0
0.0,20.0,1.0,3.0,1.0,4.0,1.0,4.0,5.0,3.0,0.0,1.0,3.259523336,25.0,4.94,0.150048428,8.0,12.0,90.09269553,0.0
1.0,19.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,5.0,0.0,1.0,4.767589079,26.0,175.44,1.812749099,5.0,11.0,39.37338096,0.0
0.0,22.0,4.0,5.0,1.0,0.0,0.0,4.0,3.0,5.0,0.0,1.0,66.138362917,49.0,16.34,0.621604477,8.0,1.0,94.71616482,0.0
1.0,21.0,5.0,4.0,1.0,5.0,3.0,4.0,3.0,0.0,0.0,1.0,3.259532318,44.0,5.7,0.002513228,13.0,12.0,98.01244831,0.0
0.0,25.0,2.0,4.0,3.0,5.0,4.0,0.0,5.0,4.0,0.0,0.0,72.14777728,31.0,49.53,3.335335067,6.0,4.0,99.99985179,1.0
0.0,19.0,5.0,1.0,3.0,2.0,3.0,4.0,1.0,5.0,0.0,1.0,22.846829098,19.0,9.22,2.109778102,5.0,1.0,30.48750071,0.0
0.0,21.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,1.0,0.0,3.259586281,18.0,5.09,0.139389563,12.0,12.0,61.43373766,0.0
