Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,32.0,5.0,3.0,1.0,5.0,1.0,1.0,5.0,4.0,0.0,0.0,95.612680081,105.0,0.03,5.503630008,5.0,1.0,100.0,0.0
0.0,23.0,2.0,5.0,1.0,4.0,1.0,1.0,5.0,2.0,0.0,0.0,144.827597322,105.0,8.61,5.503630008,5.0,0.0,28.9042158,0.0
0.0,26.0,4.0,2.0,2.0,4.0,3.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,6.34,2.127559053,10.0,0.0,69.79290833,0.0
0.0,19.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,53.761959771,86.0,0.03,1.483436905,13.0,1.0,77.06551201,0.0
0.0,22.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,5.0,0.0,1.0,121.57710794,20.0,0.03,2.557188436,13.0,0.0,94.18692637,0.0
0.0,22.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,5.0,0.0,1.0,50.410058171,34.0,0.03,1.356838181,13.0,0.0,100.0,0.0
0.0,21.0,2.0,1.0,3.0,4.0,3.0,1.0,5.0,4.0,0.0,1.0,26.77926186,93.0,1.22,2.098926967,13.0,0.0,80.00311655,0.0
0.0,24.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,0.0,0.0,151.329746809,32.0,5.67,5.503630008,13.0,0.0,100.0,0.0
0.0,22.0,4.0,2.0,4.0,5.0,1.0,1.0,5.0,5.0,0.0,0.0,38.578808611,63.0,1.87,0.616853296,13.0,0.0,100.0,1.0
0.0,22.0,1.0,3.0,3.0,4.0,2.0,4.0,0.0,5.0,0.0,1.0,38.929267513,94.0,0.03,2.43777688,6.0,2.0,100.0,0.0
1.0,26.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0,5.0,0.0,1.0,0.0,93.0,0.03,0.777824685,4.0,2.0,100.0,0.0
