Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
1.0,24.0,3.0,4.0,3.0,2.0,5.0,4.0,1.0,1.0,0.0,1.0,154.16297239456716,203.0,131.98422539221536,2.08210046454034,8.0,3.0,33.33,1.0
0.0,21.0,3.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,192.084522633566,77.0,101.5385920756594,1.3812131051096685,10.0,4.0,91.66666667,0.0
0.0,37.0,3.0,5.0,3.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,148.64628121288257,46.0,86.94579545691792,1.581766785559593,9.0,2.0,100.0,1.0
1.0,23.0,3.0,5.0,5.0,1.0,1.0,3.0,5.0,4.0,0.0,0.0,146.54223683739025,194.0,109.96118328063069,1.195132393724687,13.0,4.0,75.0,0.0
1.0,24.0,5.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,123.79552169688206,332.0,49.851606987137274,0.015082315377818949,11.0,7.0,66.66666667,1.0
1.0,24.0,2.0,5.0,3.0,3.0,5.0,1.0,1.0,5.0,1.0,1.0,174.47407035039686,160.0,131.82164423758488,3.105386011395053,10.0,4.0,0.0,1.0
0.0,21.0,5.0,1.0,1.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,127.34259980795677,268.0,66.99276670987845,5.01956760079409,5.0,0.0,100.0,0.0
1.0,32.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,238.229702546125,295.0,136.9053910929134,0.8147886962418515,12.0,8.0,0.0,1.0
0.0,23.0,3.0,2.0,5.0,0.0,5.0,4.0,0.0,5.0,1.0,0.0,253.50077160553846,278.0,22.62239533071063,0.09939492533989402,13.0,4.0,100.0,0.0
0.0,20.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,4.0,1.0,0.0,111.71838566608919,42.0,161.33010212446587,2.557198280400398,13.0,4.0,100.0,0.0
