"Gender","Age","POLAR4 Quintile","POLAR3 Quintile","Adult HE 2001 Quintile","Adult HE 2011 Quintile","TUNDRA MSOA Quintile","TUNDRA LSOA Quintile","Gaps GCSE Quintile ","Gaps GCSE Ethnicity Quintile","Uni Connect target ward","attending from home?","distance to university (km)","Count of Module Area Logins","Total Hours in Module Area","% of Average Hours in Module Area","# of presence","# of Absence","Percent Attended","label (fail=1, pass=0)"
0,24,5,5,4,4,4,4,5,4,0,0,17.32749755,31,9.29,0.552910053,11,1,100,0
0,21,4,4,4,5,5,5,5,5,0,1,17.70657284,23,6.28,0.342075404,5,12,0,1
0,21,5,4,3,5,3,3,5,5,0,0,33.89493679,34,18.57,0.90643739,9,2,75,0
0,22,5,5,4,4,4,4,4,5,0,1,12.74442906,65,28.1,0.710540468,12,0,100,0
0,20,3,2,2,3,2,2,1,0,1,0,0,76,175.44,3.128130511,12,0,100,0
0,23,2,1,1,2,1,1,3,3,0,1,79.88045752,37,4.47,0.01340388,9,0,91.66666667,1
0,20,3,2,2,3,2,2,3,4,0,0,0,29,25.93,0.789907681,6,6,41.66666667,0
0,23,2,2,1,2,1,1,2,0,1,1,60.79114499,30,8.37,0.71116895,4,7,33.33333333,0
0,19,4,3,4,4,4,4,5,5,0,1,17.70657284,31,10.29,0.754445872,11,0,100,0
0,22,4,3,3,4,4,4,3,4,0,0,0,66,18.46,1.094929453,13,0,100,0
0,22,5,5,4,4,3,3,5,5,0,0,0,335,24.99,0.703638971,12,0,100,0
0,22,4,3,3,4,4,4,4,5,0,0,0,66,13.51,1.076499118,12,0,100,0
0,21,4,3,3,5,3,3,4,5,0,1,101.4196272,30,9.27,0.256658726,0,7,50,1
0,20,4,4,4,5,5,5,4,5,0,1,15.71160919,38,22.65,0.958680649,10,1,91.66666667,0
0,20,1,1,1,2,1,1,3,4,0,1,12.74442906,38,12.85,1.094929453,10,2,83.33333333,0
0,20,4,3,4,4,5,5,4,5,0,1,15.84412643,25,13.7,1.42157238,11,0,88.89,0
0,20,1,1,1,2,1,1,4,5,0,1,15.71160919,65,19.96,1.253923295,9,2,75,0
0,20,5,3,3,4,3,3,4,5,0,1,153.1291962,30,10.82,1.520502646,4,8,50,0
1,44,5,4,3,4,3,3,5,5,0,0,0,82,24.99,0.958680649,12,0,100,0
0,21,3,4,3,4,4,4,4,5,0,0,0,48,25.93,1.078202026,12,0,100,0
0,24,2,3,3,3,2,2,0,3,0,0,0,66,34.37,0.789907681,12,0,100,0
0,21,4,4,4,5,5,5,4,4,0,1,23.58863612,38,6.14,0.71116895,10,0,91.66666667,0
0,23,5,4,4,4,4,4,5,5,0,1,15.15672055,42,13.7,1.413271605,8,4,66.66666667,0
0,23,2,1,1,0,1,1,3,5,0,1,25.20825881,76,30.56,2.172266314,4,3,66.66666667,0
0,20,3,4,3,3,0,0,1,0,0,0,0,335,70.38,3.456525573,12,0,100,0
0,20,4,4,3,4,3,3,5,5,0,1,3.259523336,59,22.32,0.881509366,12,0,100,0
1,20,1,2,1,3,1,1,1,3,0,1,60.79114499,18,12.51,0.862037037,6,7,0,0
1,37,5,5,4,4,3,3,5,5,0,0,0,30,22.43,0.881509366,0,6,33.33333333,0
0,20,4,3,3,4,3,3,4,5,0,1,101.4196272,35,18.15,0.90643739,10,2,75,0
0,20,5,5,4,4,4,4,4,5,0,1,43.19664358,38,18.15,0.90643739,10,0,100,0
0,21,3,3,3,4,3,3,3,4,0,0,0,76,29.67,0.881509366,12,0,100,0
1,20,1,2,1,2,1,1,1,3,0,1,56.55174503,74,21.44,1.711507937,9,1,91.66666667,0
0,20,4,4,3,4,3,3,5,5,0,1,3.259523336,39,13.7,1.42157238,10,3,83.33333333,0
0,20,4,4,3,4,2,2,3,5,0,1,12.74442906,32,13.26,0.57596128,9,3,83.33333333,0
1,37,1,2,1,3,1,1,2,3,0,1,43.36628919,74,22.32,1.86984127,9,0,91.66666667,0
0,22,1,1,1,2,1,1,4,5,0,1,17.32749755,34,4.47,0.776587302,9,0,88.89,0
1,44,1,1,1,2,1,1,3,4,0,1,23.58863612,34,8.37,0.514373898,6,6,41.66666667,0
0,21,4,4,3,5,3,3,5,5,0,1,3.259523336,81,29.67,0.958680649,9,2,75,0
0,20,1,1,2,0,3,3,3,4,0,0,0,76,70.38,1.127453617,8,1,91.66666667,0
0,32,2,3,2,4,3,3,4,5,0,0,0,76,175.44,5.503630008,12,0,100,0
0,20,3,4,3,4,3,3,5,5,0,1,3.259523336,81,41.26,2.207851573,9,3,75,0
0,24,2,3,2,3,1,1,3,4,0,0,0,335,41.26,3.128130511,12,0,100,0
0,20,4,4,3,4,3,3,5,5,0,1,3.259523336,39,14.32,1.253923295,11,1,91.66666667,0
0,20,3,4,2,3,3,3,4,5,0,1,14.20329549,25,13.26,1.413271605,0,6,41.66666667,0
1,20,1,1,1,2,1,1,1,2,0,1,43.36628919,73,20.43,1.497358953,12,0,100,0
0,21,5,4,3,4,3,3,5,5,0,0,83.67401388,37,18.57,0.90643739,10,2,83.33333333,0
0,21,4,3,4,5,4,4,3,4,0,1,14.20329549,38,12.85,1.672134039,9,1,91.66666667,0
0,22,5,4,3,4,2,2,3,4,0,1,17.32749755,14,6.28,0.71116895,0,6,33.33333333,1
0,32,2,1,2,2,2,2,2,2,1,0,0,82,175.44,5.503630008,12,0,100,0
0,23,3,3,3,4,3,3,4,5,0,0,0,66,28.1,0.930760957,12,0,100,0
0,20,5,5,5,4,3,3,5,5,0,0,56.93876554,55,18.36,0.957666692,12,0,100,0
0,24,4,5,4,4,4,4,4,5,0,1,12.74442906,46,14.32,1.094929453,12,0,100,0
0,20,2,2,1,2,1,1,3,4,0,1,15.84412643,23,6.28,0.721296296,11,1,88.89,1
0,22,4,4,3,4,3,3,5,5,0,1,3.259523336,59,19.96,0.57596128,9,3,83.33333333,1
0,25,2,1,1,1,1,1,1,2,0,1,60.79114499,37,18.15,1.280908289,10,2,83.33333333,0
0,21,3,3,2,3,3,3,4,5,0,1,101.4196272,46,18.15,1.306040564,10,3,75,0
