Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,20.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,12.56342077,41.0,17.61,0.918993465,10.0,0.0,94.17213943,0.0
0.0,22.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,5.929138453,54.0,19.75,1.598106562,8.0,2.0,93.35991202,0.0
0.0,20.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,7.978011434,41.0,4.94,1.193394361,11.0,0.0,92.86697194,0.0
0.0,21.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,8.16491692,21.0,14.92,0.727772394,11.0,4.0,93.05067136,0.0
0.0,20.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,0.0,6.738032139,23.0,15.04,1.226138499,9.0,3.0,46.77065257,0.0
0.0,22.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,66.305941249,47.0,8.14,1.925339597,9.0,1.0,81.10799795,0.0
0.0,21.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,5.135069981,22.0,19.35,1.089928304,10.0,1.0,86.18294879,0.0
0.0,22.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,0.0,0.0,7.817226417,44.0,28.26,1.583932862,9.0,0.0,100.0,0.0
0.0,22.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,47.234455129,64.0,24.66,1.972224013,11.0,1.0,100.0,0.0
0.0,22.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,0.0,52.0,14.77,1.458056767,11.0,0.0,89.52552578,0.0
0.0,21.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,15.198595658,67.0,16.98,1.887625678,12.0,1.0,100.0,0.0
0.0,25.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,0.0,0.0,11.621720058,23.0,25.97,1.234873595,5.0,5.0,77.83191057,0.0
0.0,21.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,16.893015065,35.0,14.73,1.240371641,12.0,0.0,99.86532663,0.0
0.0,21.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,8.812557911,45.0,18.83,1.243611267,12.0,0.0,100.0,0.0
0.0,22.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,5.0,0.0,0.0,17.028663357,36.0,16.92,0.880541843,9.0,0.0,97.15432968,0.0
0.0,22.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,22.212608329,51.0,20.45,1.038846166,13.0,0.0,98.94071504,0.0
0.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,17.397923662,44.0,26.72,1.095199593,8.0,0.0,93.84541909,0.0
0.0,20.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,0.0,1.0,42.991384747,71.0,23.16,1.766996981,9.0,0.0,84.26834913,0.0
0.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,52.7672066,27.0,17.57,1.157371391,11.0,1.0,84.01671702,0.0
0.0,20.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,10.244914017,51.0,22.32,0.790120842,10.0,4.0,24.9249323,0.0
0.0,22.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,0.0,0.0,1.475825643,59.0,18.63,1.251656914,10.0,5.0,86.32790177,0.0
0.0,22.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,11.723798894,39.0,13.18,0.476475788,9.0,0.0,87.47742278,0.0
0.0,23.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,0.0,1.0,13.959848132,69.0,18.82,1.642492968,12.0,0.0,100.0,0.0
0.0,22.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,9.364489357,63.0,29.9,1.380126697,9.0,1.0,84.71327195,0.0
0.0,19.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,12.076762953,61.0,18.66,1.332193718,10.0,0.0,97.0725038,0.0
0.0,22.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,2.918985204,21.0,17.13,0.599488283,11.0,4.0,79.39592316,0.0
0.0,22.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,15.228299358,61.0,16.13,1.863151304,11.0,0.0,85.31600904,0.0
0.0,22.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,51.0,21.31,1.365084885,11.0,3.0,93.32808914,0.0
0.0,22.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,58.0,21.12,0.283756419,12.0,0.0,96.77367854,0.0
0.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,0.0,55.0,28.16,5.503630008,10.0,0.0,88.46062994,0.0
0.0,23.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,3.125849648,69.0,34.8,1.666533787,13.0,0.0,100.0,0.0
0.0,21.0,4.0,3.0,1.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,24.450554429,9.0,19.85,1.675236884,3.0,6.0,40.6325209,0.0
0.0,20.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,21.570006192,30.0,16.32,0.298646033,11.0,0.0,100.0,0.0
0.0,20.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,9.579871165,59.0,17.86,0.561937808,9.0,4.0,92.23442999,0.0
0.0,19.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,50.852625742,55.0,3.18,1.543164417,10.0,1.0,85.6534179,0.0
0.0,22.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,66.493661193,58.0,21.08,0.55976245,9.0,0.0,99.10246113,0.0
0.0,22.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,0.0,1.0,0.139370644,53.0,17.05,0.760343029,12.0,0.0,100.0,0.0
0.0,20.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,34.960221422,24.0,18.5,0.384848833,9.0,2.0,90.65591215,0.0
0.0,20.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,87.624228627,35.0,27.03,1.877954296,9.0,2.0,81.69816137,0.0
