code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
FFF,2014B,2399681,F,North Western Region,A Level or Equivalent,80-90pct,35 to 55,0,40,N,Withdrawn
BBB,2013J,661879,F,Scotland,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Pass
EEE,2014J,587198,M,Scotland,A Level or Equivalent,70-80pct,0 to 35,0,60,N,Pass
EEE,2013J,552811,M,Scotland,A Level or Equivalent,30-40pct,0 to 35,0,60,N,Fail
EEE,2014J,696639,M,West Midlands Region,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Pass
BBB,2014J,472294,F,North Western Region,Lower Than A Level,40-50pct,35 to 55,0,91,N,Pass
BBB,2013J,543484,F,Scotland,A Level or Equivalent,50-60pct,0 to 35,0,91,Y,Pass
BBB,2014J,650032,F,Ireland,Lower Than A Level,90-100pct,0 to 35,0,60,N,Pass
GGG,2014J,727436,M,North Western Region,Lower Than A Level,0-10pct,0 to 35,0,40,N,Fail
BBB,2014J,2467375,F,North Western Region,A Level or Equivalent,0-10pct,0 to 35,0,119,N,Fail
EEE,2014B,798982,M,Scotland,A Level or Equivalent,70-80pct,55 to 100,0,40,N,Withdrawn
BBB,2013J,622786,F,West Midlands Region,Lower Than A Level,30-40pct,0 to 35,0,120,Y,Fail
FFF,2014J,595120,M,South Region,HE Qualification,30-40pct,35 to 55,0,60,N,Pass
DDD,2013B,2042420,F,West Midlands Region,A Level or Equivalent,30-40pct,35 to 55,2,184,N,Withdrawn
EEE,2014B,622181,M,East Midlands Region,Lower Than A Level,70-80pct,0 to 35,0,60,N,Pass
CCC,2014J,464291,M,Scotland,Post Graduate Qualification,20-30pct,35 to 55,0,60,N,Pass
FFF,2013J,2264950,M,Ireland,A Level or Equivalent,20-30pct,35 to 55,1,121,N,Pass
CCC,2014J,585268,M,London Region,HE Qualification,30-40pct,35 to 55,0,90,N,Withdrawn
FFF,2014J,72077,M,Yorkshire Region,A Level or Equivalent,20-30pct,35 to 55,1,60,N,Pass
BBB,2013J,519236,F,Wales,Lower Than A Level,80-90pct,0 to 35,0,60,N,Pass
EEE,2014B,619898,M,London Region,HE Qualification,30-40pct,0 to 35,0,40,N,Withdrawn
DDD,2013J,503428,M,North Western Region,A Level or Equivalent,40-50pct,0 to 35,0,91,N,Withdrawn
CCC,2014J,2548354,F,Scotland,Lower Than A Level,80-90pct,35 to 55,0,120,N,Pass
EEE,2014B,607502,M,East Midlands Region,A Level or Equivalent,30-40pct,55 to 100,0,60,N,Pass
DDD,2014J,2352520,M,East Anglian Region,Lower Than A Level,60-70pct,35 to 55,2,120,N,Withdrawn
FFF,2014J,575137,M,Ireland,Lower Than A Level,20-30pct,0 to 35,0,60,N,Pass
FFF,2013J,1664674,F,North Western Region,A Level or Equivalent,10-20,35 to 55,1,91,N,Withdrawn
FFF,2013J,2661689,M,London Region,A Level or Equivalent,30-40pct,35 to 55,0,150,N,Withdrawn
BBB,2013J,506425,F,Ireland,Lower Than A Level,80-90pct,0 to 35,0,60,N,Pass
BBB,2014B,608131,F,West Midlands Region,Lower Than A Level,0-10pct,0 to 35,0,121,N,Withdrawn
FFF,2014J,605541,M,South Region,A Level or Equivalent,30-40pct,35 to 55,0,60,N,Withdrawn
BBB,2014B,2288863,F,East Midlands Region,A Level or Equivalent,80-90pct,0 to 35,4,121,Y,Pass
AAA,2013B,587227,M,East Anglian Region,A Level or Equivalent,60-70pct,0 to 35,0,60,N,Distinction
EEE,2013J,546081,M,Scotland,HE Qualification,80-90pct,0 to 35,0,60,N,Pass
BBB,2013J,541655,F,North Western Region,Lower Than A Level,60-70pct,0 to 35,0,120,N,Withdrawn
EEE,2014J,548532,M,South Region,A Level or Equivalent,30-40pct,0 to 35,1,40,Y,Fail
CCC,2014B,543756,M,London Region,HE Qualification,30-40pct,35 to 55,0,153,N,Withdrawn
FFF,2014J,589184,M,East Anglian Region,A Level or Equivalent,70-80pct,35 to 55,3,149,N,Distinction
DDD,2013J,525978,M,Scotland,A Level or Equivalent,50-60pct,35 to 55,0,60,N,Withdrawn
AAA,2013B,340841,F,South West Region,A Level or Equivalent,20-30pct,35 to 55,1,60,N,Pass
BBB,2013J,523963,F,South West Region,A Level or Equivalent,30-40pct,35 to 55,0,60,N,Withdrawn
CCC,2014J,2271095,M,Scotland,HE Qualification,30-40pct,35 to 55,0,60,N,Withdrawn
GGG,2014J,486477,F,West Midlands Region,A Level or Equivalent,0-10pct,0 to 35,0,60,N,Withdrawn
FFF,2014B,380445,M,West Midlands Region,A Level or Equivalent,0-10pct,0 to 35,2,120,N,Withdrawn
GGG,2013J,564457,F,East Midlands Region,Lower Than A Level,0-10pct,0 to 35,0,40,N,Fail
EEE,2013J,686646,M,Wales,Lower Than A Level,80-90pct,35 to 55,0,60,N,Withdrawn
CCC,2014J,366983,M,London Region,A Level or Equivalent,30-40pct,0 to 35,0,60,N,Withdrawn
EEE,2014J,685858,M,North Region,Post Graduate Qualification,20-30pct,35 to 55,0,40,N,Pass
FFF,2014J,2393229,M,South Region,HE Qualification,80-90pct,35 to 55,2,60,N,Fail
DDD,2013B,592450,F,Wales,Lower Than A Level,50-60pct,0 to 35,1,40,N,Fail
BBB,2013B,584462,F,Wales,Lower Than A Level,70-80pct,35 to 55,0,60,N,Withdrawn
BBB,2013J,2344681,F,Wales,A Level or Equivalent,20-30pct,35 to 55,1,120,N,Pass
FFF,2014J,560138,M,East Midlands Region,A Level or Equivalent,40-50pct,0 to 35,0,60,N,Withdrawn
AAA,2013J,324937,F,Ireland,A Level or Equivalent,80-90pct,35 to 55,0,60,N,Pass
FFF,2014J,596085,M,Yorkshire Region,HE Qualification,30-40pct,55 to 100,0,60,N,Pass
GGG,2014B,2481570,F,Wales,Lower Than A Level,0-10pct,0 to 35,0,60,N,Fail
BBB,2013B,433972,F,South Region,A Level or Equivalent,50-60pct,35 to 55,1,60,Y,Withdrawn
FFF,2013J,2259876,M,Wales,Lower Than A Level,40-50pct,0 to 35,0,91,Y,Fail
FFF,2014B,536055,M,London Region,A Level or Equivalent,10-20,0 to 35,0,60,N,Pass
AAA,2013J,529682,F,West Midlands Region,A Level or Equivalent,70-80pct,0 to 35,0,60,N,Pass
GGG,2014J,596266,F,South West Region,A Level or Equivalent,30-40pct,0 to 35,0,40,N,Fail
DDD,2013B,428775,M,London Region,Lower Than A Level,10-20,0 to 35,1,183,N,Withdrawn
FFF,2014J,2544454,M,West Midlands Region,A Level or Equivalent,0-10pct,0 to 35,0,60,N,Withdrawn
CCC,2014J,607363,M,South West Region,Lower Than A Level,40-50pct,0 to 35,0,60,N,Withdrawn
FFF,2014J,661470,F,Scotland,A Level or Equivalent,20-30pct,0 to 35,0,60,N,Withdrawn
BBB,2014J,598375,F,Wales,A Level or Equivalent,20-30pct,0 to 35,0,60,N,Fail
DDD,2013J,476297,F,South Region,A Level or Equivalent,40-50pct,0 to 35,0,60,N,Fail
CCC,2014J,591444,M,South West Region,Lower Than A Level,30-40pct,0 to 35,0,60,N,Withdrawn
CCC,2014B,2605848,M,North Western Region,A Level or Equivalent,90-100pct,0 to 35,0,119,N,Withdrawn
EEE,2013J,2716795,M,Wales,A Level or Equivalent,30-40pct,0 to 35,0,120,N,Withdrawn
FFF,2013B,420402,M,South Region,HE Qualification,90-100pct,0 to 35,1,120,N,Withdrawn
BBB,2014J,584238,F,London Region,A Level or Equivalent,10-20,0 to 35,0,60,N,Pass
BBB,2013J,565564,M,North Region,Lower Than A Level,0-10pct,0 to 35,0,60,N,Withdrawn
BBB,2013B,213238,F,Scotland,Lower Than A Level,20-30pct,0 to 35,1,121,Y,Fail
GGG,2013J,569477,F,Ireland,A Level or Equivalent,80-90pct,35 to 55,0,40,N,Distinction
FFF,2014J,589598,F,South Region,A Level or Equivalent,90-100pct,0 to 35,0,60,N,Withdrawn
EEE,2014J,682599,M,Scotland,No Formal quals,30-40pct,0 to 35,0,60,N,Withdrawn
BBB,2014J,300802,F,East Anglian Region,A Level or Equivalent,80-90pct,0 to 35,2,120,N,Pass
FFF,2014B,620549,M,East Anglian Region,A Level or Equivalent,90-100pct,35 to 55,0,60,N,Pass
EEE,2013J,549482,M,North Region,Lower Than A Level,70-80pct,0 to 35,0,60,N,Withdrawn
EEE,2014J,560107,F,London Region,A Level or Equivalent,10-20,0 to 35,0,60,N,Withdrawn
GGG,2014J,616754,F,Wales,Lower Than A Level,0-10pct,0 to 35,0,40,N,Fail
GGG,2013J,619346,M,Wales,Lower Than A Level,70-80pct,0 to 35,0,60,N,Withdrawn
CCC,2014J,564075,M,Scotland,A Level or Equivalent,30-40pct,0 to 35,0,60,N,Withdrawn
FFF,2014J,390896,M,Scotland,A Level or Equivalent,20-30pct,0 to 35,1,90,Y,Withdrawn
AAA,2014J,573777,F,South Region,A Level or Equivalent,90-100pct,35 to 55,0,60,N,Pass
GGG,2014J,711918,F,South East Region,A Level or Equivalent,0-10pct,0 to 35,0,40,N,Distinction
FFF,2014J,470511,M,East Midlands Region,Lower Than A Level,10-20,0 to 35,1,60,N,Fail
AAA,2014J,395556,F,Scotland,HE Qualification,80-90pct,35 to 55,0,60,N,Pass
FFF,2013J,513434,M,Scotland,A Level or Equivalent,30-40pct,0 to 35,0,91,N,Pass
GGG,2014J,685505,F,West Midlands Region,A Level or Equivalent,80-90pct,0 to 35,0,40,N,Withdrawn
FFF,2014J,558829,M,East Midlands Region,Lower Than A Level,20-30pct,0 to 35,0,60,N,Fail
GGG,2014B,625050,F,South West Region,Lower Than A Level,30-40pct,0 to 35,0,40,N,Fail
FFF,2013J,541325,M,South Region,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Fail
BBB,2014B,586039,F,Wales,A Level or Equivalent,80-90pct,0 to 35,0,120,N,Withdrawn
EEE,2014J,598164,M,Scotland,A Level or Equivalent,30-40pct,0 to 35,0,60,N,Withdrawn
BBB,2014J,609758,F,Wales,Lower Than A Level,80-90pct,0 to 35,0,121,N,Pass
FFF,2014J,575576,M,London Region,A Level or Equivalent,30-40pct,0 to 35,0,121,N,Withdrawn
BBB,2013J,2398254,F,Scotland,A Level or Equivalent,50-60pct,35 to 55,0,121,N,Pass
BBB,2013B,456040,F,Ireland,Lower Than A Level,0-10pct,35 to 55,4,60,N,Pass
