code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
FFF,2014B,591705,M,North Western Region,A Level or Equivalent,10-20,0 to 35,0,60,N,Fail
GGG,2014J,532455,F,East Anglian Region,Lower Than A Level,70-80pct,0 to 35,0,30,N,Pass
CCC,2014J,63416,M,South West Region,A Level or Equivalent,70-80pct,35 to 55,0,60,N,Fail
EEE,2013J,474512,M,Scotland,A Level or Equivalent,10-20,0 to 35,0,60,N,Pass
EEE,2014B,168256,M,East Anglian Region,Lower Than A Level,80-90pct,0 to 35,0,60,N,Pass
BBB,2014J,260699,F,South East Region,Lower Than A Level,50-60pct,35 to 55,1,120,N,Distinction
CCC,2014J,599159,F,Scotland,Lower Than A Level,30-40pct,35 to 55,0,60,Y,Fail
FFF,2013J,332422,M,South Region,Lower Than A Level,90-100pct,0 to 35,0,120,N,Pass
DDD,2014J,466955,M,Wales,Lower Than A Level,30-40pct,0 to 35,0,60,N,Fail
FFF,2013J,61579,F,Yorkshire Region,Lower Than A Level,0-10pct,0 to 35,0,60,N,Withdrawn
AAA,2014J,268828,F,London Region,HE Qualification,10-20,55 to 100,0,60,N,Pass
GGG,2013J,630596,F,East Anglian Region,A Level or Equivalent,20-30pct,0 to 35,2,30,Y,Fail
FFF,2013J,449404,M,South Region,A Level or Equivalent,90-100pct,0 to 35,0,60,N,Pass
EEE,2013J,572792,M,South East Region,Lower Than A Level,10-20,0 to 35,2,60,N,Fail
FFF,2013J,549816,M,West Midlands Region,A Level or Equivalent,10-20,0 to 35,0,60,N,Fail
DDD,2013J,217477,M,North Region,Post Graduate Qualification,70-80pct,35 to 55,0,60,N,Fail
BBB,2013B,490614,F,Ireland,A Level or Equivalent,10-20,35 to 55,0,60,N,Pass
CCC,2014J,424909,F,South West Region,Lower Than A Level,30-40pct,35 to 55,1,181,N,Withdrawn
BBB,2013B,1795083,M,North Western Region,Lower Than A Level,40-50pct,35 to 55,0,60,N,Fail
FFF,2013J,536738,M,Scotland,A Level or Equivalent,30-40pct,0 to 35,0,60,N,Pass
CCC,2014J,2211093,M,North Western Region,Lower Than A Level,50-60pct,0 to 35,0,90,N,Withdrawn
BBB,2013J,362991,M,East Midlands Region,A Level or Equivalent,10-20,35 to 55,0,60,N,Pass
BBB,2014J,631844,M,South West Region,Lower Than A Level,10-20,0 to 35,0,120,N,Withdrawn
CCC,2014J,503820,M,North Region,Lower Than A Level,20-30pct,0 to 35,0,60,N,Withdrawn
BBB,2013J,390838,F,East Anglian Region,Lower Than A Level,40-50pct,0 to 35,0,120,N,Distinction
CCC,2014J,423183,F,Scotland,A Level or Equivalent,10-20,0 to 35,0,30,N,Pass
EEE,2013J,588686,M,South Region,HE Qualification,10-20,35 to 55,0,60,N,Fail
DDD,2013J,392044,F,Scotland,Lower Than A Level,0-10pct,0 to 35,0,90,N,Pass
AAA,2013J,592789,M,East Anglian Region,Lower Than A Level,80-90pct,0 to 35,0,60,N,Pass
FFF,2014B,541792,M,West Midlands Region,A Level or Equivalent,0-10pct,0 to 35,0,60,N,Pass
AAA,2013J,596241,M,South West Region,A Level or Equivalent,50-60pct,35 to 55,0,90,N,Pass
FFF,2013B,141839,M,North Region,Lower Than A Level,10-20,35 to 55,4,60,Y,Fail
FFF,2013B,275005,M,Yorkshire Region,Lower Than A Level,70-80pct,0 to 35,0,120,N,Fail
BBB,2014J,622175,F,Scotland,HE Qualification,30-40pct,0 to 35,0,60,N,Pass
BBB,2013J,606560,M,North Western Region,Lower Than A Level,60-70pct,35 to 55,0,60,N,Distinction
GGG,2013J,437515,F,North Western Region,A Level or Equivalent,50-60pct,35 to 55,0,30,Y,Fail
BBB,2014J,653544,M,East Anglian Region,Lower Than A Level,70-80pct,0 to 35,0,60,N,Withdrawn
DDD,2014J,509530,M,Scotland,Lower Than A Level,20-30pct,0 to 35,0,60,N,Fail
