code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
DDD,2013J,554991,M,London Region,A Level or Equivalent,10-20,0 to 35,0,90,N,Withdrawn
GGG,2014J,347445,F,North Western Region,Lower Than A Level,0-10pct,0 to 35,0,30,N,Withdrawn
FFF,2013B,600936,M,South Region,Lower Than A Level,70-80pct,0 to 35,0,60,N,Withdrawn
EEE,2013J,597133,M,Wales,HE Qualification,60-70pct,35 to 55,0,60,N,Distinction
FFF,2013B,106192,M,Yorkshire Region,Lower Than A Level,0-10pct,0 to 35,0,60,N,Pass
BBB,2014J,404343,F,North Region,Lower Than A Level,20-30pct,0 to 35,3,120,N,Pass
BBB,2014B,638592,F,Scotland,Lower Than A Level,30-40pct,0 to 35,0,60,Y,Pass
BBB,2013B,322520,F,Yorkshire Region,Lower Than A Level,30-40pct,0 to 35,0,60,N,Pass
FFF,2014J,699273,M,London Region,Lower Than A Level,10-20,35 to 55,0,60,N,Fail
BBB,2014J,615916,F,North Western Region,Lower Than A Level,0-10pct,0 to 35,0,60,N,Withdrawn
DDD,2014B,325788,M,London Region,HE Qualification,20-30pct,55 to 100,0,60,N,Fail
BBB,2013B,546594,F,London Region,Lower Than A Level,20-30pct,0 to 35,0,60,Y,Fail
FFF,2013J,2204457,M,South Region,A Level or Equivalent,90-100pct,35 to 55,0,120,N,Pass
FFF,2013J,592467,M,East Midlands Region,Lower Than A Level,60-70pct,0 to 35,2,60,N,Fail
DDD,2014B,389736,F,West Midlands Region,A Level or Equivalent,10-20,0 to 35,0,90,N,Distinction
CCC,2014J,543076,M,North Region,Post Graduate Qualification,20-30pct,35 to 55,0,30,N,Pass
BBB,2014B,500176,F,Ireland,Lower Than A Level,20-30pct,0 to 35,0,120,N,Withdrawn
BBB,2014J,530035,F,Wales,Lower Than A Level,40-50pct,0 to 35,0,60,N,Pass
FFF,2013J,1561098,M,Scotland,Lower Than A Level,90-100pct,35 to 55,0,90,N,Fail
EEE,2013J,566899,M,Scotland,A Level or Equivalent,60-70pct,0 to 35,0,60,N,Pass
DDD,2013B,1537840,M,North Western Region,Lower Than A Level,60-70pct,0 to 35,0,60,N,Withdrawn
BBB,2013J,1821096,F,East Anglian Region,Lower Than A Level,0-10pct,35 to 55,0,60,N,Withdrawn
CCC,2014J,653757,M,Scotland,Lower Than A Level,70-80pct,0 to 35,0,60,N,Withdrawn
CCC,2014B,108149,M,London Region,Lower Than A Level,30-40pct,0 to 35,0,120,Y,Withdrawn
BBB,2013J,34013,F,East Anglian Region,HE Qualification,90-100pct,0 to 35,0,60,N,Pass
FFF,2013B,238325,M,East Anglian Region,Lower Than A Level,10-20,35 to 55,0,60,N,Pass
BBB,2014J,504099,M,Wales,Lower Than A Level,10-20,0 to 35,0,60,N,Fail
DDD,2014J,655819,M,East Midlands Region,A Level or Equivalent,40-50pct,35 to 55,0,60,N,Pass
FFF,2014J,557184,M,East Anglian Region,Lower Than A Level,80-90pct,0 to 35,0,60,N,Fail
FFF,2014B,422021,F,West Midlands Region,A Level or Equivalent,10-20,0 to 35,0,60,N,Withdrawn
BBB,2014J,605205,F,Wales,Lower Than A Level,60-70pct,35 to 55,0,120,N,Fail
FFF,2014J,133903,F,East Midlands Region,A Level or Equivalent,60-70pct,35 to 55,4,121,N,Withdrawn
FFF,2013B,541346,M,Yorkshire Region,Lower Than A Level,20-30pct,0 to 35,0,60,N,Fail
CCC,2014B,579054,M,Scotland,HE Qualification,50-60pct,35 to 55,0,60,N,Distinction
BBB,2013J,536807,M,East Midlands Region,Lower Than A Level,60-70pct,0 to 35,1,60,N,Pass
FFF,2014J,475939,M,Scotland,Lower Than A Level,30-40pct,0 to 35,0,60,Y,Pass
CCC,2014J,693532,M,South Region,Lower Than A Level,60-70pct,0 to 35,0,60,N,Withdrawn
EEE,2014J,623663,M,Scotland,A Level or Equivalent,60-70pct,35 to 55,0,60,N,Pass
FFF,2013J,55391,F,East Anglian Region,A Level or Equivalent,50-60pct,0 to 35,0,90,N,Withdrawn
AAA,2013B,430287,M,London Region,A Level or Equivalent,50-60pct,35 to 55,0,60,N,Pass
GGG,2013J,2298331,M,East Anglian Region,Lower Than A Level,50-60pct,35 to 55,0,60,N,Pass
FFF,2014B,575323,M,Scotland,Lower Than A Level,90-100pct,0 to 35,0,60,N,Withdrawn
BBB,2014J,94913,F,Wales,A Level or Equivalent,10-20,35 to 55,0,60,N,Withdrawn
BBB,2013B,651890,F,Scotland,A Level or Equivalent,0-10pct,0 to 35,2,120,N,Fail
DDD,2013J,505702,M,East Midlands Region,Lower Than A Level,60-70pct,0 to 35,0,60,N,Fail
BBB,2013J,2144771,F,London Region,A Level or Equivalent,10-20,0 to 35,0,60,N,Withdrawn
CCC,2014J,449959,M,London Region,Lower Than A Level,40-50pct,0 to 35,0,90,N,Fail
CCC,2014J,568298,M,North Region,Post Graduate Qualification,20-30pct,35 to 55,0,60,N,Distinction
BBB,2013B,258342,F,North Region,HE Qualification,20-30pct,0 to 35,2,120,N,Fail
FFF,2013B,2625728,M,Yorkshire Region,Lower Than A Level,50-60pct,35 to 55,0,150,N,Fail
BBB,2013J,573268,F,Wales,HE Qualification,10-20,0 to 35,0,60,N,Pass
BBB,2013J,105226,F,East Midlands Region,Lower Than A Level,80-90pct,0 to 35,0,120,N,Pass
CCC,2014J,93936,M,South East Region,A Level or Equivalent,80-90pct,0 to 35,0,60,N,Distinction
AAA,2013J,266917,M,South Region,A Level or Equivalent,70-80pct,0 to 35,0,60,N,Pass
CCC,2014J,501100,M,Scotland,HE Qualification,0-10pct,35 to 55,0,90,N,Distinction
GGG,2013J,499245,M,Yorkshire Region,Lower Than A Level,40-50pct,0 to 35,0,30,N,Fail
FFF,2013B,466208,M,London Region,Lower Than A Level,30-40pct,0 to 35,2,228,N,Fail
FFF,2013J,547564,F,North Region,Lower Than A Level,0-10pct,0 to 35,0,60,N,Withdrawn
FFF,2014B,2447620,M,Scotland,A Level or Equivalent,0-10pct,0 to 35,0,60,N,Pass
AAA,2013J,370583,F,East Anglian Region,HE Qualification,60-70pct,35 to 55,0,60,N,Pass
GGG,2014J,401224,M,Scotland,Lower Than A Level,50-60pct,0 to 35,0,30,N,Fail
GGG,2013J,410379,F,London Region,A Level or Equivalent,30-40pct,35 to 55,0,30,N,Fail
FFF,2013J,469732,M,Scotland,Lower Than A Level,30-40pct,0 to 35,0,60,N,Fail
DDD,2013B,428132,M,Scotland,HE Qualification,50-60pct,55 to 100,0,120,N,Distinction
FFF,2014B,597173,M,East Anglian Region,A Level or Equivalent,30-40pct,0 to 35,0,90,N,Pass
DDD,2013B,517405,M,Scotland,Lower Than A Level,60-70pct,0 to 35,0,60,N,Distinction
FFF,2013J,533967,M,South Region,Lower Than A Level,20-30pct,0 to 35,0,60,N,Fail
CCC,2014J,249284,M,Wales,HE Qualification,60-70pct,0 to 35,0,60,N,Pass
BBB,2014B,608583,M,North Region,Lower Than A Level,20-30pct,0 to 35,0,60,N,Distinction
FFF,2014B,116638,M,London Region,Lower Than A Level,30-40pct,0 to 35,0,60,N,Withdrawn
FFF,2013B,585266,M,South Region,Lower Than A Level,90-100pct,0 to 35,0,60,N,Withdrawn
CCC,2014J,560183,F,London Region,A Level or Equivalent,10-20,35 to 55,0,30,N,Pass
BBB,2013J,670154,F,West Midlands Region,Lower Than A Level,60-70pct,0 to 35,0,60,N,Pass
FFF,2013J,600719,M,London Region,A Level or Equivalent,50-60pct,0 to 35,0,60,Y,Distinction
BBB,2014J,645378,M,South Region,Lower Than A Level,60-70pct,35 to 55,0,60,N,Distinction
FFF,2014J,221974,M,South West Region,HE Qualification,70-80pct,35 to 55,0,60,N,Fail
EEE,2013B,382098,M,Scotland,A Level or Equivalent,60-70pct,0 to 35,0,60,N,Fail
FFF,2014J,627698,M,London Region,Lower Than A Level,10-20,0 to 35,2,60,N,Pass
BBB,2014B,550223,M,Wales,Lower Than A Level,90-100pct,35 to 55,0,60,N,Pass
