code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
BBB,2014J,253935.0,F,West Midlands Region,A Level or Equivalent,50-60pct,35 to 55,1,42.0,Y,Fail
AAA,2013J,2141348.0,M,London Region,A Level or Equivalent,60-70pct,0 to 35,1,96.0,N,Distinction
EEE,2013J,2638194.0,F,Scotland,Lower Than A Level,50-60pct,0 to 35,0,56.0,Y,Pass
BBB,2013J,174509.0,F,West Midlands Region,Lower Than A Level,40-50pct,35 to 55,0,305.0,Y,Withdrawn
EEE,2014J,615701.0,M,Scotland,A Level or Equivalent,30-40pct,0 to 35,0,83.0,N,Distinction
EEE,2014B,601276.0,M,Scotland,A Level or Equivalent,60-70pct,0 to 35,0,73.0,N,Withdrawn
BBB,2014J,652670.0,F,Wales,Lower Than A Level,30-40pct,0 to 35,0,32.0,N,Withdrawn
DDD,2013J,180531.0,M,Wales,Lower Than A Level,80-90pct,0 to 35,0,119.0,Y,Withdrawn
CCC,2014B,204038.0,F,South Region,Lower Than A Level,90-100pct,35 to 55,0,108.0,N,Pass
BBB,2014B,354177.0,F,East Midlands Region,A Level or Equivalent,30-40pct,35 to 55,0,139.0,N,Fail
DDD,2013J,533881.0,M,South East Region,Lower Than A Level,70-80pct,0 to 35,0,55.0,N,Pass
DDD,2014B,479155.0,M,East Anglian Region,A Level or Equivalent,40-50pct,0 to 35,5,337.0,N,Distinction
FFF,2013B,584578.0,M,West Midlands Region,A Level or Equivalent,50-60pct,0 to 35,1,105.0,N,Pass
CCC,2014B,513219.0,M,East Anglian Region,No Formal quals,90-100pct,35 to 55,0,64.0,Y,Withdrawn
DDD,2014B,630229.0,M,Scotland,No Formal quals,0-10pct,0 to 35,0,110.0,N,Distinction
BBB,2013B,444674.0,F,West Midlands Region,A Level or Equivalent,0-10pct,0 to 35,0,35.0,N,Pass
GGG,2014B,669755.0,F,Ireland,Post Graduate Qualification,0-10pct,0 to 35,0,47.0,N,Withdrawn
DDD,2014J,679663.0,M,South Region,A Level or Equivalent,80-90pct,0 to 35,0,101.0,N,Withdrawn
CCC,2014B,656254.0,M,Scotland,Lower Than A Level,70-80pct,0 to 35,0,465.0,Y,Fail
FFF,2014J,2567870.0,M,East Anglian Region,Lower Than A Level,80-90pct,0 to 35,2,111.0,N,Withdrawn
DDD,2014J,588418.0,F,North Western Region,Lower Than A Level,90-100pct,0 to 35,0,361.0,Y,Pass
BBB,2013J,645349.0,F,North Western Region,A Level or Equivalent,70-80pct,0 to 35,5,641.0,N,Distinction
DDD,2014J,261316.0,F,South Region,HE Qualification,40-50pct,0 to 35,0,99.0,N,Pass
BBB,2014B,639130.0,F,East Anglian Region,A Level or Equivalent,70-80pct,0 to 35,0,96.0,N,Withdrawn
BBB,2014J,610393.0,F,North Western Region,A Level or Equivalent,10-20,0 to 35,0,116.0,N,Distinction
GGG,2013B,153047.0,F,East Anglian Region,Lower Than A Level,50-60pct,0 to 35,0,351.0,Y,Withdrawn
FFF,2014J,605242.0,M,North Region,No Formal quals,10-20,35 to 55,0,293.0,N,Distinction
FFF,2013B,493561.0,M,Scotland,Lower Than A Level,90-100pct,0 to 35,0,45.0,N,Pass
GGG,2013J,2298035.0,F,East Anglian Region,Lower Than A Level,40-50pct,0 to 35,0,56.0,N,Pass
CCC,2014J,2169653.0,M,East Anglian Region,A Level or Equivalent,30-40pct,35 to 55,2,37.0,N,Pass
FFF,2013B,475400.0,M,North Region,A Level or Equivalent,20-30pct,0 to 35,0,107.0,N,Withdrawn
CCC,2014J,392421.0,M,North Region,Post Graduate Qualification,70-80pct,0 to 35,0,59.0,N,Fail
FFF,2013J,2345172.0,M,North Region,Lower Than A Level,40-50pct,0 to 35,1,49.0,N,Pass
FFF,2014J,655550.0,M,East Anglian Region,Lower Than A Level,50-60pct,55 to 100,0,55.0,N,Fail
FFF,2014J,620778.0,M,South Region,No Formal quals,0-10pct,0 to 35,1,101.0,N,Pass
GGG,2014J,548250.0,F,West Midlands Region,Lower Than A Level,50-60pct,0 to 35,0,149.0,N,Fail
DDD,2013J,643976.0,M,North Western Region,Lower Than A Level,50-60pct,35 to 55,0,36.0,N,Pass
CCC,2014J,600447.0,F,North Western Region,A Level or Equivalent,50-60pct,35 to 55,0,192.0,N,Distinction
DDD,2014J,522585.0,M,North Western Region,Post Graduate Qualification,90-100pct,0 to 35,0,108.0,N,Withdrawn
FFF,2013B,1315248.0,M,Ireland,No Formal quals,60-70pct,55 to 100,3,57.0,Y,Distinction
DDD,2013B,546500.0,F,South West Region,Lower Than A Level,30-40pct,0 to 35,3,95.0,N,Withdrawn
CCC,2014J,613301.0,M,Scotland,A Level or Equivalent,30-40pct,0 to 35,0,51.0,N,Fail
DDD,2014J,799692.0,F,East Anglian Region,Lower Than A Level,60-70pct,35 to 55,0,161.0,N,Withdrawn
FFF,2013B,172473.0,M,North Region,Post Graduate Qualification,0-10pct,0 to 35,0,104.0,N,Distinction
AAA,2013J,183501.0,M,Yorkshire Region,A Level or Equivalent,60-70pct,0 to 35,0,122.0,N,Pass
EEE,2014J,664428.0,M,South West Region,No Formal quals,60-70pct,35 to 55,0,58.0,N,Pass
EEE,2014J,1250530.0,F,Yorkshire Region,Lower Than A Level,20-30pct,55 to 100,0,55.0,Y,Fail
DDD,2013B,487677.0,F,South West Region,A Level or Equivalent,10-20,0 to 35,3,46.0,N,Fail
AAA,2014J,36102.0,F,East Anglian Region,Lower Than A Level,20-30pct,0 to 35,0,118.0,N,Pass
DDD,2014B,677595.0,F,North Western Region,Post Graduate Qualification,30-40pct,0 to 35,0,59.0,N,Withdrawn
GGG,2013B,248340.0,F,East Midlands Region,A Level or Equivalent,50-60pct,35 to 55,1,57.0,Y,Pass
BBB,2014J,607114.0,M,South West Region,A Level or Equivalent,30-40pct,0 to 35,0,52.0,N,Withdrawn
EEE,2014J,557258.0,M,Wales,A Level or Equivalent,90-100pct,0 to 35,0,539.0,N,Distinction
DDD,2014B,589762.0,F,East Anglian Region,Lower Than A Level,10-20,35 to 55,1,341.0,N,Distinction
CCC,2014J,750902.0,M,London Region,Lower Than A Level,20-30pct,0 to 35,1,78.0,N,Fail
BBB,2014B,672887.0,F,Wales,No Formal quals,10-20,0 to 35,0,102.0,N,Fail
GGG,2014B,561139.0,M,Scotland,Lower Than A Level,60-70pct,0 to 35,0,43.0,N,Pass
BBB,2014B,621127.0,F,North Region,HE Qualification,20-30pct,0 to 35,0,432.0,N,Pass
DDD,2013J,642193.0,F,London Region,A Level or Equivalent,40-50pct,0 to 35,0,123.0,N,Withdrawn
EEE,2013J,2248445.0,M,South Region,HE Qualification,20-30pct,0 to 35,0,95.0,N,Withdrawn
DDD,2014J,656830.0,M,East Midlands Region,A Level or Equivalent,10-20,0 to 35,2,46.0,N,Pass
DDD,2014J,755290.0,M,London Region,A Level or Equivalent,10-20,0 to 35,0,58.0,N,Withdrawn
FFF,2014J,677093.0,M,West Midlands Region,Lower Than A Level,60-70pct,0 to 35,0,43.0,N,Withdrawn
DDD,2013J,221210.0,F,Scotland,Lower Than A Level,10-20,35 to 55,5,89.0,Y,Distinction
BBB,2014B,626057.0,M,Wales,No Formal quals,10-20,0 to 35,0,34.0,N,Fail
AAA,2013J,335403.0,M,Yorkshire Region,Lower Than A Level,30-40pct,0 to 35,2,203.0,N,Fail
