code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
DDD,2014J,525241.0,F,North Western Region,A Level or Equivalent,50-60pct,0 to 35,0,101.0,N,Pass
EEE,2013J,649164.0,M,South East Region,Lower Than A Level,60-70pct,0 to 35,0,41.0,N,Withdrawn
GGG,2014J,739050.0,F,East Anglian Region,A Level or Equivalent,50-60pct,0 to 35,0,59.0,N,Fail
BBB,2013J,445815.0,F,West Midlands Region,A Level or Equivalent,40-50pct,0 to 35,0,52.0,N,Pass
FFF,2013B,344395.0,M,South West Region,Lower Than A Level,30-40pct,35 to 55,0,128.0,N,Fail
DDD,2014B,601276.0,M,South Region,A Level or Equivalent,60-70pct,0 to 35,6,55.0,N,Pass
FFF,2014J,788323.0,M,Yorkshire Region,A Level or Equivalent,30-40pct,0 to 35,4,36.0,N,Fail
BBB,2014J,587491.0,F,West Midlands Region,Lower Than A Level,80-90pct,0 to 35,0,99.0,N,Pass
FFF,2013B,475344.0,M,London Region,Post Graduate Qualification,90-100pct,35 to 55,3,112.0,N,Withdrawn
CCC,2014J,625483.0,F,Wales,A Level or Equivalent,30-40pct,0 to 35,0,99.0,N,Distinction
GGG,2013J,669534.0,F,Yorkshire Region,Lower Than A Level,70-80pct,0 to 35,0,229.0,N,Withdrawn
FFF,2014B,614808.0,M,West Midlands Region,Lower Than A Level,40-50pct,0 to 35,2,223.0,N,Fail
GGG,2013J,584578.0,F,South West Region,A Level or Equivalent,50-60pct,0 to 35,0,52.0,N,Fail
BBB,2013B,648873.0,F,South Region,A Level or Equivalent,90-100pct,0 to 35,1,49.0,Y,Pass
CCC,2014J,630229.0,F,North Western Region,Lower Than A Level,0-10pct,35 to 55,1,58.0,N,Withdrawn
FFF,2014J,715980.0,M,London Region,HE Qualification,0-10pct,0 to 35,0,95.0,N,Withdrawn
FFF,2014J,805408.0,M,East Midlands Region,No Formal quals,0-10pct,35 to 55,1,186.0,N,Pass
CCC,2014B,544010.0,M,Scotland,Lower Than A Level,80-90pct,35 to 55,0,102.0,N,Distinction
CCC,2014B,520601.0,M,Wales,Post Graduate Qualification,70-80pct,0 to 35,0,625.0,N,Pass
DDD,2013J,668727.0,M,Wales,Lower Than A Level,80-90pct,0 to 35,1,103.0,Y,Fail
GGG,2014J,317112.0,M,North Region,Lower Than A Level,90-100pct,0 to 35,3,60.0,N,Pass
BBB,2014B,509696.0,M,South Region,Post Graduate Qualification,70-80pct,0 to 35,0,102.0,N,Pass
CCC,2014J,668276.0,F,Scotland,HE Qualification,40-50pct,35 to 55,0,639.0,N,Pass
DDD,2013J,639130.0,M,South West Region,Lower Than A Level,70-80pct,0 to 35,0,39.0,N,Pass
BBB,2013B,610393.0,F,West Midlands Region,A Level or Equivalent,10-20,0 to 35,0,395.0,N,Distinction
FFF,2014J,560006.0,M,London Region,HE Qualification,50-60pct,0 to 35,0,42.0,N,Pass
CCC,2014B,469589.0,M,Wales,Lower Than A Level,10-20,35 to 55,0,246.0,N,Fail
AAA,2014B,900520.0,M,South East Region,A Level or Equivalent,90-100pct,35 to 55,0,190.0,N,Pass
EEE,2014B,670198.0,M,Scotland,A Level or Equivalent,40-50pct,0 to 35,0,518.0,N,Fail
BBB,2014B,134856.0,F,Yorkshire Region,A Level or Equivalent,30-40pct,0 to 35,0,61.0,N,Withdrawn
GGG,2013J,2374544.0,M,London Region,Lower Than A Level,20-30pct,0 to 35,6,42.0,N,Fail
AAA,2013J,2155911.0,F,Scotland,No Formal quals,70-80pct,35 to 55,0,47.0,N,Pass
FFF,2014J,446029.0,M,East Anglian Region,A Level or Equivalent,40-50pct,0 to 35,5,54.0,N,Withdrawn
CCC,2014B,1876428.0,M,South East Region,Lower Than A Level,50-60pct,35 to 55,0,472.0,N,Withdrawn
CCC,2014J,620778.0,M,North Region,Post Graduate Qualification,0-10pct,35 to 55,0,76.0,N,Fail
GGG,2014B,548250.0,F,North Western Region,A Level or Equivalent,50-60pct,0 to 35,0,57.0,N,Fail
CCC,2014J,508322.0,M,North Western Region,A Level or Equivalent,50-60pct,0 to 35,0,58.0,N,Pass
EEE,2013J,600447.0,F,Ireland,Lower Than A Level,50-60pct,35 to 55,5,453.0,N,Distinction
DDD,2013J,522585.0,F,South Region,A Level or Equivalent,90-100pct,0 to 35,0,55.0,N,Distinction
FFF,2014J,501329.0,M,South West Region,A Level or Equivalent,60-70pct,0 to 35,4,109.0,N,Fail
DDD,2013J,3888.0,M,East Midlands Region,A Level or Equivalent,30-40pct,0 to 35,0,51.0,N,Fail
DDD,2014J,613301.0,M,Yorkshire Region,Lower Than A Level,30-40pct,35 to 55,4,87.0,N,Fail
DDD,2013B,528385.0,F,Scotland,Lower Than A Level,60-70pct,35 to 55,0,32.0,N,Pass
FFF,2013J,172473.0,F,London Region,Lower Than A Level,0-10pct,0 to 35,6,33.0,N,Pass
